Sicilian	Sicilian	probability
ˈɔ_k	ˈo_ɡ	1.0
ˈo	ˈo	1.0
ˈi_ɾ	ˈe_r	1.0
ˈe	-	1.0
ˈa	ˈa	1.0
ʧː	θ	1.0
ʦː	s	1.0
ʤ	ð	1.0
ʐː	r	1.0
ʊ_#>	#>	1.0
ʈː	-	1.0
ʈ	r	1.0
ʃː	s	1.0
ʃ	s	1.0
ɾ_ʊ	r_o	1.0
ɽ_ɪ_#>	e_#>	1.0
ɪ_#>	#>	1.0
ɡ	ɡ	1.0
ɟ	-	1.0
ɖː	l	1.0
ŋ	ŋ	1.0
ç	f_j	1.0
u	o	1.0
tː	t	1.0
sː	s	1.0
s	s	1.0
r	r	1.0
nː	n	1.0
n_ʊ_#>	ŋ_#>	1.0
mː	m	1.0
m_ʊ	ŋ	1.0
m	m	1.0
l_ˈi	l_ˈe	1.0
l	l	1.0
kː	k	1.0
k_ʊ	ɡ_o	1.0
f	f	1.0
dː	t	1.0
d	d	1.0
cː	ʧ	1.0
c	p_j	1.0
b	b	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʐ	<#_r	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
a	a	0.968
k	k	0.9
ʊ	o	0.862
v	v	0.828
t	t	0.741
p	p	0.731
ˈɛ	ˈɛ	0.727
ɾ	r	0.722
ɪ_ɾ	e_r	0.714
<#_a	<#	0.714
i	e	0.667
ɕ	θ	0.625
ɪ	e	0.609
ɲː	ɲ	0.6
ˈi	ˈe	0.59
w	w	0.556
j	-	0.556
ˈu	ˈo	0.545
n	n	0.531
ɟː	j	0.5
ɟː	-	0.5
#>	t_#>	0.5
#>	l_#>	0.5
ˈɔ	ˈɔ	0.476
n	ŋ	0.469
w	-	0.444
j	ð	0.444
ˈɔ	ˈo	0.429
ˈi	ˈi	0.41
ɲː	-	0.4
ɕ	z	0.375
ˈu	ˈu	0.303
ɪ_ɾ	r	0.286
<#_a	<#_o	0.286
t	d	0.259
i	-	0.2
ɪ	o	0.174
ɾ	d	0.167
p	v	0.154
ˈɛ	j_ˈe	0.152
i	i	0.133
ɪ	r	0.13
ˈɛ	ˈe	0.121
p	-	0.115
v	b	0.103
k	ɡ	0.1
ˈɔ	-	0.095
ˈu	ˈɛ	0.091
ɪ	i	0.087
ʊ	w_e	0.069
ʊ	l	0.069
v	-	0.069
ˈu	-	0.061
ɾ	ˈe	0.056
ɾ	-	0.056
