Aromanian	Catalan	probability
a	ə	1.0
e̯a	-	1.0
w	w	1.0
ç	f	1.0
ʧ	s	1.0
ˈə	ˈi	1.0
ˈɨ	ˈa	1.0
f	-	0.051
k	ɣ	0.1
m	m	0.791
o̯ˈa	ˈɔ	0.751
p	-	0.161
s	s	0.961
ɡ	ɣ	0.061
ɡ	-	0.41
ʣ	d	0.511
ʦ	s	0.411
ˈa	ˈɔ	0.051
ˈa	ˈe	0.081
ˈa	ˈɛ	0.201
ˈi	ˈe	0.161
ˈu	ˈu	0.311
i	-	0.212
n	ŋ	0.082
n	ɲ	0.202
u	-	0.332
u	ə	0.342
v	b	0.962
ə	-	0.202
ʎ	ʎ	0.282
ʦ	-	0.52
ˈi	-	0.152
ˈu	<#_ə	0.22
d	d	0.553
e̯ˈa	ˈɛ_w	0.223
j	-	0.373
p	p	0.653
r	r	0.233
ʃ	s	0.63
ʣ	ʒ	0.23
ˈu	ˈo	0.173
ˈu	ˈɔ	0.233
b	b	0.754
i	ə	0.64
t	t	0.594
ɲ	ɲ	0.334
ʤ	-	0.294
e̯ˈa	ɾ_ˈe	0.135
e̯ˈa	ˈe	0.275
n	-	0.25
p	β	0.155
r	ɾ	0.365
ŋ	ŋ	0.235
ŋ	-	0.765
ˈe	ˈɛ	0.665
ˈo	ˈɔ	0.645
b	β	0.246
d	-	0.406
e̯ˈa	ˈɛ	0.336
k	-	0.126
l	ʎ	0.616
n	n	0.466
r	-	0.176
u	u	0.326
ɲ	m	0.666
ʤ	ʒ	0.706
ˈe	ˈe	0.296
ˈi	ˈɛ	0.166
j	b	0.627
k	p	0.117
k	k	0.657
l	l	0.357
t	-	0.097
ʃ	-	0.37
ʦ	t	0.07
ˈa	ˈa	0.667
ˈi	ˈi	0.497
ˈo	ˈo	0.087
ˈo	ˈu	0.267
r	l	0.188
ə	ə	0.798
ʎ	l	0.718
f	f	0.949
m	-	0.209
o̯ˈa	ˈɛ	0.079
o̯ˈa	ˈu	0.169
t	ð	0.309
ɡ	ɡ	0.529
ʣ	-	0.259
