Ligurian	Catalan	probability
ˈɔː	ˈɔ	1.0
ˈøː	ˈɔ	1.0
ˈyː	ˈu	1.0
ˈiː_#>	ˈi_#>	1.0
ˈaː_#>	ˈa_#>	1.0
ˈa	ˈa	1.0
ʤ_u_#>	ʎ_#>	1.0
ʒ_e_#>	w_#>	1.0
ʃ_e	ʃ_ə	1.0
ɡ_u_#>	k_#>	1.0
ɔː	u	1.0
ŋ_ɡ	ŋ	1.0
ŋ_t_e_#>	n_#>	1.0
ŋ_t	n	1.0
ŋ_k	ŋ	1.0
ŋ_a	n_ə	1.0
ŋ_#>	#>	1.0
z_u	ʧ	1.0
w_ˈɛː	ˈa_ɾ	1.0
w_e_#>	#>	1.0
v_e	w	1.0
u_#>	#>	1.0
t_e_#>	t_#>	1.0
t_a	t_ə	1.0
s_u_#>	#>	1.0
s_e	s	1.0
r_ˈe	ɾ_ˈɛ	1.0
r_u	ɾ_ə	1.0
r_n	r_n	1.0
p	p	1.0
m_e_#>	m_#>	1.0
m	m	1.0
k	k	1.0
j_v	w	1.0
j_#>	#>	1.0
i_#>	s_#>	1.0
f	f	1.0
e_n	ə_n	1.0
e_#>	#>	1.0
d_u	t	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_z	<#_ʒ	1.0
<#_v	<#_b	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_a	<#_ə	1.0
a	ə	0.97
s	s	0.963
e	ə	0.905
ˈi	ˈi	0.895
l	ʎ	0.842
<#	<#_ə	0.818
v	β	0.812
b	b	0.786
ˈɔ	ˈɔ	0.778
ˈiː	ˈi	0.778
ɲ	ɲ	0.778
ʒ	-	0.75
ˈaː	ˈa	0.727
d	d	0.714
ˈy	ˈu	0.7
ˈø	ˈu	0.667
ɡ	ɣ	0.667
t	t	0.667
n	n	0.625
z	-	0.571
ˈe	ˈe	0.531
ŋ	n	0.5
i	i	0.5
i	-	0.5
ˈu	ˈo	0.48
ˈe	ˈɛ	0.469
ˈɛː	ˈɛ	0.462
w	w	0.462
ʤ	ʎ	0.438
u	u	0.435
ˈɛ	ˈe	0.429
ˈuː	ˈo	0.429
ʧ	p_l	0.429
z	z	0.429
#>	l_#>	0.417
r	ɾ	0.4
r	r	0.4
ˈeː	ˈɛ	0.381
n	ɲ	0.375
ˈu	ˈɔ	0.36
u	ə	0.348
ˈø	-	0.333
ʃ	ʃ	0.333
ʃ	f_l	0.333
ʃ	-	0.333
ʤ	ʒ	0.312
ŋ	-	0.312
ˈy	ˈo	0.3
j	ɾ	0.3
ˈɛ	ˈe_j	0.286
ˈɛ	-	0.286
ˈuː	ˈɔ	0.286
ˈeː	ˈe	0.286
ʧ	k_l	0.286
ʧ	-	0.286
ˈaː	ˈa_l	0.273
ʒ	b	0.25
#>	w_#>	0.25
ˈɛː	-	0.231
w	-	0.231
ˈɔ	-	0.222
ˈiː	-	0.222
ɲ	-	0.222
b	-	0.214
j	u	0.2
j	-	0.2
ˈeː	ˈi	0.19
d	-	0.19
ŋ	ŋ	0.188
v	w	0.188
<#	<#_b	0.182
ɡ	ʤ	0.167
ɡ	ɡ	0.167
#>	s_#>	0.167
#>	r_#>	0.167
ˈu	ˈu	0.16
l	l	0.158
ˈɛː	ˈa_t	0.154
ˈɛː	ˈa	0.154
w	u_ɾ	0.154
w	u	0.154
t	ð	0.148
ˈuː	ˈɛ	0.143
ˈuː	ˈu	0.143
ˈeː	ə	0.143
u	r	0.13
ʤ	ɡ_l	0.125
ʤ	-	0.125
t	j_t	0.111
ˈi	-	0.105
j	ə_l	0.1
j	i	0.1
j	d_ɾ	0.1
e	ə_s	0.095
d	w_ɾ	0.095
u	ˈo	0.087
r	ɾ_ə	0.086
t	-	0.074
r	l	0.057
r	-	0.057
