Québécois French	Logudorese	probability
aœ̯	ˈo	1.0
k	k	1.0
o	ˈo	1.0
y	ˈu	1.0
z	ɣ	1.0
ɲ	n_ʣ	1.0
ʊ	ˈu	1.0
ʣ	d	1.0
e	r_e	0.391
m	m_a	0.051
s	-	0.161
u	ˈo	0.151
u	ˈu	0.621
æɛ̯	ˈe	0.161
œ	ˈo_e	0.091
ɒ̃ʊ̯̃	ŋ	0.161
ɒ̃ʊ̯̃	ˈo_n	0.761
ɛ	e	0.291
ɪ	-	0.061
ʃ	k	0.621
ʒ	j	0.271
a	-	0.052
e	e	0.062
e	a	0.092
ẽɪ̯̃	ˈa	0.052
l	l_u	0.082
oʊ̯	ˈa	0.62
s	s	0.592
œ	ˈo	0.112
ɡ	ɣ	0.372
ɪ	ˈi	0.912
ʁ	r	0.342
a	ˈa	0.433
ã	m	0.103
ã	ˈa	0.13
d	-	0.3
f	f_ˈa	0.093
i	ˈi_e	0.173
p	p	0.823
u	u	0.153
v	-	0.303
æɛ̯	-	0.13
æɛ̯	ˈi	0.163
øʏ̯	ɣ_u	0.413
ɔ	o	0.453
ɥ	ˈu	0.393
ʒ	-	0.173
ẽɪ̯̃	n_e	0.394
f	f	0.814
m	m_i	0.114
t	s_t	0.094
w	-	0.134
ɑɔ̯	ˈo	0.894
ɡ	b	0.344
ʁ	r_a	0.074
a	a	0.515
i	ˈe	0.065
j	e	0.165
l	l_ˈa	0.065
l	r_ˈa	0.085
l	l	0.335
m	m	0.835
t	t_e	0.25
ɛ	i	0.155
ɛ	ˈi	0.485
ɡ	ɡ	0.285
ẽɪ̯̃	-	0.136
i	t_u	0.086
l	r	0.136
n	n	0.486
u	o	0.076
ɑɔ̯	o	0.106
ʒ	ɡ	0.556
ã	i	0.387
d	d	0.7
e	-	0.107
i	u	0.077
i	e	0.347
l	sː	0.057
n	n_a	0.457
p	p_ˈa	0.177
t	t	0.537
v	b	0.697
w	ˈu_ɣ	0.197
æɛ̯	ˈa	0.457
øʏ̯	u	0.587
œ	e	0.797
ɔ	ˈo	0.547
ɥ	ˈo	0.607
ʁ	r_u	0.07
ã	ˈe_n	0.38
b	b	0.968
ẽɪ̯̃	ˈi_n	0.128
i	ˈi	0.18
j	ˈe	0.568
l	l_ˈi	0.058
oʊ̯	ɖː_u	0.38
s	k	0.228
ɒ̃ʊ̯̃	ˈo	0.078
ʁ	-	0.108
ʁ	r_e	0.258
e	ð_a	0.079
e	i_s	0.219
ẽɪ̯̃	ˈa_n	0.29
f	-	0.059
j	u	0.219
l	-	0.119
t	t_a	0.079
w	ˈe	0.669
æɛ̯	ˈa_ɣ	0.089
ɛ	-	0.069
ʁ	e_r_e	0.069
ʃ	k_a	0.379
