Nynorsk Norwegian	Dutch	probability
b	b	0.977
b	-	0.045
d	d	0.644
d	t	0.296
d	-	0.058
e	-	0.568
e	ə	0.409
e	ˈɑu̯	0.038
f	v	1.0
h	ɦ	0.899
h	-	0.063
h	k	0.056
j	-	0.615
j	χ	0.36
k	k	0.702
k	χ	0.296
k_s	s	1.0
kʰ	k	0.919
kʰ	-	0.08
kʰ_ʋ	ʋ	1.0
l	ɫ	0.735
l	l	0.118
l	ə_ɫ	0.091
l	-	0.049
lː	ɫ	0.549
lː	ˈɑu̯	0.253
lː	-	0.164
m	m	0.931
m	-	0.048
m	f	0.048
m_j	m	0.519
mː	m	0.27
n	n	0.852
n	-	0.083
n	ɾ	0.063
nː	n	0.358
nː	n_t	0.269
nː	n_d	0.151
nː	ɾ	0.115
nː	ɫ	0.087
p	p	1.0
pʰ	p	1.0
s	s	0.539
s	z	0.457
s_k	s	1.0
sː	s	1.0
t	t	1.0
tʰ	d	0.677
tʰ	t	0.312
v	ʋ	0.27
ç	k	0.564
ç	d	0.292
ç	t	0.125
çː	t	0.519
ŋ	ɪ	0.66
ŋ	n	0.178
ŋː	ŋ	1.0
ɑ	ə_n	0.731
ɑ	-	0.172
ɑ	ə	0.09
ə	-	0.803
ə	ə	0.098
ɛ	-	0.394
ɛ	ə	0.204
ɡ	χ	0.805
ɡ	-	0.093
ɡ	k	0.061
ɡ	χ_ə	0.051
ɡː	χ	0.715
ɡː	-	0.28
ɪ	ə	0.27
ɲ	ŋ	0.519
ɾ	ɾ	0.932
ɾ	-	0.047
ʃ	s	0.314
ʃ	s_χ	0.314
ʃ	z	0.238
ʃ	m	0.093
ʉ	-	1.0
ʋ	ʋ	0.455
ʋ	f	0.231
ʋ	v	0.198
ʋ	-	0.094
ʰkː	ŋ_k	0.683
ʰkː	k	0.234
ʰtː	χ_t	1.0
ˈeː	ˈeː	0.414
ˈeː	ˈi	0.313
ˈeː	ˈɛ	0.102
ˈeː	ˈɛi̯	0.099
ˈeː	ˈɪ	0.063
ˈiː	ˈɛi̯	0.735
ˈiː	ˈɪ	0.178
ˈiː	ˈeː	0.061
ˈiː	ˈi	0.05
ˈoː	ˈaː	0.529
ˈoː	ˈoː	0.238
ˈoː	ˈi	0.09
ˈoː	ˈɔ	0.064
ˈoː	ˈɑ	0.057
ˈuː	ˈu	0.79
ˈuː	ˈoː	0.101
ˈuː	ˈaː	0.081
ˈuː	ʋ	0.046
ˈyː	ˈyː	0.299
ˈyː	ˈi	0.255
ˈyː	w	0.226
ˈyː	ˈœy̯	0.077
ˈæ	ˈɛ	0.519
ˈæɪ̯	ˈeː	0.516
ˈæɪ̯	ˈɛi̯	0.391
ˈæɪ̯	ˈɛ	0.082
ˈæʉ̯	ˈoː	0.797
ˈæʉ̯	ˈoː_t	0.133
ˈæːɪ̯	ˈeː	0.519
ˈøː	ˈu	0.356
ˈøː	ˈeː	0.31
ˈøː	ˈoː	0.107
ˈøː	ˈɛ	0.104
ˈøː	w	0.082
ˈœ	ˈeː	0.298
ˈœ	ˈɛ	0.298
ˈœʏ̯	ˈoː	1.0
ˈɑ	ˈɑ	0.727
ˈɑ	ˈaː	0.122
ˈɑ	ˈɑu̯	0.087
ˈɑ	ˈɛ	0.055
ˈɑː	ˈɑ	0.532
ˈɑː	ˈaː	0.357
ˈɑː	ˈøː	0.103
ˈɔ	ˈɔ	0.526
ˈɔ	ˈoː	0.191
ˈɔ	ˈɑ	0.191
ˈɔ	ʋ	0.074
ˈɛ	ˈɛ	0.482
ˈɛ	ˈɑ	0.224
ˈɛ	ˈɛi̯	0.123
ˈɛ	ˈɪ	0.07
ˈɛ	ˈeː	0.068
ˈɛː	ˈaː	0.66
ˈɛː	ˈeː	0.178
ˈɪ	ˈɪ	0.859
ˈɪ	-	0.11
ˈʉ	ˈɔ	0.328
ˈʉ	-	0.184
ˈʉ	ˈœy̯	0.16
ˈʉ	ʋ_ˈɔ	0.126
ˈʉ	ˈʏ	0.085
ˈʉː	ˈœy̯	0.487
ˈʉː	ˈi	0.251
ˈʉː	ˈɔ	0.107
ˈʉː	ˈeː	0.086
ˈʉː	ˈu	0.072
ˈʊ	ˈoː	0.403
ˈʊ	ˈɔ	0.181
ˈʊ	ˈɑ	0.12
ˈʊ	ˈɪ	0.096
ˈʊ	ˈœy̯	0.094
ˈʏ	ˈʏ	0.349
ˈʏ	ʋ_ˈɛ	0.185
ˈʏ	-	0.106
ˈʏ	ˈœy̯	0.106
ˈʏ	ˈɪ	0.083
