Nynorsk Norwegian	Dutch	probability
b	b	0.963
d	d	0.71
d	t	0.284
e	ə	0.596
e	-	0.226
e	ˈɑu̯	0.179
f	v	1.0
h	ɦ	0.93
j	-	0.58
j	χ	0.374
k	k	0.791
k	χ	0.209
kʰ	k	0.919
kʰ	v	0.081
l	ɫ	0.859
l	ə_ɫ	0.105
lː	ɫ	0.467
lː	ˈɑu̯	0.375
lː	ɾ	0.159
m	m	0.932
mː	m	1.0
n	n	0.915
nː	n	0.761
nː	ɾ	0.135
nː	n_d	0.071
p	p	1.0
pʰ	p	1.0
s	s	0.558
s	z	0.424
sː	s	1.0
t	t	1.0
tʰ	d	0.463
tʰ	t	0.337
tʰ	b	0.118
tʰ	t_ʋ	0.082
v	ʋ	1.0
ç	k	0.583
ç	d	0.227
ç	t	0.19
çː	t	1.0
ŋ	ɪ	0.596
ŋ	n	0.404
ŋː	ŋ	1.0
ɑ	ə	1.0
ə	ə	1.0
ɛ	ə	0.546
ɛ	-	0.454
ɡ	χ	0.761
ɡ	k	0.154
ɡ	-	0.085
ɡː	χ	0.814
ɡː	-	0.186
ɪ	ə	1.0
ɲ	ŋ	1.0
ɾ	ɾ	0.914
ɾ	-	0.086
ʃ	s_χ	0.466
ʃ	z	0.328
ʃ	s	0.206
ʉ	-	1.0
ʋ	ʋ	0.565
ʋ	v	0.218
ʋ	f	0.118
ʋ	ə_f	0.08
ʰkː	ŋ_k	0.743
ʰkː	k	0.257
ʰtː	χ_t	1.0
ˈeː	ˈeː	0.342
ˈeː	ˈi	0.275
ˈeː	ˈoː	0.112
ˈeː	ˈɪ	0.1
ˈeː	ˈɛ	0.065
ˈeː	ˈɛi̯	0.057
ˈiː	ˈɛi̯	0.643
ˈiː	ˈɪ	0.192
ˈiː	ˈi	0.103
ˈiː	ˈeː	0.062
ˈoː	ˈaː	0.636
ˈoː	ˈoː	0.18
ˈoː	ˈi	0.086
ˈoː	ˈɔ	0.056
ˈuː	ˈu	0.506
ˈuː	ˈaː	0.222
ˈuː	ˈoː	0.143
ˈyː	ˈi	0.497
ˈyː	ˈyː	0.465
ˈæ	ˈɛ	1.0
ˈæɪ̯	ˈeː	0.66
ˈæɪ̯	ˈɛi̯	0.255
ˈæɪ̯	ˈɛ	0.085
ˈæʉ̯	ˈoː	1.0
ˈæːɪ̯	ˈeː	1.0
ˈøː	ˈu	0.436
ˈøː	ˈeː	0.293
ˈøː	ˈɛ	0.151
ˈøː	ˈoː	0.079
ˈœ	ˈeː	0.732
ˈœ	ˈɛ	0.268
ˈœʏ̯	ˈoː	1.0
ˈɑ	ˈɑ	0.815
ˈɑ	ˈaː	0.092
ˈɑ	ˈɛ	0.057
ˈɑː	ˈaː	0.524
ˈɑː	ˈɑ	0.356
ˈɑː	ˈøː	0.076
ˈɔ	ˈɔ	0.559
ˈɔ	ˈoː	0.279
ˈɔ	ˈɑ	0.096
ˈɔ	ˈaː	0.066
ˈɛ	ˈɛ	0.489
ˈɛ	ˈɑ	0.27
ˈɛ	ˈɛi̯	0.117
ˈɛː	ˈaː	0.786
ˈɛː	ˈeː	0.214
ˈɪ	ˈɪ	0.908
ˈɪ	-	0.092
ˈʉ	ˈɔ	0.356
ˈʉ	-	0.189
ˈʉ	ˈʏ	0.141
ˈʉ	ˈœy̯	0.139
ˈʉ	ʋ_ˈɔ	0.122
ˈʉ	ˈoː	0.054
ˈʉː	ˈœy̯	0.392
ˈʉː	ˈi	0.284
ˈʉː	ˈeː	0.114
ˈʉː	ˈɔ	0.088
ˈʉː	ˈu	0.081
ˈʊ	ˈoː	0.528
ˈʊ	ˈɔ	0.33
ˈʊ	ˈɑ	0.08
ˈʏ	ˈʏ	0.38
ˈʏ	ʋ_ˈɛ	0.224
ˈʏ	ˈɪ	0.121
ˈʏ	ˈɛ	0.108
ˈʏ	-	0.078
ˈʏ	ˈɔ	0.058
