Štokavian	Proto-Slavic	probability
ǎː	-	1.0
eː	ẽ	1.0
êː	ẽ̂ː	1.0
ě	e	1.0
i	i	1.0
iː	ŭ	1.0
î	ǐ	1.0
m	m	1.0
ǒ	o	1.0
r̩̂	r	1.0
r̩̂ː	r	1.0
r̩̂	r	1.0
ûː	ĭ̂_l	1.0
z	z	1.0
ʒ	ʒ	1.0
ʧ	ʧ	1.0
ʨ	k_t	1.0
b	b	0.901
e	-	0.261
ô	o	0.161
r	oˀ_r	0.111
s	s	0.841
ʋ	v	0.881
a	ĭ	0.272
d	d	0.932
ê	ɛ̌	0.212
k	k_ŭ	0.362
n	n	0.602
t	t	0.632
x	x_ŭ	0.472
ɡ	ɡ_ŭ	0.192
o	ǒ	0.123
ô	ô	0.423
ʋ	ŭ̂_v	0.053
a	ǎ	0.404
n	n_ŭ	0.34
o	ŭ	0.064
o	o	0.814
ôː	ôː	0.304
t	t_ŭ	0.124
t	t_ĭ	0.244
û	ĭˀ_l	0.974
ʎ	l	0.204
j	ɛː	0.5
j	-	0.5
p	p_ŭ	0.175
p	p	0.825
ʦ	ʦ	0.415
a	ŭ	0.106
â	ĭ̌	0.306
â	aˀ	0.576
ôː	ô	0.696
ʋ	v_ŭ	0.066
ʎ	ʎ	0.796
l	l	0.737
ô	ǒ	0.417
ɡ	ɡ	0.697
ʦ	ĭ_ʦ	0.137
â	-	0.118
d	d_ŭ	0.068
ê	ê	0.788
k	k	0.638
n	n_ĭ	0.058
x	x	0.528
ɡ	ĭ_#>	0.098
ʦ	-	0.448
a	a	0.219
b	b_ŭ	0.099
e	e	0.739
l	ôː_l	0.119
l	o_l	0.119
r	r	0.889
s	s_ŭ	0.159
