Emilian	Asturian	probability
w	w	1.0
ʤ	ʃ	1.0
b	β	0.091
f	-	0.121
r	ɾ	0.791
ˈa	ˈe	0.281
ˈaː	ˈa	0.851
ˈiː	ˈi	0.431
ˈɛ	j_ˈe	0.141
ˈʌu̯	ˈo	0.911
a	e	0.062
a	a	0.922
m	m_e	0.102
ð	ʃ	0.672
ˈa	ˈa	0.592
ˈaː	ˈe	0.092
ˈɔ	w_ˈe	0.602
ˈɛ	ˈe	0.092
ˈɛ	ˈa	0.722
ˈɛː	j_ˈe	0.532
θ	l	0.072
j	l	0.083
l	l_u	0.063
n	n	0.953
r	-	0.083
s	s	0.653
t	t_e	0.103
v	β	0.333
z	θ	0.963
ŋ	n_u	0.133
ʧ	ʝ_u	0.513
e	-	0.384
l	ʎ	0.504
p	β	0.104
r	ɾ_u	0.064
s	-	0.064
t	t_u	0.254
u	o	0.854
ɲ	n	0.174
ˈe	ˈi	0.874
ˈɔː	ˈo	0.314
ˈʌ	ˈo	0.884
θ	θ_j	0.254
d	d	0.425
e	e	0.395
i	-	0.275
i	i	0.725
j	ʝ	0.135
j	-	0.335
j	j	0.415
k	k	0.95
v	β_u	0.055
ɡ	ɡ	0.505
ˈuː	ˈu	0.395
ˈæ	j_ˈe	0.485
ˈæ	ˈe	0.515
d	ð	0.236
s	e_s	0.186
t	t	0.326
u	u	0.146
ɡ	-	0.066
ɲ	ɲ	0.826
ˈe	ˈe	0.126
ˈo	ˈu	0.576
ˈɔː	w_ˈe	0.636
ˈʌ	ˈu	0.116
θ	θ	0.6
p	p	0.847
ˈaː	ˈo	0.057
ˈo	ˈo	0.217
ˈuː	ˈe_u	0.117
b	b	0.848
e	ɾ_e	0.178
l	l	0.318
m	m	0.898
v	b	0.558
ð	-	0.328
ŋ	m	0.058
ŋ	ŋ	0.378
ɡ	ɣ	0.388
ʧ	ʝ	0.278
ˈo	ˈe	0.208
ˈuː	w_ˈe	0.198
ˈɔ	ˈo	0.398
ˈɛː	ˈe	0.468
d	-	0.339
f	f	0.879
l	u	0.059
t	ð	0.249
ŋ	n	0.389
ʧ	-	0.209
ˈiː	ˈe	0.569
ˈuː	ˈo	0.29
ˈʌu̯	ˈu	0.089
