Bavarian	Bavarian	probability
β	v	1.0
ˈɑː	ˈaː	1.0
ˈoɐ̯	ˈeː	1.0
ˈou̯	ˈaʊ̯	1.0
ˈiɐ̯_s	ˈøː_t	1.0
ˈiɐ̯	ˈaɪ̯	1.0
ˈeɐ̯	-	1.0
ʦ	t	1.0
ʃ_d̥	s_t	1.0
ʃ_#>	ʃ_k_#>	1.0
ʃ	ʃ	1.0
ɡ̊_a	k_n	1.0
ə_#>	#>	1.0
ɑ	ə	1.0
ŋ_ɡ̊	ŋ	1.0
ŋ_#>	ɡ_n_#>	1.0
ç	k	1.0
x_#>	k_ə_#>	1.0
s_n	t_n	1.0
n_ˈɑː	n	1.0
n_d̥	n	1.0
n_#>	#>	1.0
m_#>	#>	1.0
l	l	1.0
kʰ	k	1.0
j_#>	l_ə_#>	1.0
j	l	1.0
i	k	1.0
h	h	1.0
f_a	p_n	1.0
f_#>	p_#>	1.0
eɐ̯	aɪ̯	1.0
d̥_a	ɐ	1.0
b̥͡v̥	p	1.0
<#_ˈɑ	<#	1.0
<#_j	<#_j	1.0
<#_d̥	<#_d	1.0
n	n	0.923
f	f	0.913
b̥	b	0.909
r	r	0.88
m	m	0.821
ʋ	v	0.762
ˈɑ	ˈa	0.75
x	k	0.75
ŋ	ŋ	0.727
d̥	d̥	0.684
ˈau̯	ˈuː	0.667
#>	n_#>	0.625
ˈuɐ̯	ˈoː	0.6
ˈoː	-	0.6
x_d̥	x_t	0.6
ˈi	ˈɪ	0.593
ɐ	ɐ	0.588
ˈai̯	ˈiː	0.579
ˈa	ˈa	0.571
a	ɐ	0.548
ˈiː	ˈɪ	0.5
ˈiː	-	0.5
ɡ̊	x	0.5
ə	ʋ	0.5
ə	-	0.5
n_a	n_n	0.5
n_a	n	0.5
b̥_#>	v_#>	0.5
b̥_#>	#>	0.5
s	s	0.486
ˈeː	-	0.462
ˈaː	ˈaʊ̯	0.429
ˈa	-	0.429
ɐ	-	0.412
ˈoː	ˈɔː	0.4
x_d̥	ç	0.4
#>	ə_#>	0.375
ˈo	ˈa	0.333
ˈe	ˈɪɛ̯	0.333
ˈau̯	ˈʊ	0.333
ˈɒː	ˈa	0.308
ˈu	ˈʊ	0.286
ˈaː	ˈʊ	0.286
ˈaː	ˈaɪ̯	0.286
s	t	0.286
ˈo	ˈɔ	0.278
ˈe	ˈɛ	0.278
ŋ	n	0.273
ˈɑ	-	0.25
x	x	0.25
ʋ	ʋ	0.238
ˈɒː	ˈɔː	0.231
ˈɒː	ˈaː	0.231
ˈeː	ˈaɪ̯	0.231
ˈo	ˈʊ	0.222
ˈuɐ̯	ˈøː	0.2
ˈuɐ̯	-	0.2
a	n	0.194
ˈo	ˈɔː	0.167
ˈe	ˈɛː	0.167
ˈe	-	0.167
a	-	0.161
ˈai̯	ˈyː	0.158
ˈai̯	-	0.158
d̥	t	0.158
d̥	d	0.158
ˈɒː	-	0.154
ˈeː	ˈɪɛ̯	0.154
ˈeː	ˈɛ	0.154
ɡ̊	ɡ	0.154
ˈi	ˈiː	0.148
ˈi	-	0.148
ˈu	ˈʏ	0.143
ˈu	ˈuːə̯	0.143
ˈu	-	0.143
s	z̥	0.143
r	-	0.12
ɡ̊	k	0.115
m	v_n	0.107
ˈai̯	ˈeː	0.105
a	ə	0.097
ˈu	ˈuː	0.095
ˈu	ˈuə̯	0.095
ˈu	ˈa	0.095
b̥	-	0.091
f	-	0.087
s	z	0.086
ˈɒː	ˈɒː	0.077
ɡ̊	ɪ_ç	0.077
ɡ̊	ç	0.077
ɡ̊	-	0.077
n	-	0.077
ˈi	ˈɪɛ̯	0.074
m	v	0.071
ˈe	ˈyə̯	0.056
