Western Lombard	Franco-Provençal	probability
b	b	1.0
e	ə	1.0
f	f	1.0
t	t	1.0
u	o	1.0
z	z	1.0
ɲ	ɲ	1.0
ʋ	v	1.0
ʦ	s	1.0
ˈãː	ˈɑ̃	1.0
ˈẽː	ˈɛ̃	1.0
ˈĩː	ˈĩ	1.0
ˈu	w	1.0
ˈũː	ˈɔ̃	1.0
ˈy	ˈo	1.0
ˈø	ʎ	1.0
ˈɔ	ˈoː	1.0
k	k	0.491
s	s	0.631
ʤ	ð	0.781
ʧ	s	0.641
ˈe	ˈi	0.411
d	ð	0.092
l	-	0.202
r	ʁ	0.682
ˈe	j_ˈe	0.052
m	-	0.053
s	-	0.113
ˈi	ˈi	0.903
j	j	0.344
n	n	0.924
ɡ	ɡ	0.734
ˈa	ˈe	0.144
a	a	0.655
ˈa	ˈa	0.515
ˈɛ	ˈe	0.485
n	-	0.076
p	p	0.956
ɡ	-	0.266
ˈa	ˈɑː	0.086
a	-	0.077
j	-	0.277
m	m	0.947
s	ʃ	0.257
ˈe	-	0.307
ˈi	ˈe	0.097
ˈɛ	ˈɛ	0.267
a	ə	0.208
d	-	0.418
j	l	0.378
l	l	0.798
ˈa	ˈaː	0.188
ˈɛ	ˈɛː	0.248
a	i	0.059
d	d	0.49
k	ʃ	0.509
r	ð	0.259
ʤ	ʎ	0.219
ʧ	-	0.359
ˈe	ˈɛː	0.229
