Occitan	Catalan	probability
a	ə	1.0
b	b	1.0
d	d	1.0
f	f	1.0
m	m	1.0
t	t	1.0
u	u	1.0
z	z	1.0
ð	ð	1.0
ŋ	ŋ	1.0
ɔ	ə	1.0
ɡ	ɡ	1.0
ɣ	ɣ	1.0
ɥ	-	1.0
ɲ	ɲ	1.0
ʎ	ʎ	1.0
ʒ	ʒ	1.0
ʤ	ʤ	1.0
ʦ	w	1.0
ˈi	ˈi	1.0
ˈɔ	ˈɔ	1.0
r	ɾ	0.101
r	r_n	0.141
w	w	0.681
ʧ	t	0.61
ˈɛ	ˈi	0.101
ˈɛ	ˈe	0.531
p	β	0.052
r	r	0.732
v	β	0.112
ˈu	ˈu	0.182
ˈu	ˈo	0.422
k	k_w	0.053
k	k	0.933
n	n	0.893
ʧ	j_t	0.333
ˈe	ˈɛ	0.633
j	-	0.404
n	ɲ	0.084
w	-	0.234
ˈy	ˈo	0.054
e	ə	0.875
i	-	0.135
i	i	0.865
w	ʧ	0.085
ɾ	-	0.135
ɾ	ɾ	0.865
ˈu	ˈɔ	0.315
s	s	0.96
ˈy	ˈu	0.946
ʧ	ʧ	0.057
ˈe	ˈe	0.367
j	w	0.238
j	j	0.358
l	l	0.458
p	p	0.948
v	b	0.888
ˈɛ	ˈɛ	0.368
l	ʎ	0.529
ˈa	ˈa	0.969
β	β	0.959
