Bellunese	Bellunese	probability
ˈɛ_r	ˈɛː_r	1.0
ˈu_r	ˈyː_u	1.0
ˈo_r	ˈuː	1.0
ˈo_l	ˈuː	1.0
ˈe_r	ˈe_j	1.0
ˈe_l	l_ˈeː	1.0
ˈa_r	ˈaː	1.0
ˈa_#>	ˈɛː_#>	1.0
ʤ	ʤ	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ð	z	1.0
w	w	1.0
s_ˈa	s_ˈa	1.0
s_#>	s_u_#>	1.0
r_θ	r_s	1.0
r_t	r_t	1.0
r_o	u	1.0
r_e	ˈɛː	1.0
r_#>	#>	1.0
p	p	1.0
o_r	w	1.0
o_d	ɥ	1.0
o_#>	#>	1.0
n_a	ŋ_a	1.0
m	m	1.0
l_#>	#>	1.0
k	k	1.0
j_ˈe	ˈeː	1.0
j_o	ʤ_u	1.0
e_r	e	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_o	<#_ɔː	1.0
<#_n	<#_n	1.0
<#_f_j	<#_ʃ	1.0
t	t	0.938
a	a	0.905
v	v	0.903
f	f	0.889
b	b	0.867
ŋ	ŋ	0.861
o	u	0.816
l	l	0.8
s	s	0.786
θ	s	0.778
n	n	0.722
ʧ	ʤ	0.714
i	i	0.714
r	r	0.7
#>	u_#>	0.7
ˈa	ˈa	0.676
z	ʒ	0.667
u	-	0.667
d	d	0.64
ˈu	ˈy	0.625
ˈe	ˈe	0.6
<#_ˈa	<#_ˈa	0.6
e	e	0.593
j	-	0.545
ˈo	ˈu	0.516
ˈi	ˈi	0.5
ˈɔ	ˈɔː	0.474
ˈi	ˈiː	0.409
<#_ˈa	<#_ˈɛː	0.4
ˈɛ	ˈeː	0.381
ˈɛ	ˈe	0.381
ˈu	ˈyː	0.375
d	-	0.36
u	y	0.333
#>	e_#>	0.3
ʧ	ʧ	0.286
i	e	0.286
n	ŋ	0.278
j	ʤ	0.273
e	-	0.259
ˈɛ	ˈɛ	0.238
θ	-	0.222
ˈɔ	ˈɔ	0.211
ˈɔ	ˈø	0.211
ˈe	-	0.2
ˈo	ˈøː	0.194
ˈa	ˈaː	0.189
j	ʤ_u	0.182
s	ʃ	0.179
z	z	0.167
z	-	0.167
r	j	0.167
ˈo	ˈuː	0.161
e	i	0.148
ˈe	ˈe_j	0.133
l	-	0.133
b	-	0.133
ˈo	-	0.129
f	-	0.111
ˈɔ	ˈøː	0.105
v	-	0.097
ˈi	-	0.091
ŋ	m	0.083
ˈa	ˈɛː	0.081
o	e	0.079
ˈe	ˈeː	0.067
r	ˈiː	0.067
r	-	0.067
l	j	0.067
t	d_u	0.062
ŋ	-	0.056
ˈa	w	0.054
o	w	0.053
o	-	0.053
