Afrikaans	Ripuarian	probability
b	b	0.982
d	d	0.884
d	-	0.091
d̥	d̥	0.341
d̥	l_d̥	0.188
d̥	ɡ̊	0.159
d̥	d	0.11
d̥	-	0.083
d̥	t	0.083
f	f	0.824
f	ə_f	0.095
i	e	0.704
i	ɐ	0.296
j	j	0.431
j	ə	0.243
j	ˈyː	0.215
j	-	0.111
k	k	0.503
k	ɕ	0.253
k	-	0.177
k	x	0.06
m	m	1.0
n	n	0.764
n	ŋ	0.222
p	p	0.539
p	f	0.461
r	ɐ	0.486
r	ʀ	0.386
r	-	0.127
s	ʃ	0.355
s	z	0.339
s	s	0.277
t	s	0.422
t	ʦ	0.283
t	t	0.281
v	ʋ	0.844
v	v	0.132
v̥	v̥	1.0
w	ʋ	0.862
w	-	0.138
ŋ	ŋ	0.887
ŋ	n	0.067
ə	ɐ	0.764
ə	ə	0.123
ə	ɪ	0.061
ə	ŋ	0.051
ɡ̊	ɡ̊	1.0
ɦ	h	0.983
ɫ	l	0.98
ˈa	ˈa	0.728
ˈa	ˈɛ	0.125
ˈa	ˈaː	0.117
ˈi	ˈeː	0.541
ˈi	ˈiː	0.263
ˈoːɪ̯	ˈuː	1.0
ˈu	ˈoː	0.601
ˈu	ˈøː	0.319
ˈu	ˈo	0.08
ˈyː	ˈyː	0.511
ˈyː	ˈuː	0.245
ˈyː	ˈøː	0.245
ˈæ	ˈɛ	0.269
ˈæ	ˈiː	0.252
ˈæ	ˈɪ	0.192
ˈæ	ˈe	0.107
ˈæ	ˈeː	0.089
ˈæ	ˈɛː	0.089
ˈæː	ˈɛː	0.886
ˈæː	-	0.114
ˈœ	ˈœ	0.715
ˈœ	ˈʊ	0.203
ˈœ	ˈɛ	0.082
ˈœu̯	ˈaʊ̯	0.37
ˈœu̯	ˈo	0.331
ˈœu̯	ˈa	0.298
ˈœɪ̯	ˈuː	0.48
ˈœɪ̯	ˈaʊ̯	0.227
ˈœɪ̯	ˈyː	0.183
ˈœɪ̯	ˈʏ	0.11
ˈɑː	ˈoː	0.408
ˈɑː	ˈaː	0.178
ˈɑː	ˈɛː	0.105
ˈɑː	ˈa	0.082
ˈɑː	ˈo	0.058
ˈɑː	ˈɔ	0.054
ˈɔ	ˈo	0.408
ˈɔ	ˈɔ	0.227
ˈɔ	ˈoː	0.111
ˈɔ	ˈʊ	0.105
ˈɔ	ˈu	0.064
ˈɔː	-	0.544
ˈɔː	ˈɛː	0.456
ˈə	ˈe	0.559
ˈə	ˈɪ	0.223
ˈə	ˈa	0.066
ˈəɪ̯	ˈiː	0.243
ˈəɪ̯	ˈɪ	0.186
ˈəɪ̯	ˈe	0.128
ˈəɪ̯	ɐ	0.124
ˈəɪ̯	ˈeː	0.103
ˈəɪ̯	ˈɛ	0.102
ˈəɪ̯	ˈœ	0.077
ˈɛ	ˈɛ	0.554
ˈɛ	ˈɪ	0.312
ˈɛ	ˈʏ	0.116
ˈɛː	ˈa	0.392
ˈɛː	ˈɪ	0.392
ˈɛː	ˈaː	0.216
ˈɪ	ˈa	0.839
ˈɪ	ˈe	0.161
ˈɪø̯	ˈoː	0.484
ˈɪø̯	ˈu	0.246
ˈɪø̯	ˈaː	0.192
ˈɪø̯	ˈo	0.078
ˈɪə̯	ˈɛ	0.275
ˈɪə̯	ˈeː	0.264
ˈɪə̯	ˈɛː	0.243
ˈɪə̯	ˈeɪ̯	0.091
ˈʊə̯	ˈoː	0.344
ˈʊə̯	ˈuː	0.181
ˈʊə̯	ˈyː	0.14
ˈʊə̯	ˈɔ	0.122
ˈʊə̯	ˈʏ	0.079
χ	j	0.427
χ	x	0.184
χ	ɕ	0.176
χ	k	0.12
χ	ɣ	0.054
