Afrikaans	Ripuarian	probability
b	b	1.0
d	d	0.912
d	t	0.039
d	ʦ	0.038
d	-	0.035
f	f	0.912
f	p	0.045
f	v	0.04
j	j	1.0
k	k	0.687
k	ɕ	0.186
k	x	0.079
k	h	0.045
l	l	0.654
l	l_ə	0.236
m	m	1.0
n	n	0.798
n	ŋ	0.189
n	-	0.029
p	p	0.501
p	f	0.34
p	f_ə	0.145
r	ʀ	0.433
r	-	0.256
r	ɐ	0.246
r	d_ɐ	0.045
r_t	ʦ	0.683
r_t	t	0.22
s	ʃ	0.365
s	z	0.322
s	s	0.284
s	-	0.028
s_k	ʃ	1.0
t	t	0.357
t	s	0.185
t	ʦ	0.179
t	k	0.143
t	-	0.094
v	ʋ	0.75
v	v	0.182
v	f	0.062
w	ʋ	0.882
w	-	0.067
ŋ	ŋ	0.701
ŋ	n	0.229
ŋ	ɕ	0.063
ə	ɐ	0.474
ə	ə	0.2
ə	-	0.191
ə	ɪ	0.088
ə	ŋ	0.044
ɦ	h	0.985
ɦ	k	0.033
ɫ	l	1.0
ˈa	ˈa	0.57
ˈa	ˈaː	0.272
ˈa	ˈɛ	0.115
ˈa	ˈɛː	0.044
ˈi	ˈeː	0.594
ˈi	ˈiː	0.193
ˈi	ˈœ	0.07
ˈi	ˈɔʏ̯	0.07
ˈi	ˈeɪ̯	0.07
ˈoːi̯	ˈuː	0.488
ˈu	ˈoː	0.601
ˈu	ˈøː	0.393
ˈuː	ˈoː	0.488
ˈuːi̯	ˈoː	1.0
ˈyː	ˈøː	0.341
ˈyː	ˈyː	0.191
ˈæ	ˈɛː	0.37
ˈæ	ˈɪ	0.18
ˈæː	ˈɛː	1.0
ˈœ	ˈœ	0.679
ˈœ	ˈʊ	0.202
ˈœ	ˈɛ	0.087
ˈœi̯	ˈɛ	1.0
ˈœu̯	ˈa_l	0.519
ˈœu̯	ˈaʊ̯	0.253
ˈœu̯	ˈo	0.163
ˈœɪ̯	ˈuː	0.574
ˈœɪ̯	ˈyː	0.157
ˈœɪ̯	ˈʏ	0.095
ˈœɪ̯	ˈaʊ̯	0.061
ˈɑː	ˈoː	0.413
ˈɑː	ˈaː	0.213
ˈɑː	ˈa	0.106
ˈɑː	ˈɛː	0.093
ˈɑː	ˈøː	0.052
ˈɔ	ˈɔ	0.506
ˈɔ	ˈo	0.197
ˈɔ	-	0.063
ˈɔ	ˈoː	0.063
ˈɔ	ˈaʊ̯	0.055
ˈɔː	ˈɛː	0.574
ˈɔː	ˈo	0.28
ˈə	ˈe	0.433
ˈə	ˈɪ	0.236
ˈə	ˈeː	0.161
ˈə	ˈiː	0.066
ˈə	ˈɛ	0.053
ˈəɪ̯	ˈiː	0.448
ˈəɪ̯	ˈɪ	0.182
ˈəɪ̯	ˈeː	0.109
ˈəɪ̯	ˈeɪ̯	0.105
ˈəɪ̯	ˈɛ	0.073
ˈɛ	ˈɛ	0.377
ˈɛ	ˈɪ	0.2
ˈɛ	ˈʏ	0.132
ˈɛ	ˈɛː	0.095
ˈɛ	ˈe	0.089
ˈɛː	ˈaː	0.37
ˈɛː	ˈa	0.18
ˈɪ	ˈa	0.488
ˈɪø̯	ˈaː	0.322
ˈɪø̯	ˈu	0.322
ˈɪə̯	ˈɛ	0.25
ˈɪə̯	ˈɛː	0.245
ˈɪə̯	ˈeː	0.197
ˈɪə̯	ˈɪ	0.079
ˈɪə̯	ˈe	0.067
ˈʊə̯	ˈuː	0.274
ˈʊə̯	ˈyː	0.173
ˈʊə̯	ˈoː	0.156
ˈʊə̯	ˈʏ	0.109
ˈʊə̯	ˈaʊ̯	0.083
ˈʊə̯_r	ˈoː	1.0
χ	ɕ	0.294
χ	j	0.248
χ	x	0.205
χ	k	0.134
χ	-	0.069
