Franco-Provençal	Asturian	probability
i	a	1.0
m	m	1.0
z	θ	1.0
ɛ	e	1.0
ɲ	n	1.0
ʒ	-	1.0
ˈø	w_ˈe	1.0
ˈɑː	ˈa_l	1.0
ˈɔ	ˈo	1.0
ˈɛ	ˈe	1.0
f	β	0.071
j	-	0.441
l	ʎ	0.631
s	θ	0.501
t	s_t	0.11
w	w	0.551
ð	ð_ɾ	0.081
ʁ	ɾ	0.681
ˈo	ˈo	0.841
ˈoː	ˈo	0.31
ˈu	ˈu	0.41
ˈɛː	j_ˈe	0.051
ˈɛ̃	u	0.701
n	n	0.962
ə	a	0.72
ɡ	-	0.082
ˈa	ˈa	0.672
ˈaː	a	0.072
ˈo	ˈe	0.102
ˈɔ̃	ˈo	0.792
ˈɛ̃	ŋ	0.092
e	e	0.113
e	e_s	0.643
ɡ	ɣ	0.193
ʁ	r	0.143
ˈĩ	ˈi	0.63
ˈɑ̃	ˈa	0.3
ˈɛː	ˈa	0.123
e	-	0.244
k	k	0.844
l	ʎ_u	0.124
l	l	0.154
o	u	0.334
s	s	0.44
ʁ	-	0.074
ʃ	k	0.604
ˈa	ˈa_ɾ	0.214
ˈi	ˈi	0.374
b	β	0.455
p	p	0.965
v	β	0.355
w	-	0.165
ð	ʃ	0.145
ɡ	ɡ	0.725
ˈe	u	0.145
ˈɑ̃	t_u	0.145
ˈɑ̃	u	0.555
b	b	0.516
k	-	0.156
t	t	0.766
w	ˈo	0.146
ʃ	θ	0.396
ʎ	ʝ_u	0.236
ʎ	ʝ	0.456
ˈe	ˈi	0.096
ˈe	j_ˈe	0.16
ˈe	ˈe	0.36
ˈi	ˈe	0.626
ˈo	ˈu	0.056
a	a	0.917
d	-	0.087
d	d	0.877
j	ˈe	0.117
o	o	0.327
v	b	0.587
ð	r	0.057
ˈa	a	0.077
ˈĩ	-	0.37
ˈoː	w_ˈe	0.617
ˈɛ̃	ˈe_n	0.207
f	f	0.88
j	j	0.428
t	k	0.088
v	ɣ	0.058
ð	ɾ	0.68
ə	e	0.28
ˈaː	ˈa	0.928
ˈɔ̃	ˈu	0.208
o	e	0.339
w	ˈu	0.139
ʎ	-	0.309
ˈe	ˈa	0.239
ˈu	ˈo	0.59
ˈɛː	ˈe_j	0.149
ˈɛː	ˈe	0.629
