Bavarian	Bavarian	probability
β	-	1.0
ˈɑ	ˈa	1.0
ˈoː	-	1.0
ˈoɐ̯_x	k	1.0
ˈo_ɐ	ˈoə̯	1.0
ˈiː	-	1.0
ˈeɐ̯	-	1.0
ˈe_ɡ̊	ˈɛi̯	1.0
ˈe_n	ˈɪ_n	1.0
ˈai̯_#>	ˈɛ_j_#>	1.0
ʦ	t	1.0
ʃ_d̥	s_t	1.0
ʃ_#>	s_k_#>	1.0
ɡ̊_#>	#>	1.0
ɑ	ə	1.0
ɐ_#>	#>	1.0
ŋ_ɡ̊	ŋ	1.0
ç	k	1.0
x_d̥	χ_t	1.0
x_#>	k_#>	1.0
x	k	1.0
s_n	t_ə	1.0
n_#>	#>	1.0
l_ˈɑ	l	1.0
l	l	1.0
kʰ	ʦ	1.0
j_d̥	d̥	1.0
i	ɪ	1.0
h	h	1.0
f_ə	v_ə	1.0
f_a	p_ə	1.0
f_#>	p_#>	1.0
f	f	1.0
eɐ̯	j_ɪ	1.0
d̥_n	ə	1.0
d̥_a	r	1.0
d̥_#>	#>	1.0
b̥͡v̥	p	1.0
<#_ˈɑ	<#_ˈaː	1.0
<#_ˈo	<#_ˈɪə̯	1.0
<#_ɡ̊	<#_ɡ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_kʰ	<#_k	1.0
b̥	b	0.909
j	l	0.867
m	m	0.857
r	r	0.842
ˈuɐ̯	ˈuə̯	0.727
ʋ	ʋ	0.682
ˈau̯	ˈuː	0.667
ˈa	-	0.667
ə	-	0.667
ɐ	r	0.667
n_d̥	n	0.667
s	s	0.619
ˈou̯	ˈɪə̯	0.6
n	n	0.6
b̥_#>	f_#>	0.6
ʃ	s	0.556
s_#>	t_#>	0.55
ˈɑː	ˈa	0.5
ˈɑː	-	0.5
ɡ̊_a	χ	0.5
ɡ̊_a	k_ə	0.5
ˈi	ˈɪ	0.481
d̥	d	0.48
ˈe	-	0.467
s_#>	s_#>	0.45
ˈaː	ˈɪə̯	0.444
ʃ	s_k	0.444
ˈo	ˈɔ	0.438
ˈu	-	0.435
ɡ̊	k	0.417
ˈou̯	-	0.4
ˈe	ˈɛ	0.4
ŋ	n	0.4
b̥_#>	#>	0.4
#>	ə_#>	0.379
ˈɒː	ˈaː	0.364
ˈɒː	ˈa	0.364
a	ə_r	0.344
a	ə	0.344
n	ə	0.343
ˈeː	ˈɪə̯	0.333
ˈaː	-	0.333
ˈau̯	-	0.333
ˈa	n	0.333
ə	ə	0.333
ŋ	ŋ	0.333
n_d̥	ˈɔː_n	0.333
ʋ	v	0.318
ˈiɐ̯	ˈɪə̯	0.3
d̥	t	0.28
ˈai̯	ˈiː	0.278
ˈɒː	-	0.273
ˈuɐ̯	-	0.273
ˈoɐ̯	ˈiə̯_n	0.273
ɡ̊	ɣ_ə	0.25
#>	n_#>	0.241
ˈaː	ˈɔ	0.222
ˈai̯	ˈi	0.222
ˈiɐ̯	j_ˈɪ	0.2
ˈiɐ̯	j	0.2
ˈiɐ̯	-	0.2
ˈeː	ˈɛi̯	0.2
ˈeː	ˈeː	0.2
ɐ	-	0.2
d̥	d̥	0.2
ˈo	ˈa	0.188
ˈi	-	0.185
ˈoɐ̯	ˈɪ	0.182
ˈoɐ̯	ˈiə̯	0.182
ˈoɐ̯	ˈaː_j	0.182
ˈoɐ̯	-	0.182
ˈu	ˈɔ	0.174
ˈai̯	j	0.167
ˈai̯	-	0.167
ɡ̊	χ	0.167
ɡ̊	ˈɛi̯	0.167
r	-	0.158
a	r	0.156
ˈi	ˈi	0.148
ˈeː	j_ˈɪ	0.133
ˈeː	-	0.133
ˈe	ˈiə̯	0.133
ɐ	ˈoə̯	0.133
ŋ	ɣ_j	0.133
ŋ	ə	0.133
j	j	0.133
ˈu	ˈu	0.13
ˈo	ˈɔː	0.125
ˈo	ˈoə̯	0.125
ˈo	-	0.125
ˈi	ˈiː	0.111
ˈai̯	j_ˈuə̯	0.111
#>	r_#>	0.103
ˈiɐ̯	ˈu̯o	0.1
s	ə	0.095
s	ɕ	0.095
s	t	0.095
s	s_ˈɪ	0.095
a	-	0.094
b̥	-	0.091
ˈu	ˈɛː	0.087
ˈu	ˈyː	0.087
ˈu	ˈy	0.087
ˈi	ˈɔ	0.074
m	ə	0.071
m	-	0.071
#>	χ_#>	0.069
#>	ˈoː_#>	0.069
#>	l_#>	0.069
#>	k_#>	0.069
a	ˈuə̯_r	0.062
n	-	0.057
ˈai̯	ˈøə̯	0.056
