Piedmontese	Piedmontese	probability
ˈɛ_ŋ	ˈɛ_n	1.0
ˈɛ_t	ˈɛə̯_t	1.0
ˈɛ_n	ˈɛ̃	1.0
ˈɛ_j	ˈeː	1.0
ˈə	-	1.0
ˈu_ŋ	ˈõũ̯	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ŋ_a	n_ɐ	1.0
y	u	1.0
w	v	1.0
v_#>	v_#>	1.0
r_t	r_t	1.0
r_a	r_ɐ	1.0
p	p	1.0
n_#>	#>	1.0
n	n	1.0
m_#>	m_#>	1.0
m	m	1.0
l	l	1.0
k_#>	k_#>	1.0
k	k	1.0
j_a	ɐ	1.0
f	f	1.0
e_#>	#>	1.0
dː	d	1.0
d_#>	d_#>	1.0
d	d	1.0
b	b	1.0
a_v	ɐ_v	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈʌ̃	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_a	<#_ɐ	1.0
t	t	0.946
a	ɐ	0.921
v	v	0.914
r	r	0.889
ˈe_#>	ˈeə̯_#>	0.833
ŋ_#>	#>	0.75
z	z	0.75
s	s	0.7
i	i	0.667
ŋ	n	0.652
ʤ	ð	0.615
s_#>	s_#>	0.615
j	j	0.576
u	u	0.533
ˈy	ˈo	0.5
ˈa_w	ˈeə̯_l	0.5
ˈa_w	ˈeə̯	0.5
ˈa_r	ˈeə̯_r	0.5
ˈa_r	ˈeə̯	0.5
ʧ	θ	0.5
ʧ	ʧ	0.5
ə	ɐ	0.5
ə	-	0.5
ˈɔ	ˈɔə̯	0.481
ˈu	ˈou̯	0.464
ˈa	ˈʌ̃	0.438
ˈi	ˈi	0.4
u	-	0.4
ˈɛ	ˈɛə̯	0.394
#>	ɐ_#>	0.391
ʤ	ʤ	0.385
ˈe	ˈɛ	0.381
i	-	0.333
e	ɐ	0.316
ˈy	ˈu	0.312
ˈø	ˈɔə̯	0.294
ˈø	ˈɔ	0.294
ˈu	ˈo	0.286
j	-	0.273
ˈi	ˈɛ	0.267
e	ɐ_r	0.263
ŋ	ŋ	0.261
s	θ	0.26
ˈa	ˈeə̯	0.25
ˈa	ˈa	0.25
ŋ_#>	j̃_#>	0.25
z	ð	0.25
ˈɛ	ˈɛ	0.242
ˈe	ˈi	0.238
ˈø	ˈu	0.235
s_#>	θ_#>	0.231
ˈɔ	ˈo	0.222
e	ˈi	0.211
ˈi	ˈẽ	0.2
ˈe	-	0.19
ˈy	ˈou̯	0.188
ˈɔ	ˈɔ	0.185
ˈø	-	0.176
#>	r_#>	0.174
ˈe_#>	#>	0.167
e	-	0.158
s_#>	#>	0.154
ˈɛ	ˈeː	0.152
#>	v_#>	0.13
#>	d_#>	0.13
ˈɛ	ˈẽ	0.121
ˈɔ	-	0.111
r	r_ɐ	0.111
ˈu	-	0.107
ˈe	ˈɛə̯	0.095
ˈe	ˈeː	0.095
j	l	0.091
ŋ	-	0.087
#>	ʧ_#>	0.087
#>	ɐ_n_#>	0.087
v	-	0.086
ˈu	ˈõũ̯	0.071
ˈu	u_j	0.071
ˈi	ˈi_ɡ	0.067
ˈi	-	0.067
u	w	0.067
ˈɛ	-	0.061
j	ˈeː_t	0.061
t	-	0.054
e	e	0.053
