Eastphalian	Eastphalian	probability
ˈɛə̯	ˈaː	1.0
ˈɔ_l	ˈaː_l	1.0
ˈœ	-	1.0
ˈøː	-	1.0
ˈyː	ˈɑɪ̯	1.0
ˈeː	-	1.0
ˈaː	ˈaː	1.0
ˈaɪ̯	ˈeː	1.0
ˈa_ɐ	ˈaː	1.0
ʃ	ʃ	1.0
ɪ	ə	1.0
ɣ̊	χ	1.0
ɡ	ʑ	1.0
ə	-	1.0
ɒː	e	1.0
ç	ɕ	1.0
z̥	z̥	1.0
z_ə	z̥	1.0
z	z	1.0
w	w	1.0
r	ʀ	1.0
p_#>	f_#>	1.0
n_ˈɛɪ̯	n_ˈɜɪ̯	1.0
m	m	1.0
l	l	1.0
k_ə	ɕ	1.0
h	h	1.0
d̥_#>	#>	1.0
d	d	1.0
b_m	f_ə	1.0
b	b	1.0
<#_n	<#_n	1.0
n	n	0.942
d̥	d̥	0.92
s	ʃ	0.889
f	f	0.867
ŋ	ŋ	0.846
v	v	0.821
ˈiː	ˈæːɪ̯	0.75
ɐ	ɐ	0.737
x	ɕ	0.714
ˈʊ	ˈo	0.667
ˈeo̯	ˈəʊ̯	0.6
ˈɛ	-	0.583
ɣ	ɡ	0.583
p	p	0.571
n_#>	ŋ_#>	0.571
ˈɛː	-	0.5
ˈoː	-	0.5
ˈa	ˈaː	0.458
ˈɔ	ˈo	0.455
ˈʏ	ˈə	0.444
k	kʰ	0.444
ˈɪ	ˈɑ	0.44
ˈɛɪ̯	ˈɜɪ̯	0.435
ˈɛɪ̯	ˈeː	0.435
ˈɔʏ̯	ˈɜɪ̯	0.429
ˈɒː	ˈoː	0.429
ˈaʊ̯	ˈu	0.429
p	f	0.429
n_#>	#>	0.429
j	-	0.429
ˈɛ	ˈə	0.417
ˈuː	ˈɑʊ̯	0.417
ɣ	-	0.417
ˈeo̯	ˈaː	0.4
ˈa	ˈɑ	0.375
ˈʏ	ˈe	0.333
ˈuː	ˈæːʊ̯	0.333
t	ʦ	0.327
t	t	0.327
t	s	0.327
ˈɔʏ̯	ˈi	0.286
ˈɔʏ̯	-	0.286
ˈaʊ̯	ˈʊ	0.286
ˈaʊ̯	ˈəʊ̯	0.286
x	χ	0.286
j	ɡ	0.286
j	j	0.286
ˈɪ	ˈə	0.28
ˈɛː	ˈiː	0.25
ˈɛː	ˈiə̯	0.25
ˈuː	-	0.25
ˈoː	ˈuː	0.25
ˈoː	ˈaː	0.25
ˈiː	ˈɑɪ̯	0.25
ˈʏ	ˈæːɪ̯	0.222
ˈɔ	ˈɑ	0.182
ˈɔ	ˈuː	0.182
ˈɔ	-	0.182
ˈʊ	ˈʊ	0.167
ˈʊ	ˈɔ	0.167
ŋ	ə	0.154
k	χ	0.148
k	ɕ	0.148
ˈɒː	ˈɜɪ̯	0.143
ˈɒː	ˈəʊ̯	0.143
ˈɒː	ˈaː	0.143
ˈɒː	-	0.143
f	v̥	0.133
ˈɛɪ̯	-	0.13
ˈɪ	ˈe	0.12
s	-	0.111
k	k_ə	0.111
v	w	0.107
ɐ	-	0.105
ˈa	ˈuə̯	0.083
ˈa	-	0.083
ˈɪ	ˈiː	0.08
ˈɪ	-	0.08
d̥	t	0.08
ɐ	ˈiː_ɐ	0.079
ɐ	d_ɐ	0.079
k	ɕ_ə	0.074
k	k	0.074
v	-	0.071
n	n_ə	0.058
