Campidanese	Bellunese	probability
f	f	1.0
nː	n	1.0
rː	r	1.0
s	s	1.0
t	t	1.0
w	w	1.0
ŋ	ŋ	1.0
ɖː	l	1.0
ʃː	s	1.0
ʣ	j	1.0
ʤ	-	1.0
o	-	0.111
u	a	0.051
ð	-	0.241
ʧ	θ	0.871
ˈo	ˈu	0.051
ˈo	ˈɔ	0.321
β	v	0.71
a	a	0.912
d	-	0.182
l	-	0.252
sː	l	0.932
z	-	0.682
ð	t	0.212
ˈa	ˈa	0.982
ˈi	ˈe	0.572
e	e	0.393
i	i	0.163
p	p	0.963
r	j	0.083
r	r	0.83
ɡ	ɡ	0.853
b	-	0.124
m	m	0.914
n	n	0.804
ʒ	θ	0.064
ˈe	e	0.054
ˈe	ˈe	0.454
ˈu	ˈo	0.4
j	ʧ	0.45
j	-	0.55
k	-	0.095
k	k	0.905
ɣ	-	0.225
ɣ	ɡ	0.775
m	-	0.086
ð	d	0.546
ʒ	s	0.076
ʒ	z	0.86
ˈe	j_ˈe	0.106
ˈe	ˈɛ	0.36
ˈu	ˈu	0.6
a	-	0.067
e	a	0.607
i	-	0.087
n	ŋ	0.137
ɡ	-	0.147
b	b	0.298
b	v	0.578
d	d	0.818
i	e	0.548
l	l	0.748
r	-	0.068
sː	s	0.068
z	ð	0.318
ˈi	ˈi	0.428
i	o	0.069
i	ˈi	0.109
n	-	0.059
o	o	0.889
u	o	0.949
ʧ	ʧ	0.129
ˈo	o	0.059
ˈo	ˈo	0.569
β	-	0.29
