Catalan	Ligurian	probability
j	-	1.0
ʃ	ʃ	1.0
ʧ	z_u	1.0
n	ŋ	0.291
s	-	0.071
t	t_u	0.11
ð	-	0.731
ʒ	z	0.851
ˈa	u_#>	0.11
ˈa	ˈa	0.361
r	-	0.072
w	w	0.182
z	-	0.2
ɲ	ɲ_u	0.052
ʎ	-	0.052
ˈe	-	0.12
ˈo	ˈuː	0.172
ˈo	ˈu	0.442
β	v	0.872
b	v	0.723
d	d	0.933
i	-	0.063
m	m_e	0.063
n	n	0.473
p	ʧ	0.083
u	u	0.833
w	e	0.173
ə	u	0.093
ə	e	0.173
ɲ	ŋ	0.13
ɲ	ɲ	0.513
ˈe	ˈeː	0.133
k	ɡ_u	0.104
l	l	0.334
m	m	0.834
ŋ	ŋ_ɡ	0.114
ə	a	0.594
ɡ	ɡ	0.904
ɣ	-	0.054
ɾ	r	0.584
ˈe	ˈe	0.714
ˈi	ˈiː	0.274
ˈo	ˈø	0.074
ˈu	ˈyː	0.4
ˈɛ	ˈeː	0.114
m	-	0.065
s	s	0.875
ɲ	n	0.305
ʎ	ʤ_u	0.145
w	u	0.106
ŋ	ŋ	0.886
ɡ	-	0.096
ɣ	ɡ	0.946
ʎ	ʤ	0.096
ˈa	ˈaː	0.266
ˈu	ˈu	0.106
ˈu	ˈy	0.276
ˈɔ	ˈøː	0.106
ˈɔ	ˈu	0.286
b	b	0.257
d	-	0.067
i	i	0.937
k	k	0.857
t	t	0.607
u	-	0.067
ʎ	l	0.587
ˈa	ˈa_ŋ	0.097
ˈi	ˈi_ŋ	0.077
ˈo	u	0.057
ˈu	ˈø	0.147
ˈɔ	ˈɔː	0.437
ˈɛ	ˈe	0.497
f	f	0.98
l	-	0.498
n	ŋ_t	0.228
p	p	0.908
r	r	0.928
z	z	0.8
ɾ	-	0.328
ˈi	ˈeː	0.058
ˈo	ˈy	0.068
ˈo	ˈu_ŋ	0.138
β	-	0.128
l	j	0.139
t	-	0.069
t	t_e	0.19
w	ʒ_e	0.469
ð	t	0.269
ɾ	j	0.089
ʎ	l_u	0.109
ʒ	ʤ	0.149
ˈi	ˈi	0.59
ˈɔ	ˈɔ	0.09
ˈɛ	ˈɛː	0.299
