Sassarese	Sassarese	probability
ˈɛ_n	ɑ̃	1.0
ˈɛ_j	ɛ_ʁ	1.0
ˈɛ_dː	o	1.0
ˈɔ_ʦ	w	1.0
ˈɔ_ɬ	ɔ	1.0
ˈɔ_ɡː	ø	1.0
ˈɔ_n	ɔ̃	1.0
ˈɔ_dː	u	1.0
ˈo_n	ɔ̃	1.0
ˈo_j	u	1.0
ˈi_ŋ	ɛ̃	1.0
ˈi_n	ɛ̃	1.0
ˈa_z	e	1.0
ˈa_n	ɛ̃	1.0
ʧː_i	j	1.0
ʧː	-	1.0
ʧ	k_l	1.0
ʤː	-	1.0
ʤ	ʒ	1.0
ʣ	-	1.0
ʒ	-	1.0
ʎː	j	1.0
ʃː	-	1.0
ɲː_u	ɛ̃	1.0
ɲː	ɲ	1.0
ɬ	-	1.0
ɡː	-	1.0
ŋ	ɑ̃	1.0
z	-	1.0
xː	ʃ	1.0
x	k	1.0
w_ˈa	a	1.0
v	v	1.0
u_n	ɔ̃	1.0
u_#>	#>	1.0
tː_u	i	1.0
tː_i_#>	#>	1.0
tː	t	1.0
t_i_#>	#>	1.0
sː	s	1.0
s	s	1.0
rː	ʁ	1.0
r_u	l	1.0
pː	p	1.0
p_ˈu	p_w	1.0
o	-	1.0
nː	-	1.0
lː	l	1.0
kː	ʃ	1.0
k_ˈa	ʃ	1.0
k_a	ʃ	1.0
j_u	ʒ	1.0
i_#>	#>	1.0
fː	f	1.0
f	f	1.0
e	-	1.0
dː_u_#>	#>	1.0
dː_u	a	1.0
a_r	ʁ	1.0
a_#>	#>	1.0
<#_ˈa	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_i	<#_e	1.0
m	m	0.905
p	p	0.808
a	a	0.789
ˈa_#>	e_#>	0.778
#>	ʁ_#>	0.778
r	ʁ	0.765
b	b	0.737
j	l	0.7
ˈu	y	0.692
ɡ	ɡ	0.643
dː	-	0.625
ʦ	s	0.615
ʦː	s	0.6
bː	-	0.6
n	n	0.591
k	k	0.565
t	t	0.556
d	-	0.55
β	-	0.5
mː	m	0.5
mː	-	0.5
ˈɔ	ɔ	0.45
d	d	0.45
k	ʃ	0.435
ʦː	-	0.4
bː	v	0.4
ʦ	-	0.385
dː	l	0.375
ˈa	ɛ	0.371
ɡ	-	0.357
ˈi	i	0.345
ˈo	œ	0.333
ˈe	ɛ	0.32
ˈa	a	0.314
ˈu	u	0.308
β	f	0.3
j	-	0.3
ˈe	w_a	0.28
ˈɛ	ɛ	0.278
u	u	0.263
b	v	0.263
ˈɔ	œ	0.25
i	-	0.241
ˈo	u	0.238
ˈɛ	-	0.222
ˈa_#>	#>	0.222
t	ʁ	0.222
t	-	0.222
#>	e_#>	0.222
ˈi	i_ʁ	0.207
i	w	0.207
β	v	0.2
ˈe	-	0.2
r	l	0.196
p	-	0.192
ˈo	-	0.19
ˈɛ	a	0.167
u	ø	0.158
u	i	0.158
ˈɔ	o	0.15
ˈɔ	-	0.15
ˈo	ɔ	0.143
i	j	0.138
i	a	0.138
n	ɛ̃	0.136
n	ɑ̃	0.136
n	-	0.136
ˈe	i	0.12
ˈa	o	0.114
ˈa	-	0.114
ˈɛ	ɑ̃	0.111
ˈɛ	j_ɛ	0.111
ˈɛ	j	0.111
u	ɔ	0.105
u	y	0.105
u	e	0.105
u	-	0.105
a	ɛ	0.105
a	v	0.105
ˈi	w	0.103
i	ɛ	0.103
i	ə	0.103
ˈo	ɔ̃	0.095
m	-	0.095
ˈa	e	0.086
ˈe	w	0.08
ˈi	w_a	0.069
ˈi	e	0.069
ˈi	d_ʁ	0.069
ˈi	a	0.069
ˈi	-	0.069
i	e	0.069
