Russian	Slovak	probability
ˈɨ	ˈi	1.0
ˈɛ	ˈɛ	1.0
ˈo_ɫ	ˈɫ̩	1.0
ˈe_r	ˈr̩	1.0
ʐ	ʒ	1.0
ʊ	ˈu	1.0
ʂ	ʃ	1.0
ɡ	ɦ	1.0
ɐ_r	r	1.0
zʲ	z	1.0
z	z	1.0
x	x	1.0
vʲ	ʋ	1.0
tʲ	c	1.0
t	t	1.0
sʲ	s	1.0
s	s	1.0
rʲ	r	1.0
pʲ	p	1.0
p	p	1.0
nʲ	ɲ	1.0
n_ɨ	n	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
kʲ	k	1.0
k_#>	x_#>	1.0
k	k	1.0
dʲ	ɟ	1.0
d	d	1.0
bʲ	b	1.0
b	b	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
j	iː	0.833
r	r	0.818
ɐ	ˈɔ	0.8
ɫ	ɫ	0.737
ˈi	ˈi	0.714
ʦ	ʦ	0.667
ˈa	a	0.65
ˈu	ˈu	0.6
ˈe	ˈɛ	0.6
v	ʋ	0.583
ɨ_j	iː	0.556
ˈɵ	ˈɛ	0.5
ˈɵ	-	0.5
lʲ	ʎ	0.5
lʲ	l	0.5
ɨ_j	i	0.444
ə	ɔ	0.44
ʨ	ʧ	0.429
v	v	0.417
ˈo	ˈɔ	0.407
ˈu	ˈuː	0.4
ˈa	ˈa	0.35
ʦ	k	0.333
ɪ	ˈɛ	0.333
ˈi	-	0.286
ʨ	ʦ	0.286
ʨ	-	0.286
ə	a	0.28
ˈo	ˈa	0.222
ˈe	ɪ̯ˈɛ	0.2
ˈe	ɛ	0.2
ɐ	-	0.2
ɪ	-	0.19
r	ˈr̩	0.182
j	j	0.167
ə	-	0.16
ɫ	l	0.158
ɪ	ɪ̯ˈɛ	0.143
ɪ	ɛ	0.143
ə	ɛ	0.12
ˈo	ɔ	0.111
ˈo	-	0.111
ɫ	d_ɫ	0.105
ɪ	ʃ	0.095
ɪ	ɔ	0.095
ˈo	ˈaː	0.074
ˈo	ʊ̯ˈɔ	0.074
