Occitan	Campidanese	probability
f	f	1.0
i	i	1.0
v	b	1.0
ð	ð	1.0
ŋ	ŋ	1.0
ɥ	-	1.0
ʦ	ʒ_i	1.0
ʧ	t	1.0
ˈy	ˈu	1.0
d	-	0.221
l	u	0.061
l	-	0.161
s	z	0.121
s	s	0.631
ˈa	ˈa	0.541
b	-	0.052
l	r	0.082
ɣ	-	0.292
ɲ	ɲː	0.402
ʤ	ʤ	0.342
ˈe	ˈi	0.532
ˈu	ˈo_n	0.052
ˈu	ˈu	0.372
ˈɔ	ˈo	0.922
e	i	0.353
l	l_i	0.063
n	n	0.893
u	ˈo	0.313
w	e	0.193
z	ʒ	0.613
ɔ	a	0.953
ɡ	b	0.113
ɡ	ɡ	0.803
ˈa	ˈa_r	0.073
ˈa	u_#>	0.083
s	ʧ	0.104
t	ð_u	0.254
w	-	0.354
ɡ	ɡ_w	0.084
ˈe	ˈe	0.424
a	a	0.885
j	-	0.455
j	e	0.545
k	k	0.85
l	l_u	0.105
p	p	0.975
ɾ	r	0.785
ʎ	-	0.35
ʎ	ʣ	0.65
ʤ	b	0.185
ˈi	i	0.065
m	m	0.976
r	rː	0.076
r	r	0.796
ʤ	ɣ	0.266
ˈi	e	0.06
ˈi	ˈi	0.756
ˈɛ	ˈi	0.056
ˈɛ	ˈe	0.886
e	a	0.057
e	u	0.247
l	l	0.437
r	-	0.07
z	-	0.387
ɾ	e_r	0.087
ɾ	-	0.127
ʤ	-	0.207
ˈu	ˈo	0.547
β	-	0.607
a	-	0.088
b	b	0.948
e	e	0.258
s	-	0.068
t	t	0.668
u	-	0.118
w	u	0.408
ɣ	ɣ	0.708
ɲ	n_ʤ	0.598
ˈa	ˈa_n	0.058
ˈɔ	ˈo_β	0.078
ˈɛ	ˈe_ɖː	0.058
d	d	0.779
u	o	0.569
ˈa	i_#>	0.089
ˈi	ˈi_n	0.089
β	β	0.379
