Nynorsk Norwegian	Afrikaans	probability
b	b	1.0
d	d	0.671
d	t	0.197
d	-	0.115
e	-	0.604
e	ə	0.354
e	ˈœu̯	0.039
f	f	0.959
f	v	0.052
h	ɦ	0.86
h	-	0.075
h	k	0.065
j	-	0.538
j	χ	0.347
j	ɦ	0.109
k	k	0.462
k	-	0.426
k	χ	0.091
kʰ	k	0.586
kʰ	v	0.24
kʰ	-	0.117
kʰ	f	0.055
l	ɫ	0.741
l	l	0.214
l	-	0.047
lː	ɫ	0.538
lː	t	0.422
m	m	0.985
m	-	0.041
m_j	m	1.0
mː	m	0.514
n	n	0.737
n	-	0.165
n	ə_ŋ	0.093
nː	n_t	0.415
nː	n	0.403
nː	r	0.174
p	p	1.0
pʰ	p	0.514
s	s	1.0
sː	s	0.514
t	t	0.833
t	-	0.164
tʰ	d	0.696
tʰ	t	0.29
v	v	0.514
ç	k	0.461
ç	d	0.333
ç	t	0.191
çː	t	0.264
ŋ	n	0.136
ŋː	ŋ	1.0
ɑ	-	0.939
ɑ	ə	0.066
ə	-	0.448
ə	ˈəɪ̯	0.061
ɛ	ə	0.574
ɛ	-	0.295
ɡ	χ	0.808
ɡ	k	0.096
ɡ	-	0.084
ɡ_l	ɫ	1.0
ɡ_ɑ	χ	1.0
ɡː	χ	1.0
ɲ	ŋ	0.514
ɾ	r	0.837
ɾ	-	0.078
ɾ	ə_r	0.052
ɾ	r_t	0.037
ʃ	s	1.0
ʉ	-	1.0
ʋ	v	0.369
ʋ	f	0.33
ʋ	-	0.145
ʋ	w	0.128
ʋ_ˈɑː	ˈa	1.0
ʰkː	ŋ_k	0.683
ʰkː	k	0.232
ʰtː	χ	0.833
ʰtː	χ_t	0.117
ˈeː	ˈɪə̯	0.351
ˈeː	ˈi	0.306
ˈeː	ˈɛ	0.12
ˈeː	ˈə	0.091
ˈeː	ˈəɪ̯	0.071
ˈiː	ˈəɪ̯	0.561
ˈiː	ˈə	0.206
ˈiː	ˈi	0.118
ˈiː	ˈɪə̯	0.07
ˈiː	-	0.044
ˈoː	ˈɑː	0.559
ˈoː	ˈʊə̯	0.171
ˈoː	ˈi	0.105
ˈoː	ˈa	0.085
ˈoː	ˈɔ	0.072
ˈuː	ˈu	0.472
ˈuː	ˈuː	0.19
ˈuː	ˈɑː	0.109
ˈuː	ˈɔ	0.089
ˈuː	ˈʊə̯	0.085
ˈyː	ˈi	0.627
ˈyː	ˈyː	0.217
ˈyː	ˈœɪ̯	0.143
ˈæ	ˈæː	0.514
ˈæɪ̯	ˈəɪ̯	0.525
ˈæɪ̯	ˈɪə̯	0.295
ˈæɪ̯	ˈɛː	0.132
ˈæʉ̯	ˈʊə̯	0.833
ˈæʉ̯	ˈoːi̯	0.143
ˈæːɪ̯	ˈɪə̯	0.514
ˈøː	ˈu	0.348
ˈøː	ˈɪə̯	0.19
ˈøː	ˈʊə̯	0.17
ˈøː	ˈɛ	0.109
ˈøː	w	0.083
ˈœ	ˈɛ	0.574
ˈœ	ˈɪə̯	0.295
ˈœʏ̯	ˈʊə̯	1.0
ˈɑ	ˈa	0.731
ˈɑ	ˈɑː	0.094
ˈɑ	ˈœu̯	0.082
ˈɑ	ˈɔː	0.054
ˈɑ	ˈæ	0.044
ˈɑː	ˈɑː	0.62
ˈɑː	ˈa	0.245
ˈɑː	ˈɛː	0.073
ˈɑː	ˈɪø̯	0.057
ˈɔ	ˈɔ	0.488
ˈɔ	ˈa	0.274
ˈɔ	ˈɪø̯	0.116
ˈɔ	w	0.085
ˈɛ	ˈɛ	0.457
ˈɛ	ˈa	0.246
ˈɛ	ˈæː	0.105
ˈɛ	ˈə	0.066
ˈɛ	ˈɪə̯	0.066
ˈɛː	ˈɑː	0.339
ˈɛː	ˈɪə̯	0.339
ˈɪ	ˈə	0.808
ˈɪ	-	0.187
ˈʉ	ˈɔ	0.468
ˈʉ	v_ˈɔ	0.16
ˈʉ	ˈʊə̯	0.139
ˈʉ	-	0.106
ˈʉ	ˈœu̯	0.082
ˈʉː	ˈœɪ̯	0.451
ˈʉː	ˈi	0.279
ˈʉː	ˈuːi̯	0.089
ˈʉː	ˈɔ	0.085
ˈʉː	ˈɪə̯	0.076
ˈʊ	ˈʊə̯	0.359
ˈʊ	ˈɔ	0.213
ˈʊ	ˈœɪ̯	0.122
ˈʊ	j	0.098
ˈʊ	ˈə	0.095
ˈʏ	ˈœ	0.359
ˈʏ	v_ˈɛ	0.133
ˈʏ	-	0.116
ˈʏ	ˈɔ	0.116
ˈʏ	ˈɛ	0.088
