Latvian	Upper Sorbian	probability
ʧ	ʃ	1.0
ʦ	k	1.0
ʎ	l	1.0
ʃ	ɪ	1.0
ɲ	m	1.0
ɡ̊	x	1.0
ɡ	ɦ	1.0
ɛː	e	1.0
ɛ_n	a	1.0
æː	-	1.0
æ_d	d̥	1.0
z̥	z̥	1.0
w	-	1.0
u	-	1.0
t_s	ɪ	1.0
s_s	xʲ	1.0
r̩	ʀ	1.0
k_t	ʦ	1.0
iː	i	1.0
e	a_ʦ	1.0
d̥	d̥	1.0
b̥	b̥	1.0
ai̯	e	1.0
z	z	0.878
ʣ	ʒ	0.8
b	b	0.763
æ	ɔ	0.712
iɛ̯	ɛ	0.695
aː	-	0.664
uɔ̯	u	0.644
uː	ɪ	0.615
k	k	0.586
l	w	0.572
r	ʀ	0.562
d	ʥ	0.561
p	-	0.559
m	m	0.559
v	ɥ	0.536
au̯	u	0.506
t	t	0.502
au̯	-	0.494
s	s	0.463
n	n	0.461
p	p	0.441
d	d	0.439
r	ʀʲ	0.438
ɛ	ɛ	0.424
k	-	0.414
uː	w	0.385
uɔ̯	-	0.356
v	w	0.337
aː	a	0.336
i	-	0.332
a	-	0.322
t	ʨ	0.321
a	ɔ	0.32
iɛ̯	e	0.305
æ	-	0.288
n	-	0.28
m	mʲ	0.265
i	ɔ	0.262
a	o	0.262
n	ɲ	0.26
s	ɪ	0.24
b	bʲ	0.237
ɛ	ɔ	0.218
s	ɔ	0.207
ʣ	ʒ̊	0.2
l	l	0.191
l	l_ɛ	0.179
t	-	0.176
m	-	0.176
ɛ	a	0.158
i	e	0.147
i	ʨ	0.133
v	-	0.127
i	d_ɔ	0.126
z	ɦ	0.122
ɛ	e	0.1
ɛ	-	0.1
a	a	0.096
s	x	0.076
l	ɔ	0.058
