Saterland Frisian	Saterland Frisian	probability
ˈɔːɪ̯	ˈɔ	1.0
ˈœː	ˈi	1.0
ˈøː	ˈœː	1.0
ˈu	-	1.0
ˈiːu̯	ˈi	1.0
ˈiː_r	ʀ	1.0
ˈi_#>	ˈɛ_#>	1.0
ˈaːu̯	-	1.0
ˈaːi̯	ˈɛi̯	1.0
ˈa	ˈɒ	1.0
ɪ_x	i	1.0
ɣ_j	j	1.0
ɡ	ɡ	1.0
ə_l	l_i	1.0
ŋ	ŋ	1.0
w	v	1.0
v_ə	v̥	1.0
v	v	1.0
s_l	s_l	1.0
s_k	ʃ	1.0
n_s	ˈa_n	1.0
n_d	nʲ	1.0
m	m	1.0
l_ə	l	1.0
l_d	lʲ	1.0
j_ˈʊ	ˈʊ	1.0
j_ˈoː	ˈiː	1.0
j_ə	ə	1.0
i	ɛi̯	1.0
h	h	1.0
f_#>	v̥_#>	1.0
f	f	1.0
d_ə	ʀ	1.0
d_r	d_ʀ	1.0
b	b	1.0
<#_ˈaː	<#_ˈɒ	1.0
<#_ˈa	<#_ˈa	1.0
<#_v	<#	1.0
<#_d	<#	1.0
s	s	0.958
n	n	0.895
r	ʀ	0.893
l	l	0.886
k	k	0.871
p	p	0.857
ə	ə	0.829
ˈi	ˈi	0.818
ˈeː	ˈiː	0.812
ˈʊ	ˈʊ	0.786
t	t	0.742
j	j	0.7
ˈiː	ˈi	0.6
z	z	0.6
ˈɛ	ˈeː	0.556
ˈɔ	ˈɔː	0.5
ˈɔ	-	0.5
ˈaː	ˈɒː	0.5
ˈaː	-	0.5
ɣ_ə_#>	x_#>	0.5
ɣ_ə_#>	#>	0.5
ɣ	ɡ	0.5
x	x	0.5
ˈoːu̯	ˈœ	0.478
ˈɪ	ˈa	0.429
ˈɪ	-	0.429
z	-	0.4
ˈoː	ˈuː	0.379
ˈɛː	ˈeː	0.364
ˈɛː	ˈa	0.364
ˈuː	ˈʏ	0.364
ˈɔː	-	0.333
ˈuː	-	0.318
j	ˈiː	0.3
ɣ	-	0.286
ˈɔː	ˈɒː	0.278
ˈoː	ˈyː	0.276
ˈɛː	-	0.273
d	d	0.273
d	-	0.25
ˈɛɪ̯	ˈɛi̯	0.238
ˈuː	ˈœː	0.227
ˈɛ	ˈa	0.222
ˈɛ	-	0.222
ˈʊ	-	0.214
ˈɛɪ̯	ˈɛ	0.19
ˈɛɪ̯	-	0.19
ˈeː	-	0.188
ˈi	-	0.182
ˈoːu̯	ˈɔu̯	0.174
ə	-	0.171
ˈɔː	ˈɒ	0.167
x	-	0.167
d	d̥	0.159
d	dʲ	0.159
t	tʲ	0.145
ˈɪ	ˈai̯	0.143
ˈɛɪ̯	ˈai̯	0.143
ˈɛɪ̯	j_ˈa	0.143
ɣ	j	0.143
p	-	0.143
ˈoː	ˈɔː	0.138
ˈiː	ˈɛː	0.133
ˈiː	ˈiː	0.133
ˈiː	ˈaː	0.133
ˈoːu̯	ˈɔ	0.13
ˈoːu̯	ˈœi̯	0.13
ˈɔː	ˈɔ	0.111
ˈɔː	d	0.111
x	ŋ	0.111
x	ç	0.111
x	v̥	0.111
ˈɛɪ̯	ˈa	0.095
ˈuː	ˈɔu̯_d	0.091
d	ʀ_d̥	0.091
ˈoːu̯	-	0.087
ɣ	w	0.071
r	ə_ʀ	0.071
ˈoː	ˈʊ	0.069
ˈoː	nʲ	0.069
ˈoː	-	0.069
l	lʲ	0.068
d	z̥	0.068
k	ʃ	0.065
k	-	0.065
n	nʲ	0.053
n	-	0.053
