Eastphalian	American English	probability
b	b	0.944
b	v	0.058
b_m	p	1.0
d	d	0.633
d	θ	0.28
d	ð	0.082
f	f	0.931
f	v	0.067
h	h	1.0
j	j	0.397
j	ˈeɪ̯	0.346
j	ɡ	0.121
j	ˈaɪ̯	0.082
k	k	0.391
k	ʧ	0.339
k	kʰ	0.115
k	-	0.075
k	ʤ	0.05
l	l	0.468
l	ɫ	0.438
l	-	0.086
l_ə	ɫ	1.0
m	m	1.0
n	n	0.629
n	-	0.336
p	p	0.915
p	d	0.062
p_ə	p	1.0
r	ɹ	0.934
r	θ	0.042
r	-	0.038
s	s	1.0
t	t	0.522
t	d	0.24
t	tʰ	0.17
t	ɾ	0.035
t	-	0.033
t_n	t	1.0
t_ə	t	1.0
v	w	0.788
v	v	0.204
v_ˈoː	w	1.0
w	w	0.822
w	-	0.111
x	-	0.663
x	t	0.202
x	f	0.092
z	s	0.773
z	z	0.141
z	-	0.072
z_ə	z	1.0
ç	-	0.818
ç	t	0.18
ŋ	ŋ	0.901
ŋ	-	0.099
ɐ	ɚ	0.572
ɐ	ɹ	0.264
ɐ	ɡ_ɚ	0.077
ɐ	ˈɝ	0.044
ɐ	-	0.038
ə	-	0.885
ə	ə	0.05
ə	ɚ	0.049
ə	ɪ	0.037
ɡ	l	0.49
ɣ	ɡ	0.605
ɣ	-	0.294
ɣ	ʤ	0.095
ɪ	i	1.0
ʃ	ʃ	0.911
ʃ	s	0.083
ˈa	ˈæ	0.473
ˈa	ˈɑ	0.189
ˈa	ˈaɪ̯	0.117
ˈa	ˈʌ	0.088
ˈa	ˈɔ	0.058
ˈa_x	ˈeɪ̯	1.0
ˈaʊ̯	ˈu	0.386
ˈaʊ̯	ˈʊ	0.279
ˈaʊ̯	ˈʌ	0.243
ˈaʊ̯	ˈaʊ̯	0.071
ˈaː	ˈæ	0.629
ˈaː	ˈɔ	0.221
ˈaː	ˈi	0.046
ˈeo̯	ˈi	0.356
ˈeo̯	ˈaɪ̯	0.205
ˈeo̯	ˈɛ	0.193
ˈeo̯	ˈeɪ̯	0.155
ˈeo̯	ˈoʊ̯	0.059
ˈeː	ˈoʊ̯	0.238
ˈeː	ˈɑ	0.238
ˈeː	ˈɝ	0.154
ˈeː	ˈɛ	0.127
ˈeː	ˈaɪ̯	0.062
ˈiː	ˈaɪ̯	0.512
ˈiː	ˈi	0.306
ˈiː	ˈɪ	0.123
ˈiː	ˈu	0.052
ˈoː	ˈoʊ̯	0.341
ˈoː	ˈi	0.341
ˈoː	ˈʌ	0.117
ˈoː	ˈɔ	0.071
ˈuː	ˈaʊ̯	0.878
ˈuː	ˈaɪ̯	0.107
ˈyː	ˈaɪ̯	0.392
ˈyː	ˈɪ	0.221
ˈyː	ˈi	0.221
ˈøː	ˈi	0.629
ˈøː	ˈaɪ̯	0.361
ˈœ	ə	0.371
ˈœ	ˈɛ	0.182
ˈɒː	ˈi	0.312
ˈɒː	ˈeɪ̯	0.236
ˈɒː	ˈɑ	0.165
ˈɒː	ˈɛ	0.133
ˈɒː	ˈu	0.109
ˈɔ	ˈɑ	0.428
ˈɔ	ˈoʊ̯	0.246
ˈɔ	ˈʌ	0.12
ˈɔ	ˈɔ	0.089
ˈɔ	ˈɛ	0.074
ˈɔʏ̯	ˈi	1.0
ˈɛ	ˈɛ	0.29
ˈɛ	ˈɪ	0.252
ˈɛ	ˈaɪ̯	0.139
ˈɛ	-	0.114
ˈɛ	ˈæ	0.08
ˈɛə̯	ˈeɪ̯	1.0
ˈɛɪ̯	ˈi	0.369
ˈɛɪ̯	ˈoʊ̯	0.194
ˈɛɪ̯	ˈɛ	0.125
ˈɛɪ̯	ˈɑ	0.063
ˈɛɪ̯	ˈaɪ̯	0.063
ˈɛː	ˈɛ	0.162
ˈɛː	ˈɝ	0.158
ˈɛː	ˈu	0.114
ˈɛː	-	0.111
ˈɛː	ˈi	0.111
ˈɪ	ˈɪ	0.591
ˈɪ	ˈaɪ̯	0.261
ˈɪ	ˈɛ	0.099
ˈɪ	ˈoʊ̯	0.049
ˈʊ	ˈʌ	0.453
ˈʊ	ˈʊ	0.336
ˈʊ	ˈaʊ̯	0.2
ˈʏ	ˈɪ	0.627
ˈʏ	ˈɛ	0.209
ˈʏ	ˈʌ	0.135
