Lengadocian	Lengadocian	probability
β	β	1.0
ˈɔ_k	ˈe_ɣ	1.0
ˈu_#>	ˈo_n_#>	1.0
ˈi_w	ˈi_o	1.0
ˈe_j	ˈe	1.0
ˈa_w	ˈo	1.0
ʦ_#>	θ_#>	1.0
ʎ	x	1.0
ʀ_#>	ɾ_n_o_#>	1.0
ɾ_ɔ	ɾ_a	1.0
ɾ	ɾ	1.0
ɲ	ɲ	1.0
ɥ_ˈɛ	ˈo	1.0
ɣ	ɣ	1.0
ɡ	ɡ	1.0
ɔ	a	1.0
ŋ	ŋ	1.0
ð	ð	1.0
y	-	1.0
w_#>	β_e_#>	1.0
t_#>	ð_#>	1.0
s_a	s_a	1.0
s_#>	s_#>	1.0
p_l	ɟ͡ʝ	1.0
p_#>	β_o_#>	1.0
p	p	1.0
nː	m_b_ɾ	1.0
mː	m	1.0
m	m	1.0
l_ˈe	l_ˈe	1.0
l_#>	l_#>	1.0
k_l	ɟ͡ʝ	1.0
k_#>	k_o_#>	1.0
j_ˈɛ	ˈe	1.0
j_ɾ	ð_ɾ	1.0
j_s	θ_ˈe	1.0
f	f	1.0
e_n	e_n	1.0
b_ˈɛ	e_ɾ	1.0
b	b	1.0
a	a	1.0
<#_ˈa_w	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_u	<#_o	1.0
<#_t	<#_t	1.0
<#_s	<#_θ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_f	<#	1.0
<#_e	<#_e	1.0
<#_a	<#_a	1.0
k	k	0.898
n	n	0.857
d	d	0.833
ˈi	ˈi	0.818
u	o	0.812
ˈa	ˈa	0.797
s	s	0.796
ˈe	ˈe	0.793
t	t	0.793
ˈɔ	w_ˈe	0.792
ʧ	ʧ	0.75
e_#>	#>	0.75
ˈy	ˈu	0.722
ˈu	ˈo	0.676
<#_ʤ	<#_x	0.667
ˈɛ	j_ˈe	0.621
e	e	0.605
ʀ	ɾ	0.6
j	j	0.538
#>	o_#>	0.519
ɥ	w	0.5
w	β	0.444
l	l	0.429
ʀ	r	0.4
z	θ	0.4
z	s	0.4
i	o	0.375
i	i	0.375
ʤ	ʝ	0.333
ʤ	ɟ͡ʝ	0.333
ʤ	-	0.333
w	o	0.333
<#_ʤ	<#	0.333
j	-	0.308
l	ʝ	0.286
e	o	0.263
ʧ	-	0.25
ɥ	ˈu	0.25
ɥ	-	0.25
i	j	0.25
e_#>	ɾ_#>	0.25
#>	ɾ_#>	0.25
ˈɛ	ˈe	0.241
w	-	0.222
ˈu	w_ˈe	0.206
z	-	0.2
u	u	0.188
l	x_o	0.171
ˈy	ˈu_ɾ	0.167
d	-	0.167
j	ˈe	0.154
t	ð_o	0.138
ˈɔ	ˈo	0.125
ˈu	ˈu	0.118
#>	e_#>	0.115
ˈy	-	0.111
ˈa	ˈa_n	0.108
s	θ	0.102
n	-	0.086
ˈɔ	ˈe	0.083
e	i	0.079
ˈɛ	ˈi	0.069
ˈɛ	j	0.069
ˈe	ˈe_n	0.069
ˈe	o	0.069
ˈe	-	0.069
t	ð	0.069
ˈi	ˈi_n	0.061
ˈi	ɾ	0.061
ˈi	n	0.061
s	o	0.061
k	ɡ	0.061
#>	t_o_#>	0.058
n	ɲ	0.057
l	ɟ͡ʝ	0.057
l	m_ˈo	0.057
e	ˈe	0.053
