Elfdalian	Elfdalian	probability
ˈʉː	-	1.0
ˈɛː	-	1.0
ˈɔ	ˈɒ	1.0
ˈɑːu̯	ˈaʊ̯	1.0
ˈɑːi̯	ˈaɪ̯	1.0
ˈœ	ˈɪ	1.0
ˈæ	ˈɛ	1.0
ˈyːœ̯	ˈiː	1.0
ˈiːe̯	ˈaː	1.0
ʨː	-	1.0
ʥː	ɡ̊	1.0
ʥ	ɡ̊	1.0
ʏ	ɐ	1.0
ʉ_ŋ	ɪ	1.0
ʉ	-	1.0
ɽ	l	1.0
ɪ_n	i	1.0
ɣ_ɑ	ŋ	1.0
ɡː	ɡ̊_n	1.0
ɡ_ɑ	a	1.0
ɡ_#>	#>	1.0
ɡ	ɡ̊	1.0
ɛ_ɽ	l	1.0
ɛ_r	ɐ	1.0
ɛ	-	1.0
ɔ̃	eː	1.0
ɑ̃	-	1.0
ɑ_#>	#>	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
ð_ɛ	ɾ	1.0
ð	d̥	1.0
w	v	1.0
v_#>	b̥_#>	1.0
tː_#>	ç_d̥_#>	1.0
t_ˈiːe̯	t	1.0
sː	n_s	1.0
s_ʨ	ʃ	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
s_j	s	1.0
rː	ə	1.0
r_ɑ	ɐ	1.0
r_#>	#>	1.0
pː	b̥͡v̥	1.0
pʰ	b̥͡v̥	1.0
p_#>	f_#>	1.0
n_d	n	1.0
n_#>	#>	1.0
mː	m	1.0
m	m	1.0
l̥	ʃ_l	1.0
lː	l	1.0
l	l	1.0
kː	ɡ̊	1.0
kʰ	ɡ̊	1.0
k_ˈɑ	ˈa	1.0
j_ˈʉːə̯	ˈiː	1.0
d	d̥	1.0
b	b̥	1.0
a	ˈɘ_ɐ	1.0
<#_ˈɑː	<#_ˈɒ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_j	<#_h	1.0
f	f	0.882
ˈɪ	ˈɪ	0.824
ˈɑ	ˈɒ	0.818
n	n	0.81
p	f	0.75
<#	<#_h	0.75
ˈʉə̯	ˈɔ	0.667
ˈœː	-	0.667
ˈæː	-	0.667
tʰ	d̥	0.667
j	-	0.667
s	s	0.647
ˈɑː	ˈoː	0.625
nː	n	0.625
ˈʏː	ˈaɪ̯	0.6
ˈʏ	ˈɪ	0.6
ˈʉ	ˈʊ	0.6
ˈoː	-	0.6
ˈo	-	0.6
ɔ	-	0.6
r	ɐ	0.591
ˈʉːə̯	ˈuː	0.571
ˈɛ	ˈɛ	0.571
ˈɔː	ˈoː	0.556
ɣ	ç	0.556
ɑ	n	0.556
ˈɪː	ˈiː	0.5
ˈɪː	ˈaɪ̯	0.5
ˈɔ̃ː	ˈɒ	0.5
ˈɔ̃ː	-	0.5
k	x	0.455
ɣ	x	0.444
ˈɛ	-	0.429
v	β	0.429
t	s	0.429
ˈʏː	-	0.4
ˈʏ	-	0.4
ˈoː	ˈoː	0.4
ˈo	ˈɒ	0.4
ɔ	n	0.4
nː	ɐ_n	0.375
r	r	0.364
#>	n_#>	0.357
ˈʉə̯	-	0.333
ˈœː	ˈuː	0.333
ˈæː	ˈiː	0.333
tː	ʦ	0.333
tː	x_d̥	0.333
tː	-	0.333
tʰ	ʦ	0.333
j	ˈiː	0.333
ɑ	a	0.296
s	ʃ	0.294
ˈʉːə̯	ˈiː	0.286
v	f_a	0.286
v	-	0.286
k	ɡ̊	0.273
k	ç	0.273
ˈʉ	ˈɔ	0.267
ˈɑː	ˈɒ	0.25
p	v̥	0.25
<#	<#_v	0.25
t	z̥	0.238
ˈɔː	ˈɒ_l	0.222
ˈɔː	-	0.222
#>	s_#>	0.214
t	d̥	0.19
ˈɑ	-	0.182
ˈɪ	-	0.176
ˈʉːə̯	l	0.143
t	ʦ	0.143
#>	ɐ_#>	0.143
#>	m_#>	0.143
#>	d̥_#>	0.143
ˈʉ	-	0.133
ˈɑː	ˈɒː	0.125
f	f_ˈɔ	0.118
n	d̥	0.095
n	-	0.095
ɑ	ɐ	0.074
ɑ	ŋ	0.074
s	d̥	0.059
