Romagnol	Spanish	probability
θ	θ	1.0
ˈeə̯_t	ˈo_t	1.0
ˈeə̯_r	ˈa_ɾ	1.0
ˈeə̯_l	ˈa_l	1.0
ˈe	ˈe	1.0
ʤ	-	1.0
ɐ_v	a_β	1.0
ŋ	ŋ	1.0
ð	-	1.0
z	θ	1.0
w	o	1.0
v_ɐ	β_e	1.0
u_r	o_ɾ	1.0
r_ɐ	ɾ_a	1.0
p_j	ɟ͡ʝ	1.0
o	ˈo_s	1.0
m	m	1.0
l_ˈɛ	l_ˈe	1.0
l_ɐ	a	1.0
k	k	1.0
j̃	-	1.0
j_ˈɔə̯	ˈi_x	1.0
f	f	1.0
e	ˈe	1.0
b_j	β_l	1.0
a	-	1.0
ˈʌ̃	ˈa	0.967
r	ɾ	0.909
p	p	0.907
ˈou̯	ˈo	0.887
ɡ	ɣ	0.869
u	o	0.84
n	n	0.805
ˈa	ˈa	0.8
s	s	0.786
ɐ	a	0.77
ɲ	ɲ	0.658
ʧ	x_o	0.656
t	t	0.628
l	l	0.608
ˈu	ˈu	0.565
ˈõũ̯	ˈo_n	0.56
i	i	0.545
ˈɛə̯	j_ˈe	0.544
b	b	0.544
ˈẽ	ˈi	0.519
ˈeː	j_ˈe	0.513
ˈou̯_n	ˈu_n	0.5
ˈou̯_n	n	0.5
ˈɔ	w_ˈe	0.499
v	β	0.492
j	-	0.492
ˈeə̯	ˈa	0.49
ˈɛ	ˈe	0.481
ˈẽ	ˈe	0.481
ˈi	ˈi	0.468
ˈo	ˈo	0.464
ˈõũ̯	n_o	0.44
ˈi	ˈe	0.427
ˈɔə̯	w_ˈe	0.416
ɐ_r	ɾ	0.4
d	d	0.396
ˈɔ	ˈo	0.36
ˈɔə̯	ˈo	0.345
ʧ	ɟ͡ʝ	0.344
ɲ	ˈe	0.342
ˈeə̯	ˈa_ɾ	0.336
d	ð	0.328
l	ʝ	0.321
v	w	0.306
ɐ_r	ɾ_o	0.3
ɐ_r	ɾ_e	0.3
b	β	0.287
j	s	0.278
ˈɛə̯	ˈe	0.274
i	-	0.274
ˈɛ	ˈi	0.268
ˈeː	ˈe	0.267
ˈo	ˈu	0.261
ˈɛ	j_ˈe	0.251
ˈɔə̯	w	0.239
j	x	0.23
ˈu	ˈo	0.223
ˈeː	ˈe_ɾ	0.22
d	-	0.213
ˈu	w	0.211
t	ð	0.21
ˈo	w_ˈe	0.206
ɐ	e	0.204
v	ˈe_β	0.203
ˈa	-	0.2
ˈɛə̯	ˈi	0.183
i	o_s	0.181
u	-	0.16
s	e_s	0.152
ˈɔ	ˈu	0.141
ɡ	ɡ	0.131
n	-	0.13
t	ʧ	0.127
ˈeə̯	ɾ	0.114
ˈou̯	ˈu	0.113
b	b_w	0.111
ˈi	j	0.105
p	ɟ͡ʝ	0.093
r	r	0.091
l	-	0.071
ˈo	-	0.069
n	ɲ	0.065
d	d_j	0.064
s	x_o	0.061
ˈeə̯	ˈa_ð	0.06
b	-	0.057
