Franco-Provençal	Brazilian Portuguese	probability
i	ɐ	1.0
p	p	1.0
z	z	1.0
ɔ	o	1.0
ɛ	e	1.0
ɲ	j̃	1.0
ˈĩ	ˈĩ	1.0
ˈɔ	ˈo	1.0
a	-	0.061
e	-	0.141
f	f	0.91
k	k	0.941
l	w	0.151
o	o	0.131
t	ʃ_t	0.051
ð	ɾ	0.531
ʁ	h	0.321
ˈe	ˈĩ	0.081
ˈɛ̃	ˈɐ̃	0.11
ˈɛ̃	j̃	0.151
l	-	0.092
w	ˈɔ	0.102
ð	ʒ	0.222
ʃ	s	0.062
ˈaː	a	0.132
ˈaː	ˈa	0.812
ˈe	ˈɛ	0.232
ˈi	ˈe	0.692
ˈoː	ˈu	0.122
ˈɔ̃	ˈũ	0.322
ˈɛ̃	ˈĩ	0.112
d	-	0.053
n	n	0.53
o	ɐ	0.073
ð	-	0.203
ə	e	0.103
ɡ	ɡ	0.923
ʁ	-	0.093
ˈoː	u	0.443
ˈɑ̃	ˈɐ̃	0.853
ˈɔ̃	ˈõ	0.473
ˈɛ	ˈi	0.083
ˈɛ	j	0.113
ˈɛ	ˈɛ	0.333
ˈɛ̃	ˈẽ	0.483
b	b	0.884
e	e	0.434
s	ʃ	0.064
w	ˈũ	0.074
w	-	0.204
ʃ	ʃ	0.264
ʃ	k	0.674
ʎ	ʎ	0.344
ˈa	ˈɐ̃	0.264
ˈu	ˈu	0.64
ˈɛː	ˈe_j	0.064
a	ɐ	0.75
j	-	0.95
n	-	0.225
n	j̃	0.245
o	u	0.65
v	v	0.725
ʁ	ɾ	0.415
ˈa	ˈa_h	0.195
ˈo	ˈɔ_j	0.055
ˈo	ˈo	0.945
ˈø	ˈo	0.805
ˈɑː	ˈa_w	0.205
ˈɔ̃	ˈɐ̃	0.205
ˈɛ	ˈe	0.375
ˈɛː	-	0.115
ˈɛː	ˈe	0.675
ˈɛ̃	ˈẽ_ʧ	0.145
b	v	0.116
o	i	0.106
s	s	0.936
v	-	0.056
ə	u	0.06
ə	ɐ	0.786
ʎ	ʎ_u	0.656
ˈaː	ˈɐ̃	0.056
ˈu	ˈɔ	0.36
ˈɑː	ˈa	0.676
ˈɛ	ˈẽ	0.096
d	d	0.947
e	e_s	0.147
l	l	0.617
t	k	0.077
t	ʧ	0.077
ɡ	ɡ_w	0.077
ʁ	ɦ	0.127
ˈa	ˈa	0.497
ˈoː	ˈɔ	0.27
ˈø	u	0.127
ˈɑ̃	ˈɐ̃_w̃	0.147
e	e_ʃ	0.278
m	m	0.98
t	t	0.78
w	w	0.08
ˈe	ˈe	0.08
ˈe	u	0.278
ˈi	ˈi	0.308
ˈoː	ˈo	0.118
ˈø	ˈe	0.068
ˈɛː	ˈa	0.058
a	a	0.189
k	-	0.059
l	l_u	0.119
v	b	0.219
w	ˈo	0.539
ˈe	ˈa	0.139
ˈe	j	0.19
ˈɑː	a	0.119
