Luxembourgish	German	probability
ˈʊ	ˈuː	1.0
ˈɛː	ˈɛ	1.0
ˈɛ	ˈɛ	1.0
ˈɔ	ˈʊ	1.0
ˈɑʊ̯	ˈaʊ̯	1.0
ˈæːʊ̯	ˈaʊ̯	1.0
ˈæːɪ̯	ˈaɪ̯	1.0
ˈuː	ˈʊ	1.0
ˈoː	ˈaː	1.0
ˈi	ˈyː	1.0
ˈeː	ˈaɪ̯	1.0
ʦ	ʦ	1.0
ʃ_t	s_t	1.0
ʃ	ʃ	1.0
ʀ_#>	ɐ_n_#>	1.0
ʀ	ʁ	1.0
ɡ̊_#>	#>	1.0
ɡ	ɡ	1.0
ə_ʀ	ʁ	1.0
ɐ_t	ɐ_t	1.0
ɐ	ɐ	1.0
z	z	1.0
w	v	1.0
v̥	b̥	1.0
v_ə	b	1.0
v_ɐ	b_ɐ	1.0
v	v	1.0
t	t	1.0
s_ə	s	1.0
pʰ	p͡f	1.0
p	p͡f	1.0
m_ə	m_ə	1.0
kʰ	kʰ	1.0
k	k	1.0
j	j	1.0
h	h	1.0
f_ə	f	1.0
f	f	1.0
d_ə	t	1.0
b	b	1.0
<#_n	<#_n	1.0
l	l	0.965
n	n	0.963
m	m	0.885
s	s	0.84
ŋ	ŋ	0.733
ˈəʊ̯	ˈoː	0.727
ˈu	ˈuː	0.714
ˈo	ˈɔ	0.688
ɕ	ç	0.682
χ	x	0.667
d̥	d̥	0.652
ˈə	ˈɪ	0.625
ˈɑɪ̯	ˈɔʏ̯	0.625
ˈiə̯	ˈɛ	0.6
ˈe	ˈʏ	0.571
ˈɑ	ˈa	0.545
ə	-	0.525
ˈæ	ˈɛ	0.5
ˈæ	ˈa	0.5
ˈuə̯	ˈaː	0.5
ˈuə̯	ˈa	0.5
ˈiː	ˈiː	0.5
d	d	0.5
ˈaː	ˈa	0.471
ˈɜɪ̯	ˈiː	0.455
ˈɑ	ˈɪ	0.455
d	tʰ	0.444
ˈe	ˈɪ	0.429
ˈiə̯	ˈeː	0.4
ˈɑɪ̯	ˈiː	0.375
d̥	t	0.348
χ	x_ə	0.333
ˈo	ˈʊ	0.312
ˈu	ˈoː	0.286
ˈəʊ̯	ˈuː	0.273
ŋ	n	0.267
ˈiː	ˈɪ	0.25
ˈiː	ˈɛ	0.25
ɕ	x	0.227
ˈə	ˈʏ	0.188
ˈə	ˈɛ	0.188
ˈɜɪ̯	ˈeː	0.182
ˈaː	ˈaʊ̯	0.176
ə	ə	0.175
s	z_ə	0.16
ə	ɡ	0.15
ˈaː	ˈaː	0.147
ˈɜɪ̯	ˈøː	0.136
ˈɜɪ̯	ˈyː	0.136
ˈaː	ˈa_ɐ	0.118
m	m_ə	0.115
ə	ɪ	0.1
ˈɜɪ̯	ˈɛː	0.091
ɕ	ɡ̊	0.091
ˈaː	ˈɔ	0.088
d	-	0.056
