Standard German	Old West Norse	probability
ˈʏ_n	s	1.0
ˈɛː	-	1.0
ˈœ	-	1.0
ˈøː	-	1.0
ˈiː_ɐ	ˈeː_r̥	1.0
ˈaː_ɡ	ʝː	1.0
ʁ_ə	r̥	1.0
ə_n	ɑ	1.0
ɐ_ʦ	r_t	1.0
ɐ_n	r_n	1.0
ŋ_k	kː	1.0
ŋ	ŋ	1.0
z̥	sː	1.0
z	s	1.0
x_t	tː	1.0
tʰ	d	1.0
s_t	s_t	1.0
s	t	1.0
p͡f	pʰ	1.0
p	v_u	1.0
n_d	nː	1.0
m	m	1.0
l_t	l_d	1.0
j	-	1.0
eː	ɑː	1.0
b_n	v_ɑ	1.0
a	ɑ	1.0
h	h	0.897
ʁ	r	0.894
kʰ	kʰ	0.823
v	v	0.801
l	l	0.8
b	b	0.734
t	ð	0.725
ˈyː	ˈøː	0.678
d	θ	0.673
ɡ̊	ɣ	0.667
ˈɪ	ˈi	0.652
ɐ	r	0.647
ˈʊ	ˈu	0.644
ˈuː	ˈoː	0.625
ˈɔʏ̯	-	0.623
b̥	v	0.623
f	f	0.617
ˈa	ˈɑ	0.582
ɡ	ɣ	0.564
k	-	0.563
ʦ	tʰ	0.562
x	-	0.538
ˈaɪ̯	ˈɛi̯	0.536
ç	k	0.526
ˈʏ	ˈy	0.519
ɪ	ŋ	0.5
ɪ	-	0.5
ˈaː	ˈɑ	0.488
ˈʏ	ˈu	0.481
ˈɔ	ˈu	0.466
x	k	0.462
n	n	0.435
ʃ	s	0.412
ˈaɪ̯	ˈiː	0.405
ə	ɑ	0.404
ˈaʊ̯	ˈuː	0.391
ˈɔʏ̯	ˈyː	0.377
b̥	f_r̥	0.377
ˈeː	-	0.349
ɡ̊	ɡ_r̥	0.333
ˈyː	ˈy	0.322
ˈeː	ˈe	0.322
d̥	ð	0.315
ˈɔ	ˈo	0.313
ˈiː	j_ˈoː	0.31
ˈaː	ˈɑː	0.304
ˈoː	-	0.294
ˈɛ	ˈe	0.287
ˈoː	ˈɑː	0.287
d̥	d_r̥	0.274
d̥	d	0.274
b	v	0.266
ɡ	ɟ	0.262
ʃ	s_k	0.259
k	cː	0.247
ˈɛ	-	0.241
ˈiː	j_ˈuː	0.24
ə	i	0.236
ˈoː	ˈo	0.234
ˈʊ	ˈo	0.233
ˈaʊ̯	-	0.23
ʦ	tː	0.23
ˈuː	-	0.229
f	p	0.222
ʃ	s_c	0.221
n	ɑ	0.213
ˈaʊ̯	ˈɑu̯	0.211
ˈaː	-	0.208
ʦ	t	0.207
l	lː	0.2
ˈeː	ˈɑː	0.197
ə	a	0.194
ˈɪ	ˈe	0.19
ˈiː	ˈyː	0.19
k	kː	0.19
ˈɛ	ˈɛ	0.189
ç	r̥	0.187
ˈoː	ˈɑu̯	0.185
d	ð	0.18
kʰ	cʰ	0.177
ɡ	ɡ	0.175
t	t	0.175
ˈa	ˈɑː	0.171
ˈaʊ̯	ˈu	0.168
ə	r̥	0.166
ç	ˈeː	0.165
n	nː	0.157
d	d	0.147
ˈuː	ˈɔː	0.146
ˈiː	ˈeː	0.14
f	v	0.138
d̥	r̥	0.137
ˈa	ˈa	0.136
ˈeː	ˈɛː	0.132
ˈʊ	ˈoː	0.123
ç	-	0.122
ˈiː	-	0.12
v	x_w	0.119
ɐ	r̥ː	0.115
ˈɔ	-	0.114
ˈa	ˈɔ	0.112
ʃ	c	0.108
ˈɔ	ˈy	0.107
ʁ	-	0.106
h	ç	0.103
ˈɛ	ˈɑ	0.098
ˈɛ	j_ˈɑ	0.098
ˈɪ	ˈy	0.093
n	-	0.093
ˈɛ	e	0.086
v	-	0.08
ɐ	r_i	0.068
ˈɪ	ˈɔ	0.065
ˈaɪ̯	-	0.058
ɐ	i_r	0.058
