Neapolitan	Ladin	probability
b	b	1.0
bː	b	1.0
dː	t	1.0
f	f	1.0
l	l	1.0
lː	l	1.0
m	m	1.0
mː	m	1.0
rː	r	1.0
tː	t	1.0
z	s	1.0
ŋ	ŋ	1.0
ɲ	ɲ	1.0
ʧ	ʃ	1.0
i	-	0.051
i	j	0.081
j	l	0.211
k	ʨ	0.301
t	t	0.501
w	w	0.341
ʎː	o	0.161
ʤː	v	0.051
ʦ	ʦ	0.791
ʦː	ʃ	0.301
ˈe	ˈɛ	0.171
ˈo	ˈo	0.601
ˈu	ˈu	0.391
ˈɔ	w	0.191
ˈɛ	ˈɛ	0.941
i	ˈi	0.2
i	e	0.462
j	j	0.292
k	k	0.412
kː	ɡ	0.062
p	-	0.052
s	s	0.832
v	v	0.662
ʃ	ʃ	0.372
ˈa	ˈɛ	0.152
d	d	0.883
p	p	0.823
r	r	0.83
t	d	0.333
v	f	0.153
ʃː	ʧ	0.23
ʃː	ʃ	0.493
ʎː	-	0.153
ˈu	ˈo	0.513
ˈɔ	ˈɛ	0.123
e	j	0.094
sː	l	0.254
ə	a	0.234
ɲː	m	0.224
ˈe	ˈi	0.064
ˈi	ˈi	0.584
ˈo	ˈɔ	0.124
d	t	0.075
e	a	0.175
k	p	0.065
kː	d	0.745
n	n	0.955
nː	ŋ	0.185
nː	n	0.815
v	-	0.055
ə	e	0.115
ʃ	ʨ	0.205
ʎː	j	0.45
ʤː	ʤ	0.475
ʤː	ʒ	0.475
ˈɛ	j	0.05
a	a	0.816
e	-	0.246
e	ˈe	0.246
i	i	0.206
k	ɡ	0.066
o	e	0.336
o	-	0.336
p	v	0.096
sː	s	0.746
t	-	0.166
u	o	0.606
ɡ	ʥ	0.086
ɡ	ɡ	0.626
ɾ	-	0.226
ʃ	ʦ	0.056
ʎː	ʨ	0.236
ˈe	-	0.056
ˈo	ˈe	0.086
ˈo	-	0.136
j	-	0.487
r	-	0.17
u	-	0.307
ɲː	ɲ	0.757
ʃː	ʨ	0.157
ʤ	-	0.07
ˈa	ˈa	0.627
ˈɔ	ˈo	0.097
kː	ʨ	0.148
s	ʒ	0.108
ʃ	ʒ	0.118
ʃː	s	0.08
ˈa	ˈe	0.148
ˈi	ˈe	0.388
e	e	0.239
k	-	0.089
o	o	0.329
v	b	0.119
w	-	0.659
ə	-	0.649
ɡ	k	0.139
ɡ	-	0.149
ɾ	r	0.689
ʃ	ʧ	0.159
ʤ	ʒ	0.899
ʦ	t	0.209
ʦː	ʦ	0.699
ˈe	ˈe	0.709
ˈɔ	ˈɔ	0.589
