Standard Serbian	Bulgarian	probability
ʨ	ʃ	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʎ	-	1.0
ʋ_a	v_ɐ	1.0
ʃ	ʃ	1.0
ɡ̊	k	1.0
ɡ	ɡ	1.0
x	x	1.0
s	s	1.0
r̩ː	ɤ	1.0
r̩_̂	ɐ_r	1.0
r̩	ɤ	1.0
r	r	1.0
oː	ɔ	1.0
o_̌	o	1.0
m_a	m_ɐ	1.0
l_aː	ɫ_ɐ	1.0
l_a	ɫ_a	1.0
k	k	1.0
iː	i	1.0
eː_̌	ɛ	1.0
d_e	dʲ	1.0
d	d	1.0
a_m	ɛ_m	1.0
t	t	0.975
n	n	0.955
̂	ˈ	0.931
p	p	0.908
m	m	0.873
i	i	0.872
z	z	0.854
ʒ	ʒ	0.826
b	b	0.782
ʋ	v	0.769
aː	a	0.706
u	ɤ	0.705
j	j	0.661
eː	ɛ	0.617
e	ɛ	0.609
̌	-	0.583
t_i	ɐ	0.571
o	ɔ	0.546
uː	ɤ	0.515
o	o	0.454
t_i	j_ɐ	0.429
̌	ˈ	0.417
uː	u	0.397
eː	a	0.383
l	ɫ	0.374
j	-	0.339
l	l	0.337
a	ɐ	0.318
a	a	0.3
u	u	0.295
aː	ɛ	0.294
l	lʲ	0.288
e	a	0.285
ʋ	vʲ	0.231
a	a_ˈ	0.218
ʒ	ʒ̊	0.174
b	b̥	0.148
z	-	0.146
i	i_ˈ	0.128
m	mʲ	0.127
e	ɛ_ˈ	0.106
p	pʲ	0.092
a	ɤ	0.089
uː	ɐ	0.088
a	ɛ	0.075
b	bʲ	0.071
̂	-	0.069
