Campidanese	Campidanese	probability
β	β	1.0
ˈɛ_n	ˈe	1.0
ˈɔ_ɾ	ˈu	1.0
ˈɔ_n	ˈu	1.0
ˈu_ɾ	ˈy	1.0
ˈu_ɣ	ˈu_l	1.0
ˈo_n_u_#>	ˈu_#>	1.0
ˈi_ð	ˈe_t	1.0
ˈi_s	ˈe_l	1.0
ˈi_n	ˈi	1.0
ˈa_n	ˈa	1.0
ˈa_i_#>	ˈa_#>	1.0
ʧ	s	1.0
ʦ	-	1.0
ʤ	ʤ	1.0
ɾ_ˈu	ˈu	1.0
ɾ_u_#>	ʀ_#>	1.0
ɾ_u	ɾ_e	1.0
ɾ_a	ɾ_ɔ	1.0
ɲ	ɲ	1.0
ɛ	-	1.0
ɖː_u	l	1.0
ɖː	l	1.0
ŋ	ŋ	1.0
z_ˈa	z_ˈa	1.0
z_ɔ̆_#>	s_#>	1.0
w	-	1.0
u_#>	#>	1.0
t_ˈa	t	1.0
t_ɛ	w_t	1.0
t_u	ʧ	1.0
t_a	t_ɔ	1.0
s	s	1.0
r	ʀ	1.0
nː	n	1.0
n_ʤ	ɲ	1.0
n_t_u_#>	n_#>	1.0
n_t_i_#>	n_#>	1.0
m_i_n_i_#>	m_#>	1.0
l_u_#>	l_#>	1.0
l	l	1.0
k_ɾ	k	1.0
k	k	1.0
ĭ_#>	#>	1.0
i_ɾ	e	1.0
i_ɣ	ʤ	1.0
f	f	1.0
ă	-	1.0
a_n	a_n	1.0
<#_ʧ	<#_s	1.0
<#_ʤ	<#_ʤ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_e	1.0
i_#>	#>	0.959
ˈa	ˈa	0.955
b	b	0.943
m	m	0.933
p	p	0.906
ɡ	ɡ	0.778
z_ŭ_#>	s_#>	0.778
ˈe	ˈɛ	0.75
d	d	0.75
<#_ˈa	<#_ˈa	0.75
a	ɔ	0.739
t	t	0.737
n	n	0.714
<#_a	<#	0.7
ʃ	j_s	0.667
ɔ	u	0.667
o	u	0.667
e	e	0.667
ˈi	ˈi	0.632
ɭː	l	0.625
z	s	0.625
ɣ_u	k	0.6
ˈɛ	ˈɛ	0.594
j	-	0.571
ð	ð	0.562
ɣ	ɣ	0.556
i	e	0.548
ˈo	ˈɔ	0.522
ʒ	ʦ	0.5
ˈu	ˈu	0.484
ˈu	ˈy	0.452
j	j	0.429
ɾ	ɾ	0.408
ɣ_u	ˈɔ_k	0.4
ˈɔ	ˈu	0.375
ɭː	ʎ	0.375
z	-	0.375
ˈi	ˈe	0.368
ˈɔ	ˈɔ	0.333
ʃ	s	0.333
ɔ	-	0.333
u	-	0.333
o	a_w	0.333
e	-	0.333
#>	e_#>	0.333
ʒ	z	0.3
<#_a	<#_a	0.3
ɾ	-	0.286
ˈɛ	ˈe	0.281
ˈo	ˈu	0.261
ˈe	j_ˈɛ	0.25
ð	t	0.25
d	-	0.25
<#_ˈa	<#_a	0.25
ɣ	l	0.222
ɣ	-	0.222
ɡ	k	0.222
z_ŭ_#>	#>	0.222
#>	ʎ_ɔ_#>	0.222
#>	ɔ_#>	0.222
#>	w_#>	0.222
n	-	0.214
ˈɔ	ɥ_ˈɛ	0.208
a	a	0.203
ʒ	-	0.2
ð	-	0.188
u	u	0.185
u	e	0.185
i	-	0.167
ɾ	ʀ	0.163
t	ʧ	0.158
u	w	0.148
ɾ	l	0.143
ˈo	ɥ	0.13
t	-	0.105
i	i	0.095
p	-	0.094
ˈo	-	0.087
ˈɔ	ɥ	0.083
u	ˈe_w	0.074
u	l	0.074
n	d	0.071
i	ˈi	0.071
i	j	0.071
m	m_b	0.067
ˈu	-	0.065
ˈɛ	ˈɛ_j	0.062
ˈɛ	j	0.062
a	-	0.058
b	-	0.057
