East Frisian Low Saxon	Old West Norse	probability
χ	tː	1.0
ˈʊə̯	ˈu	1.0
ˈɪə̯	-	1.0
ˈɛə̯	-	1.0
ˈɔː	ˈɑː	1.0
ˈɑːʊ̯	-	1.0
ˈɑː	ˈɑ	1.0
ˈœːy̯	ˈɔː	1.0
ˈœy̯	ˈøː	1.0
ˈøːø̯	-	1.0
ˈøy̯	ˈøː	1.0
ˈæːɪ̯	-	1.0
ˈyː	ˈyː	1.0
ˈuːu̯	-	1.0
ˈuː	ˈuː	1.0
ˈiːi̯	ˈiː	1.0
ˈiː_f	mː	1.0
ˈiː	ˈiː	1.0
ʊ	ˈoː	1.0
ɫ	ɡ_l	1.0
ɡ̊	-	1.0
ə	-	1.0
ɑɪ̯	ɑː	1.0
ɐ_t	ɾ	1.0
ɐ_n	r_n	1.0
ŋ_k	kː	1.0
ŋ	ŋ	1.0
z	s	1.0
w	v	1.0
t_s	ʦ	1.0
o	ˈɑ	1.0
f	f	1.0
d_n	ð_ɑ	1.0
b	b	1.0
s	s	0.955
p	p	0.923
m	m	0.918
h	h	0.901
ˈʊ	ˈu	0.885
r	r	0.88
t	t	0.876
l	l	0.753
d	θ	0.675
ˈœ	ˈu	0.674
v̥	v	0.659
ˈɑʊ̯	ˈoː	0.636
ˈæɪ̯	ˈɛi̯	0.617
ˈɛːɪ̯	r̥	0.6
ˈeː	-	0.6
ˈɑ	ˈɑ	0.592
d̥	ð	0.586
ˈʏ	-	0.583
ɣ̊	ɣ	0.574
v	v	0.564
ˈɔ	-	0.551
ˈɑːɑ̯	ˈɑ	0.548
ɐ	r	0.545
ˈɪ	ˈi	0.533
ˈɛ	ˈe	0.529
k	k	0.522
ˈʏə̯	ˈy	0.516
ˈɒː	ˈɑ	0.511
ˈeːe̯	j_ˈɔ	0.5
ˈeːe̯	-	0.5
ˈɒː	ˈɑː	0.489
ɡ	ɣ	0.485
ˈʏə̯	ˈuː	0.484
ˈɑːɑ̯	ˈɔ	0.452
ˈøː	ˈo	0.401
ˈøː	-	0.401
ˈɛːɪ̯	ˈɛː_r̥	0.4
ˈeː	ˈe	0.4
ˈoː	-	0.38
ɡ	ɟ	0.359
v̥	f_r̥	0.341
k	c	0.338
n	n	0.333
ˈɑ	-	0.332
ˈœ	-	0.326
ˈɛ	ˈɑ	0.283
v	x_w	0.272
n	ɑ	0.27
d	ð	0.257
ˈoː	ˈɑu̯	0.249
l	lː	0.235
ˈoː	ˈo	0.233
ˈɔ	ˈu	0.225
ˈɔ	ˈoː	0.225
ɣ̊	ɡ_r̥	0.213
ɣ̊	r̥	0.213
n	nː	0.211
ˈʏ	ˈy	0.209
ˈʏ	j	0.209
ˈøː	ˈøy̯	0.199
ˈɛ	-	0.189
ˈɑʊ̯	ˈøː	0.182
ˈɑʊ̯	-	0.182
ˈæɪ̯	j_ˈuː	0.164
v	v_ˈi	0.164
ˈɪ	-	0.156
ɡ	ʝː	0.156
ˈɪ	ˈe	0.154
ɐ	i_r̥	0.133
r	r̥	0.12
ɐ	i	0.119
d̥	d_r̥	0.119
ˈʊ	ˈo	0.115
ˈæɪ̯	j_ˈoː	0.109
ˈæɪ̯	-	0.109
h	ç	0.099
ˈɪ	ˈy	0.094
ˈoː	ˈy	0.093
d̥	r̥	0.089
d̥	-	0.089
m	v	0.082
p	pː	0.077
ˈɑ	ˈɛ	0.076
ɐ	r̥ː	0.075
k	cː	0.073
k	cʰ	0.068
d	d	0.068
ɐ	-	0.067
t	r̥	0.067
ˈɪ	ˈeː	0.062
ɐ	r̥	0.06
d̥	d_i	0.058
d̥	d	0.058
