Megleno-Romanian	Megleno-Romanian	probability
ˈɛ	-	1.0
ˈɔ	ˈa	1.0
ʤ	ɡ	1.0
ʒ	ʣ	1.0
ʃ	s	1.0
ɔ	b_ˈɛ	1.0
ŋ	ŋ	1.0
w_ə	ɛ	1.0
w	-	1.0
v	b	1.0
t_#>	t_u_#>	1.0
p_t	t	1.0
o̯ˈa	ˈɔ	1.0
m	m	1.0
kʲ	p	1.0
k_ʎ	j	1.0
j_n	n	1.0
j	-	1.0
f	f	1.0
e	-	1.0
b	b	1.0
<#_ˈu	<#_ˈu	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʦ	<#	1.0
<#_t	<#_t	1.0
<#_p	<#	1.0
<#_k	<#	1.0
ə	a	0.931
p	p	0.857
s	s	0.846
n	n	0.824
e̯ˈa	ˈi	0.75
i	ɛ	0.732
r	ɾ	0.69
ˈu	ˈu	0.688
#>	u_#>	0.674
ˈo	ˈo	0.667
ˈa	ˈa	0.667
d	d	0.667
u	u	0.647
ɡ	ɡ	0.6
k	k	0.6
l	l	0.579
ˈe	ˈe	0.533
t	t	0.462
ʎ	ʣ	0.455
z	-	0.429
ɡ	b	0.4
k	ɣ	0.4
t	ð	0.385
ʦ	ɣ	0.375
ʦ	k	0.375
ˈi	ˈi	0.353
u	-	0.353
ˈo	ˈu	0.333
ˈa	ˈɛ	0.333
d	-	0.333
z	d	0.286
z	b	0.286
ˈe	ˈi	0.267
l	ɾ	0.263
ʦ	-	0.25
e̯ˈa	-	0.25
ˈi	ˈe	0.235
ˈe	ˈɛ	0.2
ˈu	ˈɔ	0.188
#>	ɛ_#>	0.186
ʎ	ɾ	0.182
ʎ	l	0.182
ʎ	-	0.182
ˈi	ˈɛ	0.176
l	ɖː	0.158
t	-	0.154
s	i_s	0.154
p	β	0.143
ˈu	ˈo	0.125
i	e	0.122
r	-	0.119
ˈi	f_ˈi	0.118
ˈi	-	0.118
#>	a_#>	0.093
n	nː	0.088
n	-	0.088
r	r	0.071
r	l	0.071
ə	ɛ	0.069
