Old English	Alsatian	probability
a	-	1.0
b	b̥	0.934
b	-	0.066
bː	-	1.0
d	t	0.637
d	d̥	0.294
e	ə	0.945
eo̯	-	1.0
f	f	0.951
h	h	0.896
h	-	0.104
i	i	0.957
iːy̯	eː	1.0
j	-	0.425
j	j	0.327
j	ɡ̊	0.203
k	kʰ	0.332
k	ʃ	0.317
k	k	0.283
l	l	0.971
lː	l	1.0
l̥	l	1.0
m	m	0.974
mː	m	1.0
n	n	0.816
n	-	0.184
nː	n	1.0
o	ə	0.821
o	-	0.179
p	f	0.905
p	p	0.095
pː	p͡f	0.704
pː	f	0.296
r	ʁ	0.975
rː	k	0.698
rː	ʁ	0.302
r̥	ʁ	1.0
s	s	0.712
s	ʃ	0.266
t	s	0.52
t	ʦ	0.309
t	t	0.15
tː	ʦ	1.0
v	v	0.419
v	-	0.223
v	b̥	0.15
v	f	0.136
v	p͡f	0.071
w	ʋ	0.643
w	-	0.127
w	w	0.117
x	x	0.529
x	ʃ	0.386
x	-	0.085
z	s	1.0
ç	x	1.0
ð	d̥	1.0
ŋ	ŋ	0.848
ŋ	-	0.152
ɑ	ə	0.821
ɑ	-	0.179
ɡ	ɡ̊	0.705
ɡ	-	0.295
ɣ	ʋ	0.513
ɣ	-	0.292
ɣ	j	0.105
ɣ	ɡ̊	0.09
ɫ	l	0.908
ɫ	n	0.092
ʃ	ʃ	1.0
ʃː	ʃ	1.0
ʍ	ʋ	1.0
ʤ	k	1.0
ʤː	v	1.0
ʧ	kʰ	0.553
ʧ	x	0.343
ʧ	ʃ	0.104
ʧː	k	1.0
ˈe	ˈæː	0.292
ˈe	ˈe	0.204
ˈe	-	0.174
ˈe	ˈeː	0.168
ˈe	ˈæ	0.078
ˈeo̯	ˈæ	0.383
ˈeo̯	ˈe	0.251
ˈeo̯	ˈi	0.201
ˈeo̯	ˈæː	0.165
ˈeː	ˈiː	0.495
ˈeː	ˈɒ	0.255
ˈeː	ˈʊː	0.21
ˈeːo̯	ˈi	0.321
ˈeːo̯	ˈiː	0.291
ˈeːo̯	ˈæː	0.163
ˈeːo̯	ˈei̯	0.077
ˈeːo̯	ˈu	0.075
ˈeːo̯	-	0.073
ˈi	ˈi	0.764
ˈi	ˈiː	0.082
ˈi	ˈe	0.056
ˈiy̯	ˈæ	0.698
ˈiy̯	ˈɒ	0.302
ˈiː	ˈiː	0.809
ˈiː	ˈi	0.141
ˈiː	ˈei̯	0.05
ˈiːy̯	ˈeː	0.511
ˈiːy̯	ˈai̯	0.24
ˈiːy̯	ˈiː	0.142
ˈiːy̯	ˈei̯	0.053
ˈiːy̯	ˈæː	0.053
ˈo	ˈo	0.689
ˈo	ˈe	0.159
ˈo	ˈoː	0.051
ˈo	ˈu	0.051
ˈo	ˈɒː	0.051
ˈoː	ˈʊː	0.441
ˈoː	ˈoː	0.262
ˈoː	ˈɒ	0.127
ˈoː	ˈøː	0.118
ˈoː	ˈɒː	0.052
ˈu	ˈu	0.688
ˈu	ˈo	0.139
ˈu	ˈe	0.092
ˈu	ˈoː	0.057
ˈuː	ˈyː	0.684
ˈuː	ˈʊː	0.116
ˈuː	ˈøi̯	0.085
ˈuː	ˈu	0.058
ˈuː	ˈi	0.058
ˈy	ˈu	0.621
ˈy	ˈi	0.379
ˈyː	ˈiː	0.398
ˈyː	ˈi	0.282
ˈyː	ˈyː	0.172
ˈyː	ˈu	0.147
ˈæ	ˈɒ	0.428
ˈæ	ˈɒː	0.316
ˈæ	ˈaː	0.256
ˈæɑ̯	ˈɒ	0.608
ˈæɑ̯	ˈɒː	0.392
ˈæː	ˈoː	0.656
ˈæː	ˈəi̯	0.171
ˈæː	ˈɒː	0.074
ˈæː	ˈeː	0.06
ˈæːɑ̯	ˈoː	0.693
ˈæːɑ̯	ˈʊː	0.228
ˈɑ	ˈɒ	1.0
ˈɑː	ˈəi̯	0.798
ˈɑː	ˈeː	0.202
ˈɛ	ˈɛ	1.0
θ	d̥	0.739
θ	t	0.196
