German	Eastphalian	probability
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_h	<#_h	1.0
<#_j	<#_j	1.0
<#_kʰ	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_tʰ	<#_d	1.0
<#_v	<#_v	1.0
<#_z	<#_z	1.0
<#_ʁ	<#_r	1.0
<#_ʦ	<#_t	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈaɪ̯	<#_ˈɛɪ̯	1.0
<#_ˈɪ	<#_ˈɪ	1.0
b	v	1.0
b_n	v_n	1.0
b̥_#>	f_#>	1.0
d	-	1.0
d_ɐ	ɐ	1.0
d̥_#>	d_#>	1.0
f	p	1.0
f_#>	p	1.0
f_n	b_m	1.0
k	k	1.0
l	l	1.0
l_#>	l_#>	1.0
l_f	l_f	1.0
m	m	1.0
n_#>	n	1.0
n_ʃ	n_ʃ	1.0
p͡f	p	1.0
s	s	1.0
s_n	t_n	1.0
s_ɐ	t_ɐ	1.0
s_ə	t_ə	1.0
t_n	n	1.0
x	x	1.0
x_#>	k_#>	1.0
x_ə	k_ə	1.0
z_ə	z_ə	1.0
ç_#>	k_#>	1.0
ŋ	ŋ	1.0
ŋ_#>	ŋ_#>	1.0
ɐ	ɐ	1.0
ɐ_#>	ɐ	1.0
ɐ_m	ɐ_m	1.0
ə	-	1.0
ə_#>	ə	1.0
ə_n	n	1.0
ɡ̊_#>	x	1.0
ɪ	ɪ	1.0
ʃ_#>	ʃ_#>	1.0
ʦ	t	1.0
ˈa_n	ˈa_n	1.0
ˈaɪ̯_#>	ˈɛɪ̯_#>	1.0
ˈaʊ̯_m	ˈeo̯_m	1.0
ˈiː	ˈɛɪ̯	1.0
ˈiː_ɐ	ˈiː_#>	1.0
ˈoː_n	ˈɒː_n	1.0
ˈœ	ˈœ	1.0
ˈɔʏ̯	ˈʏ	1.0
ˈɔʏ̯_ɐ	ˈyː_ɐ	1.0
ˈɛ_ɐ	ˈa_ɐ	1.0
ˈɪ_n	ˈɪ_n	1.0
ˈʊ_n	ˈʊ_n	1.0
ˈʏ	ˈʏ	1.0
<#_ʃ	<#_ʃ	0.381
t	t	0.471
ˈaː	ˈɛ	0.111
ˈaː	ˈa	0.111
ˈaː	ˈaː	0.111
ˈeː	ˈɛɪ̯	0.571
n	-	0.292
ʁ	r	0.92
ˈoː	ˈoː	0.2
ˈuː	ˈɔʏ̯	0.2
ˈʊ	-	0.2
<#_ɡ	<#_j	0.273
k_n	ɣ_ə	0.333
n	m	0.083
t_#>	d_#>	0.263
ç	k	0.333
ˈaɪ̯	ˈɛɪ̯	0.3
ˈyː	ˈoː	0.333
ˈɔ	ˈʊ	0.333
ˈɛ	ˈeː	0.333
ˈɪ	ˈɪ	0.833
s_#>	s_#>	0.4
ɡ	ɣ	0.4
ˈaʊ̯	ˈeo̯	0.154
ˈʊ	ˈɔ	0.4
ˈʊ	ˈʊ	0.4
t	d	0.235
v	v	0.375
v	w	0.625
ɡ_n	ŋ	0.5
ɡ_n	ɡ_n	0.5
ˈa	ˈɔ	0.15
ˈa	ˈɒː	0.15
ˈaɪ̯	ˈɪ	0.15
ˈaɪ̯	ˈiː	0.55
ˈaː	ˈɒː	0.5
ˈɔ	ˈoː	0.25
s_#>	t	0.6
t	t_ə	0.176
ɡ	j	0.6
ˈaʊ̯	ˈuː	0.846
<#_ɡ	<#_ɣ	0.727
k_n	k_n	0.667
n	n_ə	0.167
t_#>	t	0.737
ç	ç	0.667
ˈa	ˈa	0.7
ˈaː	ˈɛː	0.167
ˈyː	ˈɔʏ̯	0.667
ˈɔ	ˈɔ	0.417
ˈɛ	ˈɛ	0.667
ˈɪ	ˈɛ	0.167
n	n	0.458
t	-	0.118
ʁ	-	0.08
ˈoː	ˈeo̯	0.8
ˈuː	ˈaʊ̯	0.8
<#_ʃ	<#_s	0.619
ˈeː	ˈeː	0.429
