Kashubian	Slovenian	probability
a	a	1.0
b	b	1.0
f	-	1.0
i	ə	1.0
k	k	1.0
m	m	1.0
n	n	1.0
p	p	1.0
r	r	1.0
t	t	1.0
v	ʋ	1.0
x	x	1.0
z	z	1.0
ŋ	-	1.0
ə	i	1.0
ɲ	n	1.0
ʂ	-	1.0
ʃ	ʃ	1.0
ʐ	r	1.0
ʒ	ʒ	1.0
ʣ	d	1.0
ʤ	-	1.0
ʧ	ʧ	1.0
ˈi	ìː	1.0
ˈõ	óː	1.0
ˈu	óː	1.0
u̯ɛ	ɔ	0.321
ˈe	èː	0.791
ˈɛ	éː	0.561
d	d	0.92
ɛ	éː	0.062
w	-	0.053
w	l	0.63
ɡ	k_#>	0.053
ˈɛ	e	0.093
j	éː	0.184
ʦ	t	0.284
ˈa	éː	0.444
ˈə	íː	0.304
s	s	0.965
u̯ˈɛ	o	0.445
u̯ˈɛ	ɔ̀ː	0.555
ɔ	óː	0.325
ɔ	ɔ	0.675
ˈɔ	óː	0.305
ˈɞ	àː	0.215
ˈɞ	ɔ́ː	0.785
j	ɛ̀ː	0.116
ˈɔ	áː	0.266
ˈə	ìː	0.696
j	j	0.7
w	w	0.317
ɡ	ɡ	0.947
ʦ	t_i	0.537
ˈɛ	ə́	0.117
d	d_ə	0.08
ɛ	ə	0.248
ˈa	e	0.338
ˈɛ	-	0.228
l	l	0.969
u̯ɛ	óː	0.679
ɛ	ɛ	0.69
ʦ	ʦ	0.179
ˈa	èː	0.219
ˈe	éː	0.209
ˈɔ	ɔ̀ː	0.429
