Ligurian	Ligurian	probability
ˈɛː_#>	ˈa_#>	1.0
ˈɔː	ˈɔ	1.0
ˈɔ	ˈɔ	1.0
ˈy	ˈu	1.0
ˈiː	ˈi	1.0
ˈe_ŋ	ˈɛ_n	1.0
ˈa	ˈa	1.0
ɥ	w_o	1.0
ɡ_u	k_o	1.0
ɔː	-	1.0
ŋ_d	n_d	1.0
y	u	1.0
w_ˈiː	ˈo_j	1.0
u_#>	#>	1.0
sː	sː	1.0
s_ˈi	ʧ_ˈi	1.0
r_ˈa	r_ˈa	1.0
r_n	r_n	1.0
r_k	r_k	1.0
r_d	r_d	1.0
p_u	p_o	1.0
p	p	1.0
o	o	1.0
k_r	k_r	1.0
j_d	dː	1.0
j_a	r_a	1.0
d	d	1.0
b	b	1.0
a_ʤ	a_j	1.0
a_v	a_p	1.0
a	a	1.0
<#_ˈaː	<#_ˈa	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʃ	<#_f_j	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
f	f	0.957
u	o	0.944
m	m	0.944
k	k	0.907
e	e	0.902
v	v	0.886
ˈaː	ˈa	0.871
ˈø	ˈɔ	0.778
ˈi	ˈi	0.778
ɲ	ɲː	0.778
r	r	0.765
i	i	0.765
ˈyː	ˈu	0.714
#>	r_e_#>	0.711
n	n	0.692
ˈu	ˈo	0.68
ɡ	ɡ	0.68
ˈe	ˈe	0.676
s	s	0.673
ˈuː	ˈo	0.667
t	t	0.667
ŋ	n	0.657
l	l	0.65
ŋ_#>	n_o_#>	0.611
ʒ	ʧ	0.6
z	ʤ	0.588
s_u	sː_o	0.571
ˈɛ	ˈɛ	0.5
ˈøː	w_ˈɔ	0.5
ʃ	ʃː	0.5
ʃ	sː	0.5
j_#>	r_e_#>	0.5
j_#>	#>	0.5
w	w	0.467
ˈeː	ˈɛ	0.458
ʧ	p_j	0.429
s_u	s_o	0.429
ʤ	ʎː	0.4
ŋ_#>	n_e_#>	0.389
j	-	0.389
ˈɛː	ˈɛ	0.357
l	lː	0.35
ˈøː	ˈɔ	0.333
t	tː	0.333
n	nː	0.308
ˈɛː	ˈa	0.286
ˈyː	ˈu_r	0.286
ʧ	k_j	0.286
ʧ	-	0.286
j	e_r	0.278
ˈe	ˈɛ	0.27
ʒ	-	0.267
ˈɛ	a_r	0.25
ˈɛ	-	0.25
ʤ	kː_j	0.25
i	-	0.235
ˈø	-	0.222
ɲ	-	0.222
#>	o_#>	0.222
ˈɛː	-	0.214
ˈuː	ˈo_l	0.2
ɡ	k	0.2
ŋ	ŋ	0.2
w	ˈa	0.2
w	o_r	0.2
s	ʧ	0.182
z	ʤː	0.176
z	z	0.176
ˈøː	-	0.167
ˈeː	j_ˈɛ	0.167
ˈeː	-	0.167
ˈu	ˈu	0.16
ˈu	w_ˈɔ	0.16
ʤ	ʤ	0.15
ˈɛː	d_r	0.143
ˈuː	-	0.133
ʒ	v	0.133
w	o_l	0.133
ˈaː	ˈa_l	0.129
ˈeː	ˈe	0.125
ɡ	-	0.12
r	l	0.118
v	p	0.114
ˈi	ˈe	0.111
ˈi	-	0.111
j	r	0.111
j	l	0.111
j	e_l	0.111
ʤ	ɡ_j	0.1
ʤ	b_j	0.1
e	i	0.098
k	kː	0.093
ŋ	m	0.086
ˈeː	ˈɛ_l	0.083
#>	i_#>	0.067
z	ʣː	0.059
r	rː	0.059
r	-	0.059
ŋ	ˈi_n	0.057
m	mː	0.056
s	ʧː	0.055
s	ʦ	0.055
ˈe	-	0.054
