Bavarian	East Low German	probability
eɐ̯	ae̯	1.0
ˈy	ˈœː	1.0
ˈɑː	ˈɛɪ̯	1.0
b̥	m	0.051
b̥	-	0.11
b̥	f	0.11
b̥	b	0.701
d̥	t	0.221
h	h	0.941
ˈa	ˈoː	0.091
ˈa	ˈɛː	0.11
ˈa	ˈɪ	0.11
ˈau̯	ˈʊ	0.091
ˈeː	ˈɛː	0.241
ˈiː	ˈae̯	0.111
ˈiː	ˈɪ	0.261
ˈoː	ˈɒː	0.511
ˈu	ˈɛ	0.071
ˈɒː	ˈoː	0.291
ˈɔ	ˈɔ	0.141
ˈɛ	ˈɛ	0.051
d̥	ɾ	0.112
i	ɪ	0.502
m	m	0.832
ɡ̊	x	0.082
ɡ̊	j	0.212
ʦ	tʰ	0.672
ˈa	ˈa	0.562
ˈai̯	ˈɪ	0.082
ˈau̯	ˈuː	0.842
ˈe	ˈœ	0.062
ˈe	ˈɒː	0.072
ˈeɐ̯	ˈaʊ̯	0.282
ˈeɐ̯	ˈɪ	0.282
ˈeː	ˈaɪ̯	0.2
ˈɛ	ˈɛː	0.142
ˈɛː	ˈae̯	0.672
ˈʏ	ˈiː	0.22
l	-	0.053
p	p	0.753
r	r	0.793
ɡ̊	k	0.053
ɡ̊	ç	0.223
ˈai̯	ˈʏ	0.103
ˈeː	ˈɛ	0.3
ˈi	ˈøː	0.053
ˈiɐ̯	ˈae̯	0.763
ˈiː	ˈaɪ̯	0.403
ˈo	ˈa	0.273
ˈo	ˈɔ	0.333
ˈou̯	ˈaʊ̯	0.933
ˈoː	ˈɛ	0.223
ˈu	ˈʊ	0.33
ˈɒ	ˈa	0.423
ˈɒ	ˈɒː	0.433
ˈɔ	ˈɒː	0.323
ˈɛː	ˈeː	0.163
j	j	0.094
p͡f	pʰ	0.434
t	ɾ	0.064
ɐ	-	0.194
ˈai̯	ˈae̯	0.104
ˈaː	ˈʊ	0.054
ˈo	ˈɒː	0.064
ˈo	ˈʊ	0.124
ˈu	ˈuː	0.074
ˈuɐ̯	ˈʊ	0.104
ˈɒ	ˈaː	0.144
ˈɛ	ˈʏ	0.114
ˈɛː	ˈɒː	0.164
a	m	0.125
d̥	d	0.635
j	l	0.865
t	d	0.225
x	ç	0.105
ɐ	æ	0.785
ə	m	0.5
ə	l	0.5
ɡ̊	ŋ	0.095
ʃ	s	0.055
ʃ	ʃ	0.945
ʋ	-	0.075
ˈai̯	ˈiː	0.505
ˈaː	ˈɒː	0.085
ˈeɐ̯	ˈae̯	0.145
ˈiː	ˈœː	0.225
ˈɒː	ˈɒː	0.055
ˈɔ	ˈœ	0.05
ˈɔ	ˈa	0.485
a	æ	0.716
f	p	0.166
s	s	0.266
x	x	0.396
ç	k	0.956
ŋ	ŋ	0.906
ˈai̯	ˈyː	0.136
ˈaː	ˈɔ	0.056
ˈe	ˈae̯	0.06
ˈe	ˈiː	0.186
ˈeː	ˈeː	0.216
ˈɒː	ˈa	0.266
f	f	0.777
l	l	0.947
p	f	0.247
p͡f	f	0.077
ʋ	w	0.087
ˈai̯	ˈɛː	0.07
ˈe	ˈʏ	0.057
ˈe	ˈɛː	0.057
ˈe	ˈyː	0.067
ˈi	ˈɛ	0.07
ˈiɐ̯	ˈɪ	0.127
ˈo	ˈɛ	0.097
ˈou̯	ˈoː	0.067
ˈoɐ̯	ˈuː	0.317
ˈoɐ̯	ˈae̯	0.37
ˈoː	ˈaː	0.077
ˈuɐ̯	ˈɔʏ̯	0.137
i	l	0.498
k	k	0.798
r	æ	0.168
s	t	0.328
s	z	0.368
t	t	0.678
ʦ	t	0.328
ˈaː	ˈoː	0.058
ˈaː	ˈuː	0.288
ˈo	ˈaʊ̯	0.088
ˈoɐ̯	ˈaʊ̯	0.058
ˈoɐ̯	ˈoː	0.058
ˈoɐ̯	ˈaː	0.08
ˈu	ˈɔ	0.088
ˈuɐ̯	ˈaʊ̯	0.68
ˈɒː	ˈaː	0.388
ˈɛ	ˈoː	0.078
ˈɛ	ˈaː	0.078
ˈɛ	ˈɪ	0.178
ˈɛ	ˈœ	0.258
ˈʏ	ˈʏ	0.78
a	-	0.159
h	-	0.059
k	ç	0.179
kʰ	kʰ	0.969
m	b_m	0.069
m	-	0.099
n	n	0.969
p͡f	p	0.489
x	k	0.499
ɡ̊	ɡ	0.319
ʋ	v	0.839
ˈaː	ˈaʊ̯	0.409
ˈe	ˈɛ	0.399
ˈeɐ̯	ˈɔʏ̯	0.29
ˈi	ˈiː	0.189
ˈi	ˈɪ	0.639
ˈiɐ̯	ˈɔʏ̯	0.109
ˈoː	ˈa	0.189
ˈu	ˈae̯	0.109
ˈu	ˈɔʏ̯	0.109
ˈu	ˈʏ	0.189
ˈuɐ̯	ˈœ	0.079
ˈɛ	ˈɔ	0.099
