Lengadocian	Lengadocian	probability
ˈɔ_k	ˈe_ɣ	1.0
ˈu_l	ˈu_ʎ	1.0
ˈu_#>	ˈo_n_#>	1.0
ˈe_w	ˈo	1.0
ˈa_w	ˈo	1.0
ˈa_#>	ˈa_ɾ_#>	1.0
ʦ	θ	1.0
ʎ	ʎ	1.0
ʀ_#>	ɾ_n_o_#>	1.0
ɾ_ˈe	ɾ_ˈe	1.0
ɾ_j	ɾ	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ɔ	a	1.0
ŋ	ŋ	1.0
y	u	1.0
w_ʀ	ɾ_o	1.0
w_ɾ	β_ɾ	1.0
w_t	t	1.0
w_#>	w_#>	1.0
u_l	o_l	1.0
t_ɔ	t_a	1.0
s_a	s_a	1.0
s_#>	s_#>	1.0
p	p	1.0
nː	m_b	1.0
mː	m	1.0
m	m	1.0
lː	z	1.0
l_#>	ʎ_o_#>	1.0
k_ɾ	k_ɾ	1.0
j_ˈɛ	ˈe	1.0
j_s	ʃ	1.0
i_#>	o_#>	1.0
f	f	1.0
e_n	e_n	1.0
e_#>	#>	1.0
d	d	1.0
a	a	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʀ	<#_r	1.0
<#_ɥ	<#_w	1.0
<#_u	<#_o	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_a	1.0
b	b	0.939
ˈi	ˈi	0.935
n	n	0.935
ɾ	ɾ	0.917
β	β	0.895
ʀ	ɾ	0.882
k	k	0.88
ˈe	ˈe	0.846
ˈy	ˈu	0.842
ð	ð	0.818
<#_e	<#_e	0.818
l	l	0.816
ˈa	ˈa	0.803
ɣ	ɣ	0.8
ˈɔ	w_ˈe	0.789
t	t	0.789
ɾ_ɔ	ɾ_a	0.714
w	o	0.714
ʤ	ʧ	0.667
t_#>	t_#>	0.667
<#_s	<#_s	0.654
s	s	0.645
ɥ	w	0.625
#>	o_#>	0.605
i	i	0.6
ˈu	ˈo	0.594
e	e	0.579
u	o	0.571
j	j	0.526
ˈɛ	j_ˈe	0.474
z	s	0.444
u	u	0.429
i	j	0.4
ɥ	-	0.375
ˈɛ	ˈe	0.368
<#_s	<#_θ	0.346
ʧ	t_o	0.333
ʧ	j_t	0.333
ʧ	-	0.333
z	θ	0.333
t_#>	#>	0.333
j	ˈe	0.316
ɾ_ɔ	a	0.286
w	-	0.286
e	o	0.237
z	ð	0.222
ˈu	ˈu	0.219
ˈɔ	ˈo	0.211
t	ð	0.211
ʤ	-	0.2
ɣ	ɣ_w	0.2
ˈu	w_ˈe	0.188
ð	ʝ	0.182
<#_e	<#	0.182
s	θ	0.161
ˈɛ	j	0.158
ˈy	ˈu_ɾ	0.158
j	-	0.158
ʤ	ð	0.133
l	ʎ	0.132
s	ʃ	0.129
#>	ɾ_#>	0.128
ʀ	r	0.118
β	p	0.105
e	i	0.105
#>	e_#>	0.105
ɾ	-	0.083
#>	n_#>	0.081
k	ɡ	0.08
e	ˈe_ɾ	0.079
ˈe	e_ʝ	0.077
ˈe	-	0.077
ˈa	ˈo	0.066
ˈi	ˈi_n	0.065
s	p	0.065
n	-	0.065
b	-	0.061
l	l_ˈe	0.053
