West Frisian	East Franconian	probability
ˈɪə̯_r	ɐ	1.0
ˈɛ_j	ˈaɪ̯	1.0
ˈɔː	ˈɒ	1.0
ˈøə̯	ˈaɪ̯	1.0
ˈyː	ˈʊ	1.0
ˈy	-	1.0
ˈu̯o	ˈiː	1.0
ˈuː_ɣ̥	ə	1.0
ˈu	ˈʊ	1.0
ʦ	-	1.0
ʋ	v	1.0
ɪ_n	eː	1.0
ɣ_j	ŋ	1.0
ɣ	ɡ̊	1.0
ɡ	ɡ̊	1.0
ə_r	ɐ	1.0
ɕ	s	1.0
ŋ	ŋ	1.0
z	-	1.0
v_ə	f_a	1.0
s_t	ʃ_d̥	1.0
s_l	ʃ_l	1.0
s_k	ʃ	1.0
m	m	1.0
l	l	1.0
k_ˈɛ	ˈa	1.0
j_ˈɪ	ˈiː	1.0
j_ˈuə̯	ˈaɪ̯	1.0
j_ə	n	1.0
h	h	1.0
f	f	1.0
d̥	d̥	1.0
b	b̥	1.0
d	d̥	0.863
ˈɛ	ˈɛ	0.81
j	-	0.767
v	v	0.72
ˈɛː	-	0.714
s	s	0.691
ɪ	i	0.648
n	n	0.637
χ	x	0.631
ˈuə̯	ˈuː	0.62
ˈoə̯	ˈɔ_ɐ	0.618
ˈiə̯	ˈiː	0.561
r	ɐ	0.543
t	d̥	0.536
t_ə	z̥	0.528
ˈeː	ˈeː	0.5
ˈeː	-	0.5
ˈa	ˈɒ	0.478
t_ə	z̥_n	0.472
ˈi	ˈaɪ̯	0.47
k	x	0.463
ˈiə̯	ˈoː	0.439
p	b̥͡v̥	0.436
ˈuː	ˈaʊ̯	0.434
ə	-	0.432
ˈaː	ˈɒ	0.429
ˈiː	ˈaɪ̯	0.426
ˈiː	ˈɪ	0.41
t	ʦ	0.406
ˈi	ˈɪ	0.392
ˈɪ	ˈɪ	0.383
ˈoə̯	ˈoː	0.382
ˈɛi̯	ˈeː	0.38
ˈuə̯	-	0.38
ə	n	0.377
χ	ç	0.369
r	r	0.368
ˈɔ	ˈʊ	0.36
ɪ	ɪ	0.352
ɣ̥	ç	0.352
ɣ̥	ɡ̊_n	0.324
ɣ̥	-	0.324
s	ʃ	0.309
p	v̥	0.309
ˈɛi̯	-	0.299
ˈɔ	-	0.294
ˈa	ˈoː	0.288
ˈɛː	ˈɛ	0.286
ˈɪə̯	ˈaː	0.281
v	-	0.28
k	ç	0.272
k	ɡ̊	0.265
p	f	0.256
ˈɔ	ˈɔ	0.251
ˈuː	ˈʊ	0.248
ˈɪə̯	ˈiː	0.234
ˈa	-	0.234
ˈɛi̯	ˈɛ_ɡ̊	0.214
ˈɪ	ˈʊ	0.208
ˈaː	ˈoː	0.206
ˈɪə̯	ˈeː	0.205
ˈaː	ˈaː	0.193
ˈɛ	-	0.19
ˈuː	-	0.173
ˈaː	-	0.171
ˈiː	ˈiː	0.164
ə	a	0.164
ˈɪ	ˈɛ	0.152
n	n_d̥	0.148
ˈɪə̯	ˈɒ	0.146
ˈuː	ˈaɪ̯	0.144
ˈi	-	0.138
d	-	0.137
j	ˈaɪ̯	0.131
ˈɪ	ˈiː	0.122
ˈɛi̯	ɣ	0.106
ˈɪə̯	ˈuː	0.104
j	ˈiː	0.102
ˈɪ	-	0.095
ˈɔ	ˈɪ	0.094
r	ɾ_ɐ	0.09
n	ŋ	0.089
n	-	0.075
t	ɐ_ʦ	0.058
