Saterland Frisian	American English	probability
a	-	0.5
a	ˈɪ	0.5
b	b	0.901
b	-	0.053
b	v	0.052
d	d	0.868
d	θ	0.095
d_ə	ɹ	0.24
f	f	1.0
h	h	1.0
j	-	0.657
j	j	0.201
j	oʊ̯	0.069
j	w	0.066
j_ˈoː	ˈi	0.561
j_ˈoː	ˈaɪ̯	0.425
j_ˈuː	ˈaɪ̯	1.0
j_ˈʊ	ˈɪ	1.0
k	k	0.503
k	kʰ	0.174
k	ʧ	0.158
k	-	0.151
l	l	0.539
l	ɫ	0.377
l	-	0.08
l_ə	ɫ	1.0
m	m	0.991
n	n	0.906
n	-	0.093
p	p	0.888
p	pʰ	0.112
r	ɹ	0.6
r	ɚ	0.297
r	-	0.083
r_j	ɹ	1.0
r_ə	ɚ	1.0
s	s	0.941
s	ʧ	0.059
s_k	ʃ	1.0
t	t	0.546
t	θ	0.213
t	tʰ	0.135
t	d	0.056
t_ə	t	0.808
t_ə	ɾ	0.179
v	w	0.863
v	v	0.085
w	v	0.644
w	w	0.239
x	-	0.576
x	f	0.233
x	v	0.091
x	ʤ	0.091
x_t	t	1.0
z	-	0.281
z	s	0.281
z_ə	z	1.0
ŋ	ŋ	1.0
ə	-	0.874
ə_l	ɫ	1.0
ə_r	ɚ	1.0
ɡ	ɡ	1.0
ɣ	ɡ	0.472
ɣ	-	0.372
ɣ	v	0.092
ɣ	ʤ	0.053
ɪ	-	0.268
ɪ	i	0.248
ɪ	oʊ̯	0.173
ɪ	ŋ	0.106
ɫ	ɫ	1.0
ˈa	ˈɛ	0.322
ˈa	ˈæ	0.197
ˈa	ə	0.181
ˈa	ˈaɪ̯	0.111
ˈaː	ˈɑ	0.441
ˈaː	ˈæ	0.164
ˈaː	ˈʌ	0.155
ˈaː	ˈɛ	0.1
ˈaːi̯	ˈeɪ̯	1.0
ˈaːu̯	ˈɛ	0.209
ˈaːu̯	ˈɔ	0.102
ˈeː	ˈoʊ̯	0.459
ˈeː	ˈi	0.247
ˈeː	ˈɛ	0.234
ˈeː	ˈɑ	0.051
ˈi	ˈi	0.326
ˈi	ˈaɪ̯	0.322
ˈi	ˈɪ	0.203
ˈi	-	0.086
ˈi	ˈeɪ̯	0.055
ˈiː	ˈaɪ̯	0.386
ˈiː	ˈɪ	0.156
ˈiː	ˈɑ	0.136
ˈiː	ˈi	0.128
ˈiː	ˈɛ	0.089
ˈiː	ˈæ	0.071
ˈiːu̯	ˈɪ	1.0
ˈoː	ˈi	0.304
ˈoː	ˈɛ	0.242
ˈoː	ˈoʊ̯	0.16
ˈoː	ˈeɪ̯	0.135
ˈoː	ˈæ	0.053
ˈoː	ˈɔ	0.053
ˈoː_ɣ	ˈaɪ̯	0.49
ˈoːu̯	ˈæ	0.247
ˈoːu̯	ˈu	0.215
ˈoːu̯	ˈʊ	0.134
ˈoːu̯	ˈoʊ̯	0.099
ˈoːu̯	ˈʌ	0.096
ˈoːu̯	ˈɔ	0.079
ˈoːu̯	ˈɑ	0.053
ˈu	ˈaʊ̯	0.629
ˈu	ˈɪ	0.361
ˈuː	ˈaʊ̯	0.445
ˈuː	ˈʌ	0.186
ˈuː	ˈʌ_ð	0.186
ˈuː	ˈaɪ̯	0.117
ˈuː	ˈi	0.055
ˈyː	ˈɛ	1.0
ˈœː	ˈɪ	0.24
ˈɔ	ˈɑ	0.272
ˈɔ	ˈeɪ̯	0.179
ˈɔ	ˈʌ	0.126
ˈɔ	ˈɔ	0.121
ˈɔ	ˈɪ	0.121
ˈɔ	ˈæ	0.085
ˈɔː	ˈɑ	0.298
ˈɔː	ˈeɪ̯	0.232
ˈɔː	ˈɛ	0.176
ˈɔː	ˈaɪ̯	0.075
ˈɔː	ˈi	0.075
ˈɔː	ˈɪ	0.061
ˈɔː	ˈɔ	0.06
ˈɔːɪ̯	ˈɛ	0.49
ˈɛ	ˈʌ	0.187
ˈɛ	ˈæ	0.167
ˈɛ	ˈɔ	0.131
ˈɛ	ˈɪ	0.131
ˈɛ	ˈi	0.121
ˈɛ	ˈoʊ̯	0.121
ˈɛɪ̯	ˈi	0.652
ˈɛɪ̯	ˈɔ	0.072
ˈɛɪ̯	ˈɝ	0.072
ˈɛɪ̯	ˈoʊ̯	0.059
ˈɛɪ̯	ˈu	0.059
ˈɛː	ˈæ	0.31
ˈɛː	ˈɪ	0.27
ˈɛː	ˈeɪ̯	0.132
ˈɛː	ˈɑ	0.132
ˈɛː	ˈɝ	0.132
ˈɪ	ˈɪ	0.695
ˈɪ	ˈaɪ̯	0.165
ˈɪ	ˈɛ	0.125
ˈʊ	ˈʌ	0.345
ˈʊ	ˈʊ	0.215
ˈʊ	ˈaɪ̯	0.159
ˈʊ	ˈɛ	0.08
ˈʊ	ˈɝ	0.08
ˈʊ	ˈɪ	0.08
