Bulgarian	Bulgarian	probability
ˈ_#>	#>	1.0
ˈ	-	1.0
ʧ	ʧ	1.0
ʦ	-	1.0
ʒ	ʣ	1.0
ʃ	k	1.0
ɫ_o	l̩	1.0
ɫ	l	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
ɔ_ˈ	s	1.0
ɐ_r	r̩_s	1.0
ɐ_#>	a_#>	1.0
x	s	1.0
vʲ	v	1.0
t_ɐ	j	1.0
t_#>	#>	1.0
t	t	1.0
r_ɛ	r	1.0
r_a	a_r	1.0
r	r	1.0
p	p	1.0
o	-	1.0
nʲ	n_iɛ̯	1.0
mʲ	m	1.0
m	m	1.0
lʲ	-	1.0
l	l	1.0
k_ɐ	s	1.0
k	k	1.0
j	aː	1.0
f	w_s	1.0
b̥	b̥	1.0
bʲ	b	1.0
b	b	1.0
a_ˈ	s	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
#>	s_#>	0.909
z	z	0.8
s	s	0.778
v	v	0.727
d	d	0.692
u	au̯	0.6
n	n	0.6
ɐ	-	0.5
d̥	d̥	0.5
d̥	d_u	0.5
a	a	0.474
ɔ	a	0.462
u	-	0.4
i	iː	0.364
i	-	0.364
ɤ	uɔ̯	0.357
ɤ	i	0.357
ɛ	ɛ	0.312
d	-	0.308
ɤ	-	0.286
v	v_i	0.273
i	uː	0.273
a	-	0.263
ɔ	-	0.231
s	s_t	0.222
ɛ	-	0.219
ɐ	uɔ̯	0.214
z	z̥	0.2
n	s	0.2
n	-	0.2
a	ɛ	0.158
ɛ	æ	0.156
ɛ	iɛ̯	0.156
ɔ	æ	0.154
ɔ	aː	0.154
ɐ	ɛ	0.143
ɐ	i	0.143
a	æː	0.105
ɛ	i	0.094
#>	t_s_#>	0.091
