Campidanese	Campidanese	probability
ˈi_s	ˈe_l	1.0
ˈa	ˈa	1.0
ʧ	θ	1.0
ʃ	s	1.0
ɾ_ˈa	ˈa_v	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ɛ	-	1.0
ɔ	o	1.0
ŋ	ŋ	1.0
z	-	1.0
w	w	1.0
u_z	o	1.0
u_#>	#>	1.0
t_i_#>	t_#>	1.0
t	t	1.0
r	r	1.0
o	r	1.0
n_i_#>	ŋ_#>	1.0
n_a	n	1.0
l_ˈi	l_ˈe	1.0
l	l	1.0
j_u_#>	#>	1.0
j	-	1.0
f	f	1.0
e	e	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_i	<#_i	1.0
<#_a_r	<#_r	1.0
<#_a	<#	1.0
#>	a_#>	1.0
s	s	0.931
a	a	0.923
m	m	0.917
k	k	0.914
p	p	0.9
d	d	0.769
ˈe	ˈɛ	0.714
ɾ_a	r_a	0.714
ɖː	l	0.714
ɣ	ɡ	0.692
ˈɔ	ˈo	0.667
ʒ	z	0.667
u	o	0.658
ɾ	r	0.625
ˈi	ˈi	0.621
i_#>	#>	0.619
ʤ	ð	0.6
ɭː	j	0.6
ŭ	-	0.6
nː	n	0.6
ˈo	ˈo	0.571
i	e	0.533
b	b	0.519
β	r	0.5
β	-	0.5
ʦ	θ	0.5
ʦ	-	0.5
ˈɛ	ˈe	0.483
b	v	0.481
n	n	0.472
ˈu	ˈo	0.458
ð	d	0.455
n	ŋ	0.444
ˈo	ˈɔ	0.429
ˈu	ˈu	0.417
ʤ	-	0.4
ɭː	l	0.4
ŭ	o	0.4
nː	-	0.4
i_#>	r_#>	0.381
ˈɛ	ˈɛ	0.379
ˈi	ˈe	0.379
ʒ	-	0.333
ɣ	ʧ	0.308
ɾ_a	a	0.286
ɖː	-	0.286
ð	t	0.273
ð	-	0.273
ˈɔ	ˈɔ	0.25
d	-	0.231
i	-	0.2
ˈe	ˈe	0.143
ˈe	j_ˈe	0.143
ˈɛ	j_ˈe	0.138
ˈu	ˈɔ	0.125
ɾ	-	0.104
p	-	0.1
i	i	0.1
i	d_e	0.1
k	-	0.086
ˈɔ	r	0.083
ɾ	j	0.083
n	-	0.083
m	-	0.083
u	r	0.079
a	-	0.077
s	-	0.069
i	e_r	0.067
ɾ	e	0.062
u	v_o	0.053
u	s	0.053
u	l	0.053
u	j	0.053
u	-	0.053
