Swedish	Gothic	probability
a	a	0.536
a	oː	0.32
a	-	0.075
b	b	1.0
d	d	0.539
d	θ	0.438
f	f	1.0
h	h	1.0
j	ˈɛ	0.313
j	ɡ	0.275
j	-	0.264
j	l	0.069
k	k	0.834
k	ɡ	0.119
kʰ	k	0.831
kʰ	kʷ	0.169
kː	k	1.0
l	l	0.911
lː	lː	0.615
lː	d	0.385
m	m	1.0
mː	m	1.0
n	n	0.879
n	-	0.071
n	j	0.05
nː	n	0.599
nː	nː	0.401
p	p	1.0
pː	p	1.0
r	r	0.73
r	-	0.156
s	s	0.956
sː	ŋ	1.0
t	t	1.0
tʰ	t	0.485
tʰ	θ	0.473
tː	t	0.583
tː	h_t	0.417
v	w	0.511
v	f	0.139
v	β	0.101
v	-	0.073
v	ʍ	0.06
ŋ	ɡ	0.663
ŋ	ŋ	0.264
ŋ	h	0.073
ŋː	ŋ	0.724
ŋː	h	0.187
ŋː	ɡʷ	0.089
ɕ	k	0.775
ɕ	t	0.142
ɕ	θ	0.083
ɖ	θ	0.663
ɖ	r	0.337
ɛ	a	0.453
ɛ	-	0.279
ɛ	r_u	0.16
ɛ	u	0.08
ɡ	ɡ	0.517
ɡ	ɣ	0.241
ɡ	x	0.129
ɡ	h	0.089
ɡː	d	0.836
ɡː	ɣ	0.164
ɧ	s	0.925
ɧ	-	0.075
ɪ	i	0.663
ɪ	a	0.337
ɳ	r	1.0
ɵ	i	1.0
ʂ	s	1.0
ʈ	t	1.0
ʈː	t	0.504
ʈː	r_t	0.496
ʊ	u	0.775
ʊ	ˈiu̯	0.225
ˈa	ˈa	0.928
ˈa	ˈu	0.072
ˈeː	ˈɛː	0.633
ˈeː	ˈi	0.16
ˈeː	ˈiː	0.126
ˈeː	ʍ	0.081
ˈiː	ˈiː	0.701
ˈiː	ˈuː	0.129
ˈiː	ˈɛ	0.086
ˈoː	ˈeː	0.409
ˈoː	ˈa	0.345
ˈoː	ˈu	0.174
ˈuː	ˈoː	0.637
ˈuː	ˈɔ	0.273
ˈuː	r	0.09
ˈyː	ˈi	0.585
ˈyː	ˈoː	0.302
ˈyː	j	0.114
ˈæ	r	1.0
ˈæː	ˈa	0.368
ˈæː	ˈeː	0.368
ˈæː	ˈɛ	0.264
ˈøː	ˈɔː	0.509
ˈøː	-	0.189
ˈøː	ˈɔ	0.166
ˈøː	ˈoː	0.074
ˈœ	ˈi	0.508
ˈœ	ˈu	0.311
ˈœ	ˈɔ	0.182
ˈœː	ˈɔː	1.0
ˈɑː	ˈa	0.752
ˈɑː	-	0.147
ˈɑː	ˈeː	0.101
ˈɔ	ˈi	0.415
ˈɔ	ˈa	0.231
ˈɔ	ˈu	0.227
ˈɔ	ˈɔː	0.127
ˈɛ	ˈi	0.417
ˈɛ	ˈa	0.34
ˈɛ	ˈɛː	0.144
ˈɛ	ˈɛ	0.099
ˈɛː	ˈi	0.422
ˈɛː	ˈɛː	0.289
ˈɛː	ˈiu̯	0.259
ˈɪ	ˈi	0.943
ˈɪ	ˈiː	0.057
ˈɵ	ˈu	0.781
ˈɵ	ŋ	0.079
ˈɵ	w_ˈu	0.063
ˈʉː	ˈiu̯	0.579
ˈʉː	ˈuː	0.217
ˈʉː	ˈu	0.071
ˈʉː	ˈɛː	0.071
ˈʊ	ˈoː	0.408
ˈʊ	ˈu	0.315
ˈʊ	ˈuː	0.239
ˈʏ	ˈiu̯	0.663
ˈʏ	w	0.337
