Old West Norse	Swiss German	probability
θ	d̥	1.0
ˈɛː	-	1.0
ˈɛi̯	ˈæi̯	1.0
ˈɔː	ˈuə̯	1.0
ˈøː	ˈyə̯	1.0
ˈoː_r̥	ˈeː	1.0
ˈeː_r̥	ˈi_r	1.0
ˈa	ˈɒ	1.0
ʦ	t_ʃ	1.0
ʝː	ɡ̊	1.0
ɾ	-	1.0
ɣ	ɡ̊	1.0
ɡː	ɡ̊ː	1.0
ɟː	ɡ̊ː	1.0
ɟ	ɡ̊	1.0
ɑː	æ	1.0
ð_ɑ	t_ə	1.0
ç	h	1.0
x_w	ʋ	1.0
v_u	p	1.0
v_r̥	b̥	1.0
tː_r̥	χ_t	1.0
tː	ʦ	1.0
tʰ	ʦ	1.0
sː	-	1.0
s_t	ʃ_t	1.0
s_j	z̥	1.0
s_c	ʒ̊	1.0
r̥ː	r	1.0
r_t	r_ʦ	1.0
r_n	r_n	1.0
pː	f	1.0
pʰ	p͡f	1.0
n̥	n	1.0
mː	-	1.0
m	m	1.0
l̥	l	1.0
lː_r̥	lː	1.0
l_d	l_t	1.0
kʰ	ɣ̊	1.0
j_ˈɔ	ˈæ	1.0
j_ˈɑ	ˈæ	1.0
j_ˈuː	ˈyː	1.0
j_ˈoː	ˈiə̯	1.0
j_ɑ	ə	1.0
j	-	1.0
h	h	1.0
f	v̥	1.0
e	-	1.0
d	d̥	1.0
cː	k͡χ	1.0
cʰ	ɣ̊	1.0
c	-	1.0
b	b̥	1.0
a	ə	1.0
r	r	0.958
ɑ	ə	0.938
l	l	0.902
n	n	0.859
ˈuː	ˈuː	0.846
ŋ	ŋ	0.825
ˈi	ˈi	0.775
s_k	ʃː	0.756
ˈiː	ˈiː	0.743
ˈøy̯	-	0.719
u	-	0.686
lː	l_d̥	0.678
ˈeː	ˈiə̯	0.635
ˈɑu̯	ˈau̯	0.618
kː	k͡χ	0.61
ɡ	ɡ̊	0.603
ˈɔ	-	0.597
ˈɑ	ˈɒ	0.56
s	z̥	0.55
ˈoː	ˈuə̯	0.54
ˈɛ	ˈe	0.525
k	χː	0.523
i	ə	0.512
i	-	0.488
k	χ	0.477
ˈɛ	ˈɒ	0.475
ˈu	ˈu	0.472
ˈoː	-	0.46
ˈɑː	ˈɒː	0.447
t	sː	0.439
ˈy	-	0.431
p	fː	0.43
nː	n	0.43
ˈe	ˈæ	0.425
ˈyː	ˈyː	0.421
ˈyː	-	0.421
ð	t	0.42
ˈɔ	ˈɒ	0.403
ɡ	-	0.397
kː	ŋ_k͡χ	0.39
ˈɑu̯	ˈoː	0.382
nː	-	0.38
v	b̥	0.379
ˈeː	-	0.365
ˈɑː	-	0.363
ˈy	ˈy	0.358
ˈo	ˈo	0.357
r̥	r	0.351
ˈe	-	0.33
lː	l	0.322
p	f	0.321
u	i	0.314
s	ʒ̊	0.312
r̥	ə_r	0.296
ð	tː	0.294
ð	d̥	0.286
ˈøy̯	ˈøi̯	0.281
ˈo	ˈu	0.277
ˈiː	-	0.257
ˈo	ˈoː	0.249
p	p͡f	0.249
s_k	ʒ̊	0.244
t	z̥	0.242
ˈɑ	ˈɒː	0.241
v	ʋ	0.24
ˈy	ˈi	0.212
ˈu	-	0.204
t	t	0.203
ˈɑ	ˈæ	0.199
ˈɑː	ˈeː	0.19
nː	n_d̥	0.189
ˈu	ˈo	0.181
ŋ	i	0.175
v	-	0.167
ˈyː	ˈy	0.158
ˈuː	-	0.154
ˈe	ˈi	0.15
ˈu	ˈuː	0.142
n	-	0.141
s	ʃ	0.138
ˈi	ˈy	0.137
v	f	0.134
r̥	χ	0.119
r̥	b̥	0.119
ˈo	-	0.117
t	ʦ	0.116
r̥	ə	0.115
l	-	0.098
ˈe	ˈæː	0.094
ˈi	-	0.088
v	ə	0.08
ɑ	-	0.062
