Slovenian	Kashubian	probability
<#	w	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_j	<#_j	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_t	<#_ʦ	1.0
<#_x	<#_x	1.0
<#_z	<#_z	1.0
<#_ɔ̀ː	<#_u̯ˈɛ	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʃ	<#_ʃ	1.0
<#_ʋ	<#_v	1.0
<#_ʒ	<#_ʒ	1.0
<#_ʧ	<#_ʧ	1.0
b	b	1.0
d	d	1.0
d_e	<#_ʣ_ˈɛ	1.0
èː_k	ˈe_k	1.0
ìː	ˈi	1.0
íː_s	ˈə_s	1.0
j	-	1.0
k_#>	k_#>	1.0
l_áː	w_ˈɔ	1.0
m	m	1.0
o	u̯ˈɛ	1.0
p_#>	p_#>	1.0
s	s	1.0
s_#>	s_#>	1.0
s_ə	s	1.0
t_i	ʦ_#>	1.0
t_ìː	t	1.0
w	l_#>	1.0
w_#>	w_i_#>	1.0
x	x	1.0
z	z	1.0
ɔ	u̯ɛ	1.0
ɔ_#>	ɔ_#>	1.0
ɔ́ː_w	ˈɞ_w	1.0
ə_k	ʧ_i	1.0
ə_m	m_ə	1.0
ə́	j_ˈɛ	1.0
ɛ	ɛ	1.0
ɛ_#>	ɛ_#>	1.0
ɡ	ɡ	1.0
ʦ	ʦ	1.0
#>	ʦ_#>	0.2
éː	j	0.2
ʋ	f	0.182
éː	ɛ	0.133
éː	ˈe	0.133
éː	a_ŋ	0.133
éː	j_ˈa	0.133
éː	ˈa	0.133
éː	ˈɛ	0.133
l	w_ˈɔ	0.133
ə	ɛ	0.333
ʋ	v_j	0.273
èː	j_ˈa	0.4
l	w	0.4
n	ɲ	0.714
n_#>	n	0.4
óː_#>	ɔ_#>	0.4
t	t	0.714
a_#>	#>	0.125
a_#>	a_#>	0.875
àː	-	0.5
àː	ˈɞ	0.5
i	ə	0.5
i	-	0.5
k	ʤ	0.5
k	k	0.5
óː	u̯ˈɛ	0.25
óː	ˈõ	0.25
óː	ˈu	0.5
r	ˈa_r	0.15
r	ʐ	0.35
r	r	0.5
t_#>	t_#>	0.455
t_#>	ʦ_#>	0.545
ɛ̀ː	ŋ	0.5
ɛ̀ː	ˈɛ	0.5
ʋ	v	0.545
èː	j_ˈɞ	0.6
n	ˈɔ_n	0.286
n_#>	n_i	0.6
óː_#>	u̯ɛ_#>	0.6
t	ˈa_t	0.286
l	l	0.467
ə	-	0.667
#>	i_#>	0.8
