Elfdalian	Standard German	probability
ˈʉ̃ːə̯	-	1.0
ˈɪ̃ː	ˈiː	1.0
ˈɪ	ˈɪ	1.0
ˈɛː	-	1.0
ˈɑːi̯	ˈaɪ̯	1.0
ˈœ	ˈɪ	1.0
ˈæː	-	1.0
ˈæ	ˈɛ	1.0
ˈyœ̯	-	1.0
ˈiːe̯	ˈaɪ̯	1.0
ʥː	k	1.0
ʥ	ɡ	1.0
ʏ	ˈyː_b	1.0
ʉ_ŋ	ɪ	1.0
ʉ	ə	1.0
ɽ	l	1.0
ɣ_ɛ	ɡ	1.0
ɡː	k_ə	1.0
ɡ	ɡ	1.0
ɛ_r	ɐ	1.0
ɛ_n	ə	1.0
ɔ̃	eː	1.0
ɑ̃	ə	1.0
ŋ_ɡ	ŋ	1.0
w	v	1.0
sː	n_z̥	1.0
s_ʨ	ʃ	1.0
s_t	s_t	1.0
s_k	ʃ	1.0
s_j	z	1.0
r_d	ɐ_t	1.0
pː	-	1.0
pʰ	p͡f	1.0
mː	m	1.0
m	m	1.0
l̥	ʃ_l	1.0
lː	l	1.0
l	l	1.0
kː	ŋ_k	1.0
kʰ	kʰ	1.0
j_ˈʉːə̯	ˈiː	1.0
j_ˈæ	ˈɛ	1.0
f	f	1.0
b	b	1.0
a	ˈøː_ʁ	1.0
n	n	0.908
nː	n	0.849
ˈɑ	ˈa	0.845
ð	t	0.8
ˈo	-	0.783
p	f	0.761
ˈɑːu̯	ˈaʊ̯	0.753
d	tʰ	0.709
ɔ	n	0.703
ˈoː	ˈoː	0.667
ɣ	ɡ	0.659
ˈɔ̃ː	-	0.648
ˈɑː	ˈaː	0.646
ˈʏː	ˈɔʏ̯	0.642
ˈʉə̯	ˈɔ	0.619
tʰ	d	0.618
t	s	0.604
ˈʏ	ˈʏ	0.6
ˈɔ	ˈa	0.6
ˈyːœ̯	ˈyː	0.571
ɑ	n	0.539
r	ɐ	0.539
k	ç	0.539
ˈʉ	ˈʊ	0.537
ˈɔː	ˈaː	0.531
ˈɛ	ˈɛ	0.498
j	ˈeː	0.469
k	x	0.461
v	b	0.46
s	z	0.456
ˈʉː	-	0.446
tː	t	0.433
ˈyːœ̯	ˈuː	0.429
ˈœː	-	0.409
ˈʉːə̯	ˈuː	0.405
ˈʏ	-	0.4
ˈɔ	-	0.4
tʰ	ʦ	0.382
ˈʉə̯	ˈʊ	0.381
s	ʃ	0.378
tː	s	0.36
ˈʏː	-	0.358
r	ʁ	0.355
ˈɑː	ˈa	0.354
ˈɔ̃ː	ˈa	0.352
ɣ	ç	0.341
ˈœː	ˈaʊ̯	0.333
ˈoː	-	0.333
ˈʉːə̯	-	0.32
v	f	0.309
ˈɪː	ˈɪ	0.298
ɔ	-	0.297
ˈɪː	ˈaɪ̯	0.295
ˈɛ	-	0.291
ˈʉː	ˈiː	0.281
t	t	0.28
ˈʉː	ˈoː	0.273
ˈʉ	ˈɔ	0.271
ˈɔː	-	0.268
ɑ	ə	0.258
ˈœː	ˈoː	0.257
ˈɑːu̯	-	0.247
p	p	0.239
v	b̥	0.231
ˈɪː	ˈiː	0.224
ˈo	ˈa	0.217
ˈɛ	ˈaɪ̯	0.211
j	ˈɛ	0.209
tː	-	0.207
j	ˈɪ	0.202
ˈɔː	ˈa_l	0.201
d	d	0.198
ˈɪː	-	0.183
s	t	0.166
ˈɑ	ˈaː	0.155
nː	ɐ_n	0.151
ˈʉːə̯	ˈyː	0.138
ˈʉːə̯	ˈiː	0.138
ɑ	ə_n	0.13
j	-	0.12
t	ʦ	0.115
ð	ɐ	0.113
ˈʉ	ˈʏ	0.112
d	t	0.093
n	-	0.092
ð	d̥	0.087
r	-	0.081
ˈʉ	ˈaʊ̯	0.08
ɑ	-	0.063
