Old Norse	East Low German	probability
a	n	0.398
a	-	0.301
a	ˈuː	0.301
b	b	0.928
b	-	0.072
c	-	0.68
c	k	0.32
cʰ	kʰ	1.0
cː	k	1.0
d	d	0.761
d	-	0.16
d	t	0.08
f	f	0.939
f	ʃ	0.061
h	h	1.0
i	æ	0.625
i	-	0.375
j	ˈae̯	0.441
j	-	0.216
j	ˈiː	0.109
j	ˈɔ	0.08
j	ˈʏ	0.062
j	ˈaɪ̯	0.052
k	k	0.707
k	-	0.234
k	ʃ	0.059
kʰ	kʰ	0.839
kʰ	f	0.161
kː	k	0.782
kː	ŋ_k	0.218
l	l	0.928
l	-	0.072
lː	l	1.0
l̥	l	1.0
m	m	1.0
mː	f	0.806
mː	m	0.194
n	n	0.912
n	-	0.088
nː	n	0.653
nː	-	0.293
nː	t	0.055
p	p	1.0
pː	p	1.0
r	-	0.698
r	æ	0.158
r	r	0.127
rː	æ	0.907
rː	ç	0.093
r̥	r	1.0
s	z	0.426
s	ʃ	0.353
s	s	0.201
sː	s	1.0
t	t	0.929
tʰ	tʰ	0.947
tʰ	b	0.053
tː	x	0.567
tː	ç	0.325
tː	t	0.108
u	-	0.438
u	ɪ	0.353
u	ˈɛː	0.209
v	v	0.358
v	m	0.23
v	f	0.191
v	w	0.1
v	s	0.054
w	ˈɪ	1.0
x	v	1.0
ç	h	1.0
ð	t	0.42
ð	ɾ	0.265
ð	d	0.161
ð	-	0.154
ŋ	ŋ	0.795
ŋ	n	0.165
ɑ	n	0.931
ɑː	ae̯	1.0
ɟ	ɡ	0.482
ɟ	j	0.473
ɟː	ç	1.0
ɡ	-	0.475
ɡ	ɡ	0.315
ɡ	k	0.115
ɡ	j	0.095
ɡː	k	0.521
ɡː	-	0.256
ɡː	ç	0.223
ɣ	x	0.331
ɣ	ç	0.288
ɣ	ŋ	0.227
ɣ	ɡ	0.154
ɾ	æ	1.0
ʝː	ŋ	1.0
ʦ	t	1.0
ˈa	ˈa	0.606
ˈa	ˈɒː	0.394
ˈe	ˈɛ	0.276
ˈe	ˈɪ	0.247
ˈe	ˈɛː	0.246
ˈe	ˈɒː	0.139
ˈe	ˈʏ	0.053
ˈeː	ˈiː	0.519
ˈeː	ˈae̯	0.218
ˈeː	ˈɪ	0.105
ˈeː	ˈɛː	0.092
ˈi	ˈɪ	0.735
ˈi	ˈiː	0.143
ˈi	ˈɛ	0.063
ˈiː	ˈiː	0.657
ˈiː	-	0.175
ˈiː	ˈae̯	0.124
ˈo	ˈuː	0.481
ˈo	ˈøː	0.14
ˈo	ˈɒː	0.127
ˈo	ˈoː	0.088
ˈo	ˈœː	0.081
ˈo	ˈœ	0.052
ˈoː	-	0.443
ˈoː	ˈaʊ̯	0.204
ˈoː	r	0.093
ˈoː	ˈɪ	0.064
ˈu	ˈʊ	0.363
ˈu	ˈʏ	0.159
ˈu	v_ˈʊ	0.134
ˈu	ˈuː	0.116
ˈu	ˈɔ	0.078
ˈu	ˈœː	0.066
ˈuː	ˈuː	0.549
ˈuː	-	0.424
ˈy	ˈʏ	0.343
ˈy	ˈɪ	0.199
ˈy	ˈœː	0.191
ˈy	ˈyː	0.112
ˈy	ˈuː	0.097
ˈy	ˈɔ	0.058
ˈyː	ˈyː	0.303
ˈyː	ˈiː	0.301
ˈyː	ˈœː	0.225
ˈyː	ˈaʊ̯	0.147
ˈøy̯	ˈuː	0.429
ˈøy̯	ˈɔʏ̯	0.302
ˈøy̯	ˈyː	0.156
ˈøy̯	ˈaʊ̯	0.113
ˈøː	ˈɔʏ̯	0.722
ˈøː	ˈɛ	0.199
ˈøː	ˈʏ	0.079
ˈɑ	ˈa	0.418
ˈɑ	ˈaː	0.235
ˈɑ	ˈɒː	0.101
ˈɑ	-	0.072
ˈɑ	ˈoː	0.07
ˈɑu̯	ˈaʊ̯	0.696
ˈɑu̯	ˈoː	0.224
ˈɑu̯	ˈœː	0.08
ˈɑː	ˈɒː	0.3
ˈɑː	ˈaʊ̯	0.207
ˈɑː	ˈoː	0.202
ˈɑː	ˈa	0.164
ˈɑː	ˈeː	0.066
ˈɑː	-	0.062
ˈɒu̯	-	0.879
ˈɒu̯	ˈaʊ̯	0.121
ˈɔ	ˈoː	0.376
ˈɔ	-	0.195
ˈɔ	ˈa	0.17
ˈɔ	ˈɛː	0.17
ˈɔː	ˈaʊ̯	1.0
ˈɛ	ˈa	0.279
ˈɛ	ˈɛː	0.171
ˈɛ	ˈɛ	0.16
ˈɛ	ˈaː	0.133
ˈɛ	ˈʏ	0.107
ˈɛ	ˈae̯	0.092
ˈɛ	ˈyː	0.057
ˈɛi̯	ˈae̯	0.89
ˈɛi̯	ˈɪ	0.11
ˈɛː	ˈɒː	0.382
ˈɛː	ˈa	0.334
ˈɛː	ˈeː	0.215
ˈɛː	ˈae̯	0.069
θ	d	1.0
