Old Prussian	Standard Croatian	probability
ɡ_i	ɡ	1.0
ŋ	-	1.0
z	z	1.0
w	ʋ	1.0
v_i	ʋ	1.0
v	ʋ	1.0
u_s	x	1.0
t	t	1.0
oːu̯	i	1.0
o_n	i	1.0
n_t	t	1.0
n_o	ɡ̊	1.0
n_a	n	1.0
j	j	1.0
iː	eː	1.0
i_t	ʧ	1.0
i_r	r̩	1.0
eːi̯	-	1.0
eː	ʎ	1.0
aːu̯	u	1.0
aːi̯	eː_̌	1.0
aː	-	1.0
au̯	uː	1.0
ai̯	j_e	1.0
m	m	0.828
r	r	0.827
i	-	0.826
k	k	0.777
o	a	0.691
u	-	0.631
d	d	0.627
b	b	0.619
p	p	0.579
ɡ	z	0.506
ɡ	ʒ	0.494
l	l	0.451
n	-	0.431
p	-	0.421
s	s	0.418
b	-	0.381
d	-	0.373
u	i_̂	0.369
n	n	0.367
a	-	0.349
s	-	0.34
l	-	0.327
o	-	0.309
a	o	0.306
a	oː_̂	0.266
s	x	0.242
e	-	0.237
k	ʃ	0.223
l	u	0.222
e	e_̌	0.189
e	eː	0.18
i	eː_̂	0.174
r	r̩ː	0.173
m	-	0.172
e	a	0.148
e	e_̂	0.14
n	d	0.124
e	e	0.106
a	a_̂	0.079
n	d_a	0.078
