Spanish	Friulian	probability
a	e	0.635
a	a	0.165
a	-	0.158
b	v	0.572
b	b	0.297
b	-	0.071
d	d	0.854
d	t	0.146
e	i	0.444
e	e	0.261
e	-	0.076
e	j	0.069
e	ˈɔ	0.06
f	f	1.0
i	i	0.82
i	ˈi	0.089
i	a	0.053
j	-	0.364
j	j	0.36
j	ˈiː	0.181
j	w	0.054
k	c	0.563
k	k	0.264
k	-	0.068
l	l	0.887
l	r	0.073
m	m	0.868
m	-	0.116
n	n	0.927
o	-	0.71
o	i	0.111
o	o	0.097
p	p	0.957
r	r	0.958
s	s	0.904
s	z	0.055
t	t	0.727
t	ʧ	0.095
t	-	0.09
u	i	0.627
u	u	0.28
u	o	0.093
w	w	0.825
w	ˈo	0.088
w	ˈɔː	0.088
x	-	0.581
x	l	0.256
x	ʤ	0.162
ð	d	0.625
ð	t	0.375
ŋ	ŋ	0.707
ŋ	n	0.151
ŋ	-	0.142
ɟ͡ʝ	p_l	0.453
ɟ͡ʝ	k_l	0.351
ɟ͡ʝ	j	0.196
ɡ	ɡ	0.717
ɡ	k	0.093
ɡ	ɟ	0.093
ɣ	-	0.575
ɣ	ɡ	0.345
ɲ	ɲ	0.56
ɲ	n	0.28
ɲ	-	0.082
ɲ	m	0.078
ɾ	r	0.733
ɾ	-	0.244
ʝ	l	0.313
ʝ	ʧ	0.281
ʝ	j	0.238
ʝ	-	0.168
ʧ	t	0.892
ʧ	l_t	0.108
ˈa	ˈa	0.612
ˈa	ˈaː	0.388
ˈe	ˈɛ	0.217
ˈe	ˈi	0.209
ˈe	ˈe	0.19
ˈe	-	0.093
ˈe	ˈa	0.082
ˈe	i	0.079
ˈe	ˈeː	0.053
ˈi	ˈi	0.569
ˈi	ˈiː	0.214
ˈi	ˈaː	0.066
ˈi	ˈɛ	0.061
ˈi	i	0.052
ˈo	ˈo	0.304
ˈo	ˈoː	0.187
ˈo	ˈɔ	0.163
ˈo	ˈu	0.079
ˈo	ˈa_w	0.078
ˈo	w	0.066
ˈu	ˈu	0.459
ˈu	ˈuː	0.292
ˈu	ˈo	0.161
ˈu	ˈɔ	0.053
β	v	0.373
β	w	0.19
β	f	0.186
β	-	0.144
θ	ʧ	0.397
θ	s	0.358
θ	z	0.07
θ	f	0.066
