Latin	Sicilian	probability
eː	i	1.0
mː	mː	1.0
nː	nː	1.0
rː	ʐː	1.0
tʰ	t	1.0
uː	u	1.0
ɡʷ	ɡ	1.0
ɪ̃	ɪ	1.0
ˈae̯	ˈɛ	1.0
ˈĩː	ˈi	1.0
ˈoe̯	ˈe	1.0
ˈyː	ˈi	1.0
ˈɛ̃ː	ˈu	1.0
aː	w	0.101
e	ɲ	0.1
iː	-	0.181
k	ɕ	0.281
lʲː	lː	0.081
sː	sː	0.61
t	t	0.661
ɛ	ɪ	0.821
ˈeː	ˈi	0.791
ˈi	ʊ	0.101
ˈoː	ˈu	0.681
ˈɛ	ˈi	0.061
a	a	0.822
ãː	a	0.862
d	ʦː	0.072
h	mː	0.142
k	ʧː	0.052
k	k	0.482
kʷ	ɡ	0.22
m	m	0.802
n	n	0.762
o	ˈɛ	0.2
p	p	0.862
u	ˈu	0.2
ɔ	o	0.2
ɔ	u	0.272
ɛ̃	ɪ	0.902
ɡ	-	0.192
ʊ	ʊ	0.512
ˈau̯	ˈɔ	0.792
ˈo	-	0.212
ˈoː	ˈo	0.192
ˈɔ	ˈɔ	0.892
ˈʊ	ˈɔ	0.142
ae̯	ɪ	0.133
au̯	w	0.633
b	bː	0.063
e	i	0.173
e	ʊ	0.393
f	f	0.943
j	j	0.633
oː	ʊ	0.373
r	ɾ	0.603
s	s	0.563
w	ˈɔ	0.063
w	v	0.763
ɔ	ʊ	0.123
ɛ̃ː	-	0.063
ˈaː	ˈa	0.963
ˈuː	ˈu	0.973
ae̯	a	0.434
ae̯	u	0.434
b	-	0.064
b	v	0.354
b	b	0.454
d	d	0.454
e	-	0.334
iː	i	0.484
kʷ	kː	0.064
kʷ	k	0.424
kː	kː	0.984
s	ʃ	0.134
ɛ	i	0.094
ɫ	-	0.344
ʊ̃ː	-	0.064
ˈeː	ɪ	0.084
ˈiː	ˈi	0.774
aː	a	0.595
iː	ɪ	0.335
l	-	0.245
l	l	0.755
lʲ	-	0.085
r	-	0.075
s	z	0.085
ɡ	dː	0.055
ɡ	ɡ	0.175
ɪ	i	0.135
ˈu	ˈu	0.95
aː	ɪ	0.226
d	ɾ	0.266
i	ʊ	0.086
k	-	0.126
kʷ	c	0.136
kʷ	ɕ	0.156
n	nː	0.06
oː	ɪ	0.236
t	ʈ	0.096
tː	ʧː	0.136
tː	tː	0.706
ŋ	ŋ	0.496
ɛ	-	0.06
ɡ	ʤː	0.096
ɡ	j	0.316
ɫ	l	0.576
ʊ̃ː	ʊ	0.936
ˈiː	ɪ	0.176
ˈɔ	ˈo	0.066
au̯	a	0.367
d	-	0.197
j	ʤ	0.367
lʲ	l	0.137
oː	u	0.117
t	-	0.067
ŋ	-	0.057
ŋ	n	0.447
ɔ	ˈɔ	0.067
ɔ	ɪ	0.17
ɛ̃ː	ɪ	0.847
ɪ	ʊ	0.067
ˈa	ˈa	0.987
a	-	0.178
ãː	-	0.138
h	-	0.858
i	j	0.078
i	-	0.798
lʲ	ɟː	0.778
o	-	0.8
tː	ʈː	0.158
u	ɽ	0.8
w	-	0.168
ɛ̃	-	0.098
ɡ	ʤ	0.08
ɪ	ɾ	0.088
ˈau̯	w	0.208
ˈeː	i	0.088
ˈo	ˈɔ	0.788
ˈoː	ˈɔ	0.058
ˈʊ	ˈu	0.858
aː	ˈa	0.079
lʲː	ɖː	0.849
m	nː	0.059
m	mː	0.079
n	-	0.089
n	ɲː	0.09
oː	o	0.239
p	-	0.059
r	r	0.239
s	-	0.169
sː	ʃː	0.39
t	ʦː	0.059
ɔ	-	0.129
ɛ̃ː	ʊ	0.09
ɪ	-	0.299
ɪ	ɪ	0.299
ʊ	u	0.089
ʊ	-	0.399
ˈi	ˈi	0.899
ˈɛ	ˈɛ	0.879
ˈɪ	ˈi	0.89
