Swedish	German	probability
#>	#>	0.776
#>	n_#>	0.13
<#	<#	0.977
a	ə	0.826
a	n	0.172
a_#>	#>	1.0
b	b	1.0
d	t	0.567
d	tʰ	0.237
d	d	0.092
e	ɐ	0.495
f	f	0.973
h	h	1.0
j	-	0.229
j	ɡ	0.184
j	tʰ	0.166
j	k	0.144
j	ˈɪ	0.119
j	ˈɛ	0.071
j	ç	0.052
jː	ɡ	0.245
k	ç	0.442
k	k	0.368
k	x	0.17
kʰ	kʰ	1.0
kː	ŋ_k	1.0
l	l	1.0
lː	l	1.0
m	m	0.935
m	n	0.065
mː	m	1.0
n	n	0.908
n	-	0.091
n_#>	#>	1.0
nː	n	0.587
nː	n_d	0.327
nː	l	0.059
p	f	0.833
p	p͡f	0.138
pʰ	p͡f	0.495
pː	f	1.0
r	ʁ	0.542
r	ɐ	0.364
r_#>	#>	1.0
r_a	ɐ	0.495
rː	ɐ	0.495
s	ʃ	0.342
s	z	0.337
s	s	0.304
s_k	ʃ	1.0
sː	z	0.45
sː	s	0.338
t	s	0.473
t	t	0.423
t	d	0.064
tʰ	ʦ	0.515
tʰ	d	0.428
tʰ	tʰ	0.057
tː	s	0.343
tː	ç_t	0.276
tː	x_t	0.164
tː	ʦ	0.158
v	v	0.593
v	f	0.167
v	p	0.12
v	b	0.098
ŋ	f	0.198
ŋ	ç	0.198
ŋ	ɡ	0.13
ŋ	ŋ	0.122
ŋː	ŋ	1.0
ɕ	d	0.74
ɕ	kʰ	0.137
ɖ	ɐ_t	0.42
ɖ	d	0.158
ɛ	ɐ	0.555
ɛ	-	0.221
ɛ	ə	0.211
ɛ_#>	#>	1.0
ɡ	ɡ	0.626
ɡ	ç	0.151
ɡ	k	0.103
ɡ	-	0.055
ɡ	x	0.055
ɡː	k	0.699
ɡː	-	0.297
ɧ	ʃ	0.699
ɧ	z	0.297
ɪ	ɪ	0.74
ɪ	-	0.137
ɳ	ɐ_n	0.548
ɳ	ɐ	0.415
ɳː	-	0.495
ɵ	-	0.574
ɵ	ɪ	0.284
ʈː	ʦ	1.0
ʊ	ˈeː	0.284
ʊ	ˈɔʏ̯	0.284
ˈa	ˈa	0.9
ˈa	ˈaː	0.095
ˈeː	ˈaɪ̯	0.596
ˈeː	ˈɪ	0.223
ˈeː	ˈeː	0.146
ˈiː	ˈaɪ̯	0.636
ˈiː	-	0.125
ˈiː	ˈiː	0.107
ˈiː	ˈɪ	0.09
ˈoː	ˈaː	0.482
ˈoː	ˈoː	0.312
ˈoː	ˈa	0.077
ˈoː	ˈɛː	0.066
ˈoː	ˈaɪ̯	0.054
ˈuː	ˈuː	0.51
ˈuː	ˈɔ	0.262
ˈuː	ˈaʊ̯	0.079
ˈuː	ˈʊ	0.077
ˈuː	ɐ	0.06
ˈyː	ˈɔʏ̯	0.596
ˈyː	ˈiː	0.256
ˈæ	ˈɛ	0.758
ˈæ	ɐ	0.092
ˈæː	ˈɛ	0.561
ˈæː	ˈiː	0.137
ˈæː	ˈeː	0.078
ˈøː	ˈoː	0.262
ˈøː	ˈaʊ̯	0.223
ˈøː	ˈyː	0.194
ˈøː	ˈeː	0.125
ˈøː	ˈøː	0.082
ˈøː	ˈɛː	0.068
ˈœ	ˈɔʏ̯	0.197
ˈœ	ˈɔ	0.16
ˈœ	ˈyː	0.13
ˈœ	ˈʊ	0.13
ˈœ	ˈʏ	0.13
ˈœ	ˈaʊ̯	0.097
ˈœ	-	0.095
ˈœː	ˈøː	0.66
ˈœː	ˈoː	0.161
ˈɑː	ˈaː	0.49
ˈɑː	ˈa	0.432
ˈɑː	-	0.074
ˈɔ	ˈʊ	0.25
ˈɔ	ˈɔ	0.244
ˈɔ	ˈœ	0.165
ˈɔ	ˈʏ	0.102
ˈɔ	ˈɪ	0.074
ˈɛ	ˈɛ	0.419
ˈɛ	ˈaɪ̯	0.164
ˈɛ	ˈa	0.106
ˈɛ	ˈɪ	0.106
ˈɛ	ˈʏ	0.07
ˈɛ	ˈeː	0.05
ˈɛː	ˈeː	0.271
ˈɛː	ˈaː	0.236
ˈɛː	ˈɛ	0.205
ˈɛː	ˈaɪ̯	0.135
ˈɛː	ˈiː	0.135
ˈɪ	ˈɪ	1.0
ˈɵ	ˈɔ	0.334
ˈɵ	ˈʊ	0.133
ˈɵ	j	0.101
ˈɵ	ˈɔʏ̯	0.079
ˈɵ	ˈoː	0.075
ˈɵ	ˈœ	0.075
ˈɵ	ˈɪ	0.062
ˈɵ	ˈʏ	0.059
ˈʉː	ˈaʊ̯	0.436
ˈʉː	ˈiː	0.357
ˈʉː	ˈɔ	0.078
ˈʉː	ˈuː	0.065
ˈʉː	ˈɛ	0.064
ˈʊ	ˈʊ	0.733
ˈʊ	ˈuː	0.265
ˈʏ	ˈʏ	0.354
ˈʏ	ˈɛ	0.268
ˈʏ	ˈɔʏ̯	0.175
ˈʏ	ˈɪ	0.102
