Nynorsk Norwegian	East Franconian	probability
ˈɔ_ɾ	ˈʊ_ɐ	1.0
ˈœʏ̯	-	1.0
ˈœ_l	l	1.0
ˈœ	-	1.0
ˈæː	ˈɛ	1.0
ˈæʉ̯	ˈaː	1.0
ˈæɪ̯	ˈaː	1.0
ˈæ	ˈɛ	1.0
ʰpː	ˈɒ_f	1.0
ʰkː	ŋ	1.0
ʋ_ɑ	m	1.0
ʉ	-	1.0
ʂ_ˈʉː	s_ˈiː	1.0
ʂ	ʃ	1.0
ɾ_ɡ	ɐ_ç	1.0
ɾ_e	ɐ	1.0
ɲ	ŋ	1.0
ɡː	ɡ̊_n	1.0
ɡ_ɑ	ŋ	1.0
ɛ	-	1.0
ə	-	1.0
ŋː	ŋ	1.0
ŋ	i	1.0
ç	d̥	1.0
tː	ʦ	1.0
t	z̥	1.0
sː	n_s	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
s_e	z̥	1.0
pʰ	b̥͡v̥	1.0
mː	m	1.0
m	m	1.0
l	l	1.0
kʰ_ʋ	v	1.0
kʰ	kʰ	1.0
k_ˈɑ	ˈa	1.0
k_e	n	1.0
jː	ŋ	1.0
j_ˈʉː	l_ˈiː	1.0
h	h	1.0
f	f	1.0
e_ɡ	ɪ	1.0
e_n	eː	1.0
d	d̥	1.0
b	b̥	1.0
n	n	0.938
ˈoː	ˈoː	0.86
ˈʉː	ˈaʊ̯	0.853
ˈɪ	ˈɪ	0.836
ˈɑ	ˈɒ	0.797
ʋ	v	0.754
ˈiː	ˈaɪ̯	0.738
ɑ	n	0.736
nː	n	0.703
ˈɛ	ˈɛ	0.697
ˈʏ	ˈɪ	0.669
j	-	0.65
tʰ	d̥	0.608
ˈuː	ˈuː	0.601
ˈɔ	-	0.596
j_ɑ	ŋ	0.593
lː	l_d̥	0.585
ˈøː	ˈiː	0.575
ˈʉ	ˈʊ	0.559
ˈɑː	ˈoː	0.558
ˈyː	ˈaɪ̯	0.556
e	-	0.549
ɾ	ɐ	0.544
ˈʊ	ˈɔ	0.539
ɡ	ɣ̊	0.539
s	s	0.534
p	-	0.501
p	f	0.499
ˈʊ	-	0.461
ˈyː	ˈiː	0.444
ˈøː	ˈeː	0.425
lː	l	0.415
k	x	0.409
j_ɑ	a	0.407
ʰtː	x_d̥	0.398
tʰ	ʦ	0.392
ɡ	ç	0.384
s	ʃ	0.376
ɾ	r	0.368
ˈɑː	ˈɒ	0.355
j	ɡ̊	0.35
ˈeː	ˈiː	0.331
ʰtː	-	0.315
k	ŋ	0.308
nː	n_d̥	0.297
ʰtː	ç_d̥	0.288
k	ç	0.283
ˈuː	-	0.279
ˈʉ	ˈɔ	0.267
ɑ	a	0.264
ˈeː	ˈeː	0.251
ˈɔ	ˈuː	0.25
ˈɑ	ˈoː	0.203
e	ɐ	0.201
ˈɛ	ˈaɪ̯	0.175
ˈʉ	-	0.174
e	a	0.172
ˈʏ	ˈʊ	0.166
ˈʏ	-	0.166
ˈɪ	ˈiː	0.164
ʋ	-	0.162
ˈɔ	ˈɒ	0.154
ˈiː	ˈiː	0.149
ˈʉː	-	0.147
ˈeː	ɣ̊	0.146
ˈeː	-	0.146
ˈoː	ˈɒ	0.14
ˈɛ	ˈɪ	0.128
ˈeː	ˈɛ	0.126
ˈuː	ˈaː	0.12
ˈiː	-	0.113
s	d̥	0.09
ˈɑː	ˈɒː	0.087
ʋ	f	0.084
ɾ	ɾ_ɐ	0.083
ɡ	ɣ	0.077
e	n	0.077
n	ɐ	0.062
