Venetian	Logudorese	probability
a	a	0.81
a	e	0.131
b	b	0.731
b	-	0.202
b	β	0.067
d	d	0.498
d	ð	0.249
d	-	0.144
d	t	0.078
e	e	0.609
e	i	0.164
e	-	0.06
f	f	0.936
f	-	0.064
i	i	0.505
i	o	0.167
i	j	0.146
i	e	0.107
i	ˈi	0.075
j	r	0.518
j	-	0.235
j	j	0.101
j	i	0.101
k	k	0.867
k	-	0.068
l	l	0.355
l	l_e	0.265
l	r	0.156
l	-	0.116
l	ɖ	0.108
m	m	0.955
n	n	0.944
o	u	0.795
o	o	0.087
o	-	0.068
p	p	0.952
r	r	0.63
r	r_e	0.275
r	-	0.089
s	s	0.663
s	k	0.156
s	ɣ	0.073
s	-	0.062
t	t	0.926
u	a	1.0
v	b	0.518
v	β	0.194
v	-	0.176
v	p	0.062
v	k	0.05
w	-	0.476
w	e	0.21
w	b	0.191
w	i	0.123
z	ɣ	0.37
z	ɡ	0.194
z	j	0.144
z	-	0.135
z	b	0.09
ŋ	n	0.245
ŋ	m	0.223
ŋ	n_u	0.186
ŋ	n_e	0.147
ŋ	ŋ	0.069
ŋ	-	0.068
ɡ	ɣ	0.368
ɡ	ɡ	0.285
ɡ	-	0.114
ɡ	k	0.099
ɡ	b	0.081
ɡ	ʃ	0.053
ɰ	l	0.883
ɰ	-	0.117
ɲ	n	0.756
ɲ	ɲ	0.153
ɲ	ʣ	0.091
ʤ	ʣ	0.667
ʤ	ɡ	0.333
ʧ	k_r	0.945
ʧ	ɣ	0.055
ˈa	ˈa	0.937
ˈa	-	0.053
ˈe	ˈe	0.484
ˈe	ˈi	0.407
ˈe	ˈi_s	0.064
ˈi	ˈi	0.651
ˈi	ˈi_ʣ	0.087
ˈi	ˈe	0.075
ˈi	e	0.052
ˈo	ˈo	0.709
ˈo	ˈu	0.283
ˈu	ˈu	0.652
ˈu	ˈi	0.223
ˈu	ˈo	0.071
ˈu	ɲ	0.054
ˈɔ	ˈo	0.892
ˈɛ	ˈe	0.757
ˈɛ	ˈe_ɖ	0.213
