Megleno-Romanian	Eastern Lombard	probability
f	f	1.0
j	-	1.0
kʲ	p	1.0
s	s	1.0
w	-	1.0
ʃ	s	1.0
ʒ	z	1.0
ˈɔ	ˈa	1.0
d	-	0.251
i	e	0.381
n	-	0.231
ə	-	0.21
ʎ	l	0.361
ˈo	ˈo	0.151
k	k	0.602
n	ŋ	0.052
ʎ	-	0.342
ʦ	ʧ	0.382
ˈa	ˈo	0.062
k	ɡ	0.213
r	-	0.193
ˈa	ˈa	0.603
ˈe	ˈe	0.343
ˈi	ˈø	0.053
ˈi	ˈɛ	0.43
ˈo	ˈɔ	0.303
ˈu	ˈɔ	0.153
b	b	0.64
d	d	0.634
e̯ˈa	ˈɛ	0.594
l	j	0.064
l	l	0.894
o̯ˈa	l_#>	0.094
p	-	0.44
r	e_r	0.074
ɡ	ɡ	0.884
ˈi	-	0.114
d	t	0.115
k	-	0.185
m	m	0.965
u	o	0.105
u	-	0.895
z	z	0.345
ʦ	s	0.585
ˈa	ˈɛ	0.305
ˈi	ˈi	0.325
ˈu	ˈo	0.225
b	-	0.36
e̯ˈa	ˈe	0.406
i	a	0.166
o̯ˈa	ˈu	0.906
p	p	0.56
r	l	0.106
t	t	0.556
ɡ	-	0.116
ˈo	ˈø	0.546
ˈu	ˈu	0.266
i	-	0.407
r	r	0.607
z	-	0.487
ʎ	ʤ	0.297
ˈe	ˈɛ	0.657
ˈu	ˈø	0.197
n	n	0.718
t	ʧ	0.08
t	-	0.338
z	d	0.168
ˈi	ˈe	0.078
ə	a	0.79
ˈu	ˈy	0.159
