Gan	Gan	probability
⁵	²	1.0
⁴²	¹¹	1.0
ʨʰ	ʨʰ	1.0
ʨ	ʨ	1.0
ʦʰ	ʦʰ	1.0
ʦ	ʦ	1.0
ʔ	ʔ	1.0
ɥ	ɥ	1.0
ɛ_n	e	1.0
ɕ	ɕ	1.0
ŋ̍	u	1.0
¹¹	⁴⁵	1.0
²⁴	¹¹	1.0
²	⁵⁴	1.0
z̩	z̩	1.0
y	y	1.0
t̚	ʔ	1.0
t	t	1.0
s	s	1.0
pʰ	pʰ͡x	1.0
p	p	1.0
o	ɤ	1.0
m	m	1.0
kʰ	kʰ͡x	1.0
k	k	1.0
j_u	w_ə	1.0
e	y	1.0
a_n	æ̃	1.0
<#_ɵ	<#_ə_ɻ	1.0
<#_u	<#_v_ə̃	1.0
<#_nʲ	<#	1.0
n	ŋ	0.882
w	w	0.875
³⁵	¹¹	0.84
ɔ	ɒ̃	0.818
²¹³	⁵³	0.806
h	x	0.8
l	l	0.778
a	a	0.75
j	j	0.731
u	ũ	0.727
tʰ	tʰ͡x	0.667
f	f	0.6
ɵ_n	æ̃	0.571
ɛ	ə	0.571
ɵ	ə	0.5
ɵ	w	0.5
ɨ	ə	0.5
nʲ	ʐ	0.5
nʲ	n	0.5
ŋ	ŋ	0.458
ɵ_n	e	0.429
ɛ	a	0.429
ŋ	-	0.417
i	ĩ	0.412
f	x_w	0.4
i	i	0.353
tʰ	t	0.333
<#	<#_ʨ	0.333
<#	<#_x	0.333
<#	<#_v	0.333
u	u	0.273
j	-	0.269
ɨ	ə̃	0.25
ɨ	e	0.25
i	j_ə	0.235
l	n	0.222
h	h	0.2
ɔ	w_a	0.182
²¹³	⁴⁵	0.167
³⁵	⁴⁵	0.16
ŋ	ɣ	0.125
w	v	0.125
n	æ̃	0.118
a	ɤ	0.071
a	ə̃	0.071
a	-	0.071
