Campidanese	Campidanese	probability
ˈɛ_n	ˈɛ̃	1.0
ˈɔ_z	ˈo	1.0
ˈɔ_n	ˈɔ̃	1.0
ˈu_β	ˈy	1.0
ˈo_ɣ	w_ˈa	1.0
ˈo_n	ˈɔ̃	1.0
ˈi_ɾ	ˈɛː_ð	1.0
ˈi_ð	ˈɛː	1.0
ˈi_n	ˈĩ	1.0
ˈa_ʃ	ˈa	1.0
ˈa_n	ˈɑ̃	1.0
ˈa_i	j_ˈe	1.0
ʧ	s	1.0
ʦ_u	ʦ	1.0
ʃ	s	1.0
ɾ_i	ʁ	1.0
ɾ_a	a	1.0
ɣ_u	ʎ	1.0
ɛ	-	1.0
ɖː	l	1.0
ɔ̆	-	1.0
ŋ	-	1.0
ð	-	1.0
w_a	a	1.0
w	w	1.0
u_ɾ	ʁ	1.0
u_#>	#>	1.0
t_ɛ	t	1.0
t_u	ˈe	1.0
t_i_#>	#>	1.0
t_a	t_a	1.0
p	p	1.0
o	-	1.0
nː	-	1.0
n_ʤ	ɲ	1.0
l_ˈa	l	1.0
l	l	1.0
k_a	ʃ	1.0
ĭ	-	1.0
i_ɾ	d_ʁ	1.0
i_#>	#>	1.0
f	f	1.0
e	-	1.0
ă	-	1.0
a_s	ɑː	1.0
a_n	ɑ̃	1.0
a_#>	#>	1.0
<#_ˈo	<#_ˈo	1.0
<#_ʤ	<#_ð	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a_r	<#_ʁ	1.0
m	m	0.821
ɡ	ɡ	0.75
ɣ	-	0.714
z	-	0.7
d	d	0.7
r	ʁ	0.667
ɭː	ʎ	0.625
a	a	0.603
ˈo	-	0.6
ʤ	-	0.6
ʒ	z	0.6
ŭ	-	0.6
j	-	0.6
b	v	0.567
ɾ	ʁ	0.558
s	s	0.545
β	v	0.5
β	-	0.5
ʒ_i	ˈe_ʃ	0.5
ʒ_i	ʃ	0.5
ɔ	ɔ	0.5
ɔ	-	0.5
t	t	0.5
n	n	0.5
k	k	0.5
b	b	0.433
ˈe	ˈɛ	0.417
ˈi	ˈi	0.4
ʤ	ð	0.4
ʒ	-	0.4
ŭ	o	0.4
j	ʒ	0.4
ˈa	ˈa	0.386
k	ʃ	0.382
ɭː	l	0.375
t	-	0.364
ˈɔ	w	0.35
r	-	0.333
u	o	0.31
ˈɛ	ˈe	0.304
z	ʃ	0.3
d	-	0.3
i	ə	0.289
ɣ	ɡ	0.286
s	-	0.273
ˈɔ	ˈoː	0.25
ˈe	ˈe	0.25
ɡ	-	0.25
ˈu	ˈu	0.241
ˈu	w	0.241
n	-	0.231
ˈɛ	ˈɛː	0.217
i	-	0.211
u	-	0.207
a	ə	0.207
ˈo	ˈɔ̃	0.2
ˈo	ˈo	0.2
ˈi	ˈɛ	0.2
n	ˈɛ̃	0.192
s	e	0.182
m	-	0.179
u	ə	0.172
ˈi	ˈɛː	0.167
ˈi	ˈe	0.167
ˈe	ʁ	0.167
ˈe	j	0.167
ˈɔ	ˈɔ	0.15
ˈɔ	-	0.15
a	-	0.138
ˈa	ˈe	0.136
t	ʁ	0.136
ɾ	-	0.135
i	o	0.132
i	j	0.132
ˈɛ	ˈɛ	0.13
ˈɛ	j	0.13
ˈɛ	-	0.13
k	-	0.118
ˈa	ˈaː	0.114
ˈu	ˈø	0.103
ˈu	ˈoː	0.103
ˈu	ˈo	0.103
u	ˈe	0.103
ˈɔ	ˈu	0.1
ˈa	ˈɑː	0.091
ˈa	-	0.091
ˈɛ	j_ˈe	0.087
i	ˈɛː	0.079
i	ˈɛ	0.079
i	ˈe	0.079
ɾ	ð	0.077
ɾ	l	0.077
n	ɲ	0.077
ˈu	ˈɔ	0.069
ˈu	j	0.069
ˈu	-	0.069
u	ˈø	0.069
u	ʎ	0.069
u	l	0.069
ˈa	ˈɛː	0.068
ˈa	ˈɑ̃	0.068
ˈi	-	0.067
ɾ	ˈoː	0.058
ɾ	j	0.058
a	i	0.052
