Bavarian	Bavarian	probability
β	-	1.0
ˈo_j	ˈœu̯	1.0
ˈiː	ˈə	1.0
ˈeɐ̯	-	1.0
ˈau̯	ˈœɪ̯	1.0
ʦ	t	1.0
ʃ_d̥	s_t	1.0
ɡ̊_s	s	1.0
ɡ̊_a	k	1.0
ɡ̊_#>	#>	1.0
ə	-	1.0
ɑ	-	1.0
ɐ_d̥	r_d̥	1.0
ŋ_a	ŋ	1.0
ç	k	1.0
x_#>	k_#>	1.0
s_ˈi	s_ˈə	1.0
s_n	t	1.0
r	r	1.0
n_a	n	1.0
l	ɫ	1.0
kʰ	k	1.0
j_#>	ɫ_#>	1.0
j	ɫ	1.0
i	ə	1.0
h	ɦ	1.0
f_a	p	1.0
f_#>	p_#>	1.0
f	v̥	1.0
eɐ̯	i_n	1.0
d̥_ˈo	d_ˈɔ	1.0
d̥_n	d̥	1.0
d̥_a	r	1.0
d̥_#>	#>	1.0
b̥͡v̥	p	1.0
<#_ˈo	<#_ˈa	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_j	<#_j	1.0
<#_d̥	<#_d	1.0
ʋ	v	0.905
m	m	0.893
ɐ	r	0.875
b̥	b	0.87
ɡ̊	χ	0.821
ˈuɐ̯	ˈu	0.818
ˈiɐ̯	ˈi	0.818
ˈou̯	ˈʊə̯	0.8
ʃ	s	0.75
ˈɑ	ˈa	0.7
ˈoɐ̯	ˈɪə̯	0.7
n	n	0.7
s	s	0.686
ŋ_#>	χ_#>	0.667
ŋ	ŋ	0.636
ˈɑː	ˈɑː	0.6
x	χ	0.6
d̥	d̥	0.59
ˈɒː	ˈa	0.583
#>	n_#>	0.583
ˈaː	ˈʊə̯	0.556
a	ə_r	0.556
ˈai̯	ˈəɪ̯	0.526
ˈu	ˈɔ	0.524
ˈoː	ˈʊə̯	0.5
ˈoː	ˈɑː	0.5
ˈa	ˈa	0.5
ˈa	-	0.5
ˈi	ˈə	0.478
ˈaː	-	0.444
ˈɒː	ˈɑː	0.417
ˈɑː	ˈa	0.4
ˈo	ˈʊə̯	0.375
ˈo	ˈɔ	0.375
ŋ	n	0.364
ˈeː	ˈɪə̯	0.357
ŋ_#>	#>	0.333
s	t	0.314
ˈi	-	0.304
ˈɑ	ˈɑː	0.3
ˈoɐ̯	ˈəɪ̯	0.3
a	-	0.296
ˈeː	ˈʊə̯	0.286
ˈe	ˈɪə̯	0.263
ˈo	ˈa	0.25
ʃ	s_k	0.25
#>	v̥_#>	0.25
ˈe	ˈɑː	0.211
ˈou̯	ˈoː	0.2
x	ˈə	0.2
x	k	0.2
n	-	0.2
ˈu	ˈœ	0.19
ˈu	-	0.19
ˈuɐ̯	ˈu_j	0.182
ˈiɐ̯	-	0.182
ɡ̊	k	0.179
d̥	d	0.179
#>	k_#>	0.167
ˈe	ˈɛ	0.158
ˈe	ˈæ	0.158
ˈai̯	ˈi	0.158
a	r	0.148
ˈeː	ˈɛ	0.143
ˈeː	ˈi	0.143
ˈi	ˈæ	0.13
b̥	v̥	0.13
d̥	t	0.128
ɐ	r_ə	0.125
m	-	0.107
ˈe	ˈæː	0.105
ˈe	ˈa	0.105
ˈai̯	ˈɪə̯	0.105
ˈai̯	ˈœɪ̯	0.105
ˈai̯	ˈyː	0.105
ˈu	ˈɪø̯	0.095
ʋ	v_ˈə	0.095
ˈi	ˈɛ	0.087
ˈeː	w	0.071
d̥	χ	0.051
d̥	-	0.051
