Friulian	Venetian	probability
b	b	1.0
o	o	1.0
ʤ	z	1.0
ˈɔ	ˈɔ	1.0
d	d	0.861
e	e	0.101
i	-	0.061
j	-	0.181
m	ŋ	0.1
t	t_e	0.131
w	o	0.151
ɲ	ɲ_o	0.281
ʧ	z_o	0.111
ˈaː	ˈa_r	0.51
ˈiː	ˈi	0.391
ˈo	-	0.1
f	f	0.82
i	i	0.122
n	ŋ	0.362
p	p	0.972
r	r_o	0.12
s	z_e	0.112
t	d_o	0.092
z	z	0.792
ɡ	k	0.242
ʧ	z_e	0.092
ˈa	ˈɔ	0.112
ˈe	ˈɛ	0.132
ˈi	ˈe	0.112
ˈu	ˈe	0.062
e	a	0.823
i	o	0.253
t	-	0.073
t	t_o	0.173
t	t	0.513
u	o	0.793
v	v	0.953
w	w	0.383
ˈoː	ˈu	0.063
ˈu	z_ˈu	0.253
ˈuː	ˈo	0.383
a	u	0.054
l	ʧ	0.104
m	m	0.864
r	r	0.784
ɲ	ɲ	0.474
ʧ	-	0.154
ʧ	s	0.644
ˈi	ˈɛ	0.064
ˈi	ˈi	0.824
ˈiː	j_ˈe	0.164
d	-	0.125
f	v_o	0.05
i	e_r	0.175
i	e	0.35
k	k_o	0.125
k	k	0.75
l	ɰ	0.245
ŋ	ɲ	0.065
ɡ	ɡ	0.715
ɲ	n	0.245
ˈeː	ˈe_r	0.305
ˈu	ˈu	0.615
ˈɛ	-	0.055
c	k	0.96
j	j	0.806
l	o	0.126
r	r_n	0.06
w	-	0.466
ˈeː	ˈɛ	0.146
ˈiː	ˈi_r	0.446
ˈo	o	0.06
ˈuː	ˈu	0.56
a	a	0.907
k	ɡ_o	0.107
u	-	0.207
ŋ	n	0.127
ˈo	ˈo	0.747
ˈoː	ˈo	0.937
ˈɛ	ˈɛ	0.647
l	ɰ_o	0.068
l	j	0.118
n	n	0.638
s	s	0.668
z	-	0.208
ŋ	ŋ	0.808
ˈa	ˈa	0.888
ˈe	ˈe	0.868
ˈuː	ˈɔ	0.058
ˈɛ	ˈe	0.298
f	v_e	0.129
l	l	0.289
s	s_o	0.149
ˈaː	ˈa	0.49
ˈeː	ˈe	0.549
ˈo	ˈe	0.059
